hotel_id,nome,endereco,cidade,preco,tipo,qtd_quartos,qtd_avaliacoes,nota,categoria,nota_pedestres,restaurantes_perto,atracoes_perto,latitude,longitude,fonte
585481,NH Alicante,"Calle Mexico 18 Esquina Rosa Chacel Babel, 03008 Alicante Espanha",Alicante ,461,indef,indef,964,4.0,4.0,63,73,8,38.336280822753906,-0.5072159767150879,https://www.tripadvisor.com.br/Hotel_Review-g1064230-d585481-Reviews-NH_Alicante-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
270981,Hotel Spa Porta Maris by Meliá,"Plaza de la Puerta del Mar 3, 03002 Alicante Espanha",Alicante ,1789,Hotel,indef,1779,4.0,4.0,99,140,28,38.34208297729492,-0.4784480035305023,https://www.tripadvisor.com.br/Hotel_Review-g1064230-d270981-Reviews-Hotel_Spa_Porta_Maris_by_Melia-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Co.html
206947,Occidental Alicante,"Calle Tomas Lopez Torregrosa 11 Num. 7-9, 03002 Alicante Espanha",Alicante ,497,indef,indef,118,4.5,3.0,100,545,94,38.34736633300781,-0.4852040112018585,https://www.tripadvisor.com.br/Hotel_Review-g1064230-d206947-Reviews-Occidental_Alicante-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
228631,Hotel Maya Alicante,"Calle Canonigo Manuel Lorenzo Penalva 2, 03013 Alicante Espanha",Alicante ,568,Hotel,indef,1866,4.0,3.0,87,225,49,38.35189437866211,-0.47467300295829773,https://www.tripadvisor.com.br/Hotel_Review-g1064230-d228631-Reviews-Hotel_Maya_Alicante-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
228649,Hotel Alicante Gran Sol affiliated by Meliá,"Rambla de Mendez Nunez 3, 03002 Alicante Espanha",Alicante ,928,Hotel,indef,1074,4.0,4.0,100,490,99,38.343910217285156,-0.4830479919910431,https://www.tripadvisor.com.br/Hotel_Review-g1064230-d228649-Reviews-Hotel_Alicante_Gran_Sol_affiliated_by_Melia-Alicante_Costa_Blanca_Province_of_Alicante.html
1370879,Hotel Boutique Calas de Alicante,"Avenida Costablanca, 22-A Cabo de las Huertas, 3540 Alicante Espanha",Alicante ,838,Hotel,indef,149,4.5,3.0,69,13,3,38.35768508911133,-0.4308370053768158,https://www.tripadvisor.com.br/Hotel_Review-g1064230-d1370879-Reviews-Hotel_Boutique_Calas_de_Alicante-Alicante_Costa_Blanca_Province_of_Alicante_Valencian.html
19012371,"Casa Alberola Alicante, Curio Collection by Hilton","Calle Canalejas 1, 03001 Alicante Espanha",Alicante ,1120,indef,indef,81,4.5,indef,100,399,55,38.34214401245117,-0.48639601469039917,https://www.tripadvisor.com.br/Hotel_Review-g1064230-d19012371-Reviews-Casa_Alberola_Alicante_Curio_Collection_by_Hilton-Alicante_Costa_Blanca_Province_of_.html
1168477,Hotel Castilla Alicante,"Avenida Paises Escandinavos 7, 03540 Alicante Espanha",Alicante ,361,Hotel,indef,758,4.0,3.0,71,129,7,38.37305450439453,-0.41244399547576904,https://www.tripadvisor.com.br/Hotel_Review-g1064230-d1168477-Reviews-Hotel_Castilla_Alicante-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
483592,Eurostars Centrum Alicante,"Calle Pintor Lorenzo Casanova 31-33, 03003 Alicante Espanha",Alicante ,628,indef,indef,1096,4.0,4.0,95,149,17,38.340843200683594,-0.49192801117897034,https://www.tripadvisor.com.br/Hotel_Review-g1064230-d483592-Reviews-Eurostars_Centrum_Alicante-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Countr.html
605649,Eurostars Lucentum,"Avenida Alfonso X El Sabio 11, 03002 Alicante Espanha",Alicante ,592,indef,indef,1359,4.0,4.0,100,527,84,38.34748840332031,-0.4861850142478943,https://www.tripadvisor.com.br/Hotel_Review-g1064230-d605649-Reviews-Eurostars_Lucentum-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
