restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,categoria_preco,faixa_preco,latitude,longitude,fonte
20145680,"Cabaña Bar","Calle del Alcalde Alfonso de Rojas, 6, 03003 Alicante Espanha",Alicante ,5.0,78,$$ - $$$,R$ 65 - R$ 196,38.352149963378906,-0.4866989850997925,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d20145680-Reviews-Cabana_Bar-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
11925647,"Falafelmanía Restaurante Vegetariano y Vegano Oriental","Calle Peru 13 Local 2E, 03008 Alicante Espanha",Alicante ,5.0,368,$,R$ 79 - R$ 124,38.332183837890625,-0.5092809796333313,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d11925647-Reviews-Falafelmania_Restaurante_Vegetariano_y_Vegano_Oriental-Alicante_Costa_Blanca_Pr.html
18343760,"Restaurante Espacio Montoro","Av. Albufereta, 13, 03016 Alicante Espanha",Alicante ,5.0,95,$$$$,R$ 425 - R$ 523,38.36518478393555,-0.45969200134277344,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d18343760-Reviews-Restaurante_Espacio_Montoro-Alicante_Costa_Blanca_Province_of_Alicante_Valencia.html
9776797,"Terre","Paseo Explanada de Espana 11, 03001 Alicante Espanha",Alicante ,4.0,993,$$$$,R$ 164 - R$ 294,38.343448638916016,-0.4833250045776367,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d9776797-Reviews-Terre-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
13082532,"steki restaurante","Calle Argensola # 8, 03002 Alicante Espanha",Alicante ,5.0,993,$$ - $$$,R$ 229 - R$ 327,38.34686279296875,-0.4831649959087372,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d13082532-Reviews-Steki_restaurante-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
17593163,"Iberika Grill","Calle de las Redes 37, 03540 Alicante Espanha",Alicante ,4.5,121,$$ - $$$,R$ 39 - R$ 131,38.346187591552734,-0.48743000626564026,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d17593163-Reviews-Iberika_Grill-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
17456768,"Ñora y Ají","Darsena Pesquera, Local 10, 03008 Alicante Espanha",Alicante ,5.0,154,$$ - $$$,R$ 131 - R$ 262,38.33042907714844,-0.5056629776954651,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d17456768-Reviews-Nora_y_Aji-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
13923648,"Templo Restaurante","Calle Periodista Pirula Arderius, 7, 03001 Alicante Espanha",Alicante ,5.0,860,$$$$,R$ 131 - R$ 393,38.345062255859375,-0.48723098635673523,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d13923648-Reviews-Templo_Restaurante-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
15825853,"Indian House","Avda Doctor Gadea, 8 , Bajo, 03001 Alicante Espanha",Alicante ,5.0,730,$$ - $$$,R$ 46 - R$ 98,38.34190368652344,-0.48743700981140137,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d15825853-Reviews-Indian_House-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
23186688,"Burro Canaglia Bar&resto - Alicante","Carrer Castaños, 7 Bajo, 03001 Alicante Espanha",Alicante ,5.0,283,$$ - $$$,R$ 33 - R$ 131,38.36089324951172,-0.48628100752830505,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d23186688-Reviews-Burro_Canaglia_Bar_resto_Alicante-Alicante_Costa_Blanca_Province_of_Alicante_Va.html
17366381,"Tepuy Burger","Calle de Bazan No 47, 03001 Alicante Espanha",Alicante ,5.0,162,$$ - $$$,R$ 46 - R$ 85,38.34632873535156,-0.4864949882030487,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d17366381-Reviews-Tepuy_Burger-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
13921754,"Apache Burger Grill","Calle del Musico Vicente Spiteri Galiano 7, 03540 Alicante Espanha",Alicante ,4.5,85,$$ - $$$,R$ 51 - R$ 107,38.38505172729492,-0.4152669906616211,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d13921754-Reviews-Apache_Burger_Grill-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Countr.html
12556325,"Tepuy Burger","Avenida del Periodista Rodolfo de Salazar 29 Infront to the Garbinet station of the tram L2., 03015 Alicante Espanha",Alicante ,5.0,651,$,R$ 46 - R$ 85,38.3626708984375,-0.4784550070762634,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d12556325-Reviews-Tepuy_Burger-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
17406175,"Sotaterra by TheLoft","Llotja dels Caballers 10, 03002 Alicante Espanha",Alicante ,5.0,308,$$ - $$$,R$ 113 - R$ 198,38.34595489501953,-0.4809499979019165,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d17406175-Reviews-Sotaterra_by_TheLoft-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Count.html
14163928,"La Taberna Salamanca","Calle San Fernando 8, 03002 Alicante Espanha",Alicante ,5.0,160,$$ - $$$,R$ 33 - R$ 131,38.344390869140625,-0.48141300678253174,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d14163928-Reviews-La_Taberna_Salamanca-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Count.html
4093304,"El Rincon de Nakiss","Calle Churruca 14 Alicante Cerca de la esquina con calle Italia, 03003 Alicante Espanha",Alicante ,5.0,140,$,indef,38.3399658203125,-0.49168699979782104,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d4093304-Reviews-El_Rincon_de_Nakiss-Alicante_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
14964273,"Higo Pico Italian Restaurant","Paraje de Orgègia 122 Chiringuito del Sportclub, 03015 Alicante Espanha",Alicante ,5.0,241,$$ - $$$,R$ 98 - R$ 262,38.380306243896484,-0.4592829942703247,https://www.tripadvisor.com.br/Restaurant_Review-g1064230-d14964273-Reviews-Higo_Pico_Italian_Restaurant-Alicante_Costa_Blanca_Province_of_Alicante_Valenci.html
