atracao_id,nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
2042417,"Natural History Museum at Tring","Akeman Street, Tring HP23 6AP Inglaterra",Tring,4.5,915,51.7908821105957,-0.6612750291824341,https://www.tripadvisor.com.br/Attraction_Review-g503883-d2042417-Reviews-Natural_History_Museum_at_Tring-Tring_Hertfordshire_England.html
3317686,"Royal Armouries - Fort Nelson - Portsmouth","Portsdown Hill Road Fareham, Portsmouth PO17 6AN Inglaterra",Portsmouth,4.5,1314,50.85982131958008,-1.1378099918365479,https://www.tripadvisor.com.br/Attraction_Review-g186298-d3317686-Reviews-Royal_Armouries_Fort_Nelson-Portsmouth_Hampshire_England.html
189274,"Royal Armouries Museum - Leeds","Armouries Drive, Leeds LS10 1LT Inglaterra",Leeds,4.5,4534,53.791751861572266,-1.5324360132217407,https://www.tripadvisor.com.br/Attraction_Review-g186411-d189274-Reviews-Royal_Armouries_Museum-Leeds_West_Yorkshire_England.html
3494042,"V&A Museum of Childhood - Londres","Cambridge Heath Road, Londres E2 9PA Inglaterra",Londres,4.0,847,51.529090881347656,-0.054993998259305954,https://www.tripadvisor.com.br/Attraction_Review-g186338-d3494042-Reviews-V_A_Museum_of_Childhood-London_England.html
187556,"Museu Victoria e Albert - Londres","Cromwell Road, Londres SW7 2RL Inglaterra",Londres,4.5,31939,51.49657440185547,-0.1723800003528595,https://www.tripadvisor.com.br/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html
187551,"HMS Belfast - Londres","The Queen's Walk, Londres SE1 2JH Inglaterra",Londres,4.5,3806,51.50657653808594,-0.08137699961662292,https://www.tripadvisor.com.br/Attraction_Review-g186338-d187551-Reviews-HMS_Belfast-London_England.html
187674,"Imperial War Museums - Londres","Lambeth Road, Londres SE1 6HZ Inglaterra",Londres,4.5,10433,51.495914459228516,-0.10874799638986588,https://www.tripadvisor.com.br/Attraction_Review-g186338-d187674-Reviews-Imperial_War_Museum-London_England.html
254529,"Imperial War Museum North - Stretford","Trafford Wharf Road The Quays, Stretford M17 1TZ Inglaterra",Stretford,4.5,2790,53.469783782958984,-2.298978090286255,https://www.tripadvisor.com.br/Attraction_Review-g2433765-d254529-Reviews-Imperial_War_Museum_North-Stretford_Trafford_Greater_Manchester_England.html
212251,"Science and Industry Museum - Manchester","Liverpool Road Castlefield, Manchester M3 4FP Inglaterra",Manchester,4.5,8055,53.477081298828125,-2.254905939102173,https://www.tripadvisor.com.br/Attraction_Review-g187069-d212251-Reviews-Museum_of_Science_Industry-Manchester_Greater_Manchester_England.html
211773,"National Science and Media Museum - Bradford","Pictureville, Bradford BD1 1NQ Inglaterra",Bradford,4.5,1497,53.790611267089844,-1.7559410333633423,https://www.tripadvisor.com.br/Attraction_Review-g186408-d211773-Reviews-National_Science_and_Media_Museum-Bradford_West_Yorkshire_England.html
188865,"Tate Britain - Londres","Millbank, Londres SW1P 4RG Inglaterra",Londres,4.5,3995,51.490875244140625,-0.12751999497413635,https://www.tripadvisor.com.br/Attraction_Review-g186338-d188865-Reviews-Tate_Britain-London_England.html
213956,"Tate Liverpool","Albert Dock, Liverpool L3 4BB Inglaterra",Liverpool,4.0,1882,53.40082931518555,-2.993870973587036,https://www.tripadvisor.com.br/Attraction_Review-g186337-d213956-Reviews-Tate_Liverpool-Liverpool_Merseyside_England.html
188849,"Tate St. Ives - St Ives","Porthmeor Beach, St Ives TR26 1TG Inglaterra",St Ives,3.0,2014,50.21424865722656,-5.482484817504883,https://www.tripadvisor.com.br/Attraction_Review-g186243-d188849-Reviews-Tate_Gallery_St_Ives-St_Ives_Cornwall_England.html
