estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem,idioma
Inhotim,1743976,atracao-review,991thaism,2021-02-26,2021-02-26,5.0,Lugar de paz! ,"O parque é enorme! Existem 4 rotas para seguir e é bem difícil fazer as 4 no mesmo dia.
Todos os funcionários são muito prestativos e ajudam muito com as informações!
Recomendo usar os carrinhos, pois ajuda a otimizar o tempo e cansa menos!
Enfim, o parque é maravilhoso!!","Campinas, SP",pt
Inhotim,1743976,atracao-review,raquelamr,2021-01-26,2020-12-26,5.0,Imperdível ,"Sempre há algo novo para se ver no Inhotim. Há muito tempo já não é mais possível percorrer todo o parque em um único dia. Para quem tem pouco tempo, vale a pena pagar o transporte interno. Mesmo com as restrições impostas pela pandemia, o passeio foi tranquilo; o restaurante está operando com várias medidas de segurança e higiene. Me senti segura.","Belo Horizonte, MG",pt
Inhotim,1743976,atracao-review,LucasBovo,2020-12-26,2020-12-26,5.0,Absolutamente extasiante ,Inimaginável ter um local desses num país que preza tão pouco a cultura como o Brasil. Galerias e botânica de se impressionar até mesmo os visitantes de primeiro mundo acostumados com seus parques e instalações culturais. Recobra-se um pouco o orgulho de ser brasileiro ao se visitar essa instituição.,"São José do Rio Preto, SP",pt
Inhotim,1743976,atracao-review,Creuse_Santos,2020-12-26,2020-12-26,3.0,Me senti prejudicado,"Paguei R$ 44,00 (ingresso), mais R$ 30,00 (carrinho de transporte), mas, mais da metade das instalações não estavam funcionando, ou porque estavam em manutenção, ou porque estavam desativadas, a maioria fechada, e 3 das rotas de carrinho também estavam sem funcionar, ou seja, tivemos que andar um montão, mesmo pagando os R$ 30,00. Isso, sem falar que em um dos transportes, minha sogra, uma senhora idosa, que estava no banco de trás, caiu e quase se machucou feio, pois o transporte não tem cinto de segurança atrás. Enfim, a natureza é linda, o lugar é limpo e bem cuidado, mas infelizmente nós não desfrutamos mais metade do que pagamos para ver.","Barueri, SP",pt
Inhotim,1743976,atracao-review,lucasgV4397LD,2020-12-26,2020-12-26,5.0,Exemplo de Turismo no Brasil,"Visitei o Parque de Inhotim e adorei, obras de artes e galerias espalhadas por todo o parque, coberto por uma natureza espetacular, diversos lagos. Um lugar incrível para conhecer. Visitei em 2 dias por conta dos comentários do pessoal, porém como fui sozinho e se tivesse pego o carrinho, creio que seria possível visitar em apenas 1 dia.","São Paulo, SP",pt
Inhotim,1743976,atracao-review,lino-mafalda123,2020-12-26,2020-12-26,5.0,Natureza e Arte Juntos ,Lugar lindo. Excelente trabalho de paisagismo e arte visual em harmonia. Vale a visita. Só o acesso que poderia melhorar pois chega-se atraves de uma estrada de terra,"Rio de Janeiro, RJ",pt
Inhotim,1743976,atracao-review,Anaviagens_19,2020-12-26,2020-01-26,5.0,MARAVILHOSO!,"Lugar maravilhoso!
Excelente passeio! Bom para ter contato com a natureza exuberante, paisagismo são impressionantes.Obras de artes, galerias , tudo grandioso.
Recomendo!","Belo Horizonte, MG",pt
Inhotim,1743976,atracao-review,viaaereamg,2020-11-26,2020-01-26,5.0,Local MAGICO,"Uma dos locais mais lindos que eu conheço !!!
.
RECOMENDO
.
Fui de helicóptero pela @viaaereamg
Vale muito a pena","Belo Horizonte, MG",pt
Inhotim,1743976,atracao-review,Gabriel_Camargos,2020-11-26,2020-11-26,5.0,Um passeio pelo maior museu a céu aberto do mundo,"Fui com minha esposa no Inhotim no dia 8 de novembro, no 2° dia de reabertura nesse período de pandemia. Algumas galerias estavam fechadas, mas nada que prejudicasse a visita. Excelente experiência na natureza. As galerias proporcionam bons momentos de reflexão. Destaque para a galeria de Cláudia Agujar, no circuito rosa, com uma viagem histórica entre os índios Yanomamis. Os funcionários estão de parabéns, seguindo todos os protocolos de proteção. Não entendi ao certo por que alguns trechos de carrinhos estão sem utilização (até entendo que algumas galerias foram fechadas para evitar aglomerações, mas não entendi sobre os carrinhos). No mais, o passeio foi excelente. Recomendo!","Salvador, BA",pt
Inhotim,1743976,atracao-review,euturista,2020-10-26,2019-12-26,5.0,Arte e Natureza,"Suas galerias, obras de arte ao céu aberto e paisagismo são impressionantes.
Toda a sua grandiosidade é mais do que uma atração, é um destino a ser explorado um fds inteiro.",indef,pt
Inhotim,1743976,atracao-review,vivertrips,2020-10-26,2019-11-26,5.0,Paraíso na Terra que fala?,"Sabe aquele lugar apaixonante? Pois Inhotim é assim! Da vontade de entrar e dar pause, para nunca mais sair de lá. Natureza vibrando fortemente (flora e fauna presentes de forma grandiosa). Estive por dois dias no local e certamente reservaria mais um dia para ficar só contemplando e descansando nos melhores lugares/pontos. A visita pode ser feita caminhando, uma parte com carrinho (pago) ou visita mediada/programada. Se for na caminhada, reserva pelo menos 2 dias, pois o museu a céu aberto é gigaaaante e cada cantinho merece e MUITO A SUA VISITA. Além das paisagens belíssimas, artes e mais artes. Galerias encantadoras demais! O local conta com lanchonetes, restaurantes, sanitários, lojinha. APENAS SE PERMITA ESSA EXPERIÊNCIA. Durante alguns momentos da minha visita choveu e mesmo assim consegui sentir a energia do local e aproveitar muito.","São Paulo, SP",pt
Inhotim,1743976,atracao-review,dai_nani,2020-10-26,2020-10-26,5.0,Visita ao Inhotim,"Museu de artes a céu aberto, lugar incrível, sai apaixonada ! O lugar é muito grande vale a pena pagar pelo transporte interno que não é barato mas aproveita a visita e conhece todo o espaço, tem estacionamento é um restaurante maravilhoso! Voltarei mais vezes sem dúvida.","Osasco, SP",pt
Inhotim,1743976,atracao-review,pjuliaci,2020-10-26,2020-10-26,5.0,Ótima opção para passeio,"Inhotim é um dos meus lugares preferidos, já realizei 3 visitas nos últimos anos, um museu a céu aberto acompanhado de paisagens de outro mundo. Nas quartas a entrada é gratuita, ótimo lugar para passear com família e amigos, mas vá preparado, leve bastante água e alguns lanches na bolsa, os preços dentro do parque para alimentação são altos.","Belo Horizonte, MG",pt
Inhotim,1743976,atracao-review,marinice2013,2020-09-26,2020-03-26,5.0,Inhotim,"Maravilhoso!! Local lindo, com diversas obras e conceitos de arte muito diferentes, tudo muito bem cuidado. Alugue um carrinho para poder conhecer todo o espaço, vale a pena!!",caxias do sul,pt
Inhotim,1743976,atracao-review,642cristianob,2020-08-26,2019-09-26,5.0,Junção de arte paisagística e cultural,"Museu com obras de artistas renomados. Sugiro andança, ainda que o local seja grande, para contemplar a parte paisagística. Minhas obras preferidas são de Adriana Varejão; Tunga; Hélio Oiticica.",indef,pt
Inhotim,1743976,atracao-review,carval2019,2020-07-26,2019-10-26,5.0,Voltarei sempre,"Um dos lugares mais lindo que já fui ... quase inacreditável que exista. A jardinagem, as instalações, as obras de Arte, os cuidados ... Pretendo retornar tão logo reabra. Vale muito mas muito ir.","Armação dos Búzios, RJ",pt
Inhotim,1743976,atracao-review,146fl_viaa,2020-07-26,2019-08-26,5.0,Passeios com turistas de todo Brasil,"Excelente, cada vez que vou descubro algo novo, já levei amigos de Brasilia, salvador e até do exterior. Orgulho de Minas.",indef,pt
Inhotim,1743976,atracao-review,dgbferrara,2020-07-26,2020-02-26,5.0,Excelente passeio em família,Inhotim é surpreendente. Adoramos e gostaríamos de voltar. Um ótimo destino para o feriado de carnaval.,indef,pt
