estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_estadia,nota,titulo,conteudo,tipo_viagem,origem,idioma
Pousada Villa Severina,12281494,hotel-review,Robarzaghi,2021-01-24,2021-01-24,5.0,Tudo ótimo,"A pousada é administrada pelos proprietários que estão 100% atentos. A piscina é uma delícia, os quartos limpos, com uma excelente cama e chuveiro, a pousada tem mais pegada para casais, mesmo assim, nos atendeu muito bem com duas crianças.

Recomento e o acesso a Inhotim é fácil a partir de lá.",indef,"Rio de Janeiro, RJ",pt
Pousada Villa Severina,12281494,hotel-review,FabianoRib,2020-12-24,2020-11-24,5.0,Atendimento nota 10,"Se procura descanso próximo a BH esse é o lugar. A Pousada Villa Severina fica a 40 minutos de BH, em Brumadinho. São 11 chalés com total privacidade. Tem piscina, redário e solário para assisitir o lindo por do sol. Café da manhã a lá carte em função da pandemia de excelente qualidade. O ponto alto é o atendimento do Paulo, da Severina e do restante da equipe, que nos deixam a vontade fazendo com que sintamos em casa. Super indicamos.",Viajou em casal,"Belo Horizonte, MG",pt
Pousada Villa Severina,12281494,hotel-review,Cosmopolitan793145,2020-12-24,2020-11-24,5.0,Encontro com a natureza,"Perfeito lugar para relaxar e entrar em contato com a natureza. Tem um por do sol belíssima e tive sorte de está lá durante a lua cheia foi um espetáculo.
Na pousada tudo muito limpo e bem organizado. Os funcionários são eficientes e os donos Sr. Paulo e Sra. Severina estão sempre presentes administrando a pousada com perfeição. Sr. Paulo tem dicas interessantes de passeios na região para quem quer conhecer.
Os chalés estão distribuídos na propriedade com um distanciamento onde todos tem sua privacidade. Fiquei em um chalé sem hidro e gostei muito do espaço. A cama é king o colchão e travesseiros confortáveis e novos. O chuveiro com água quente e com boa pressão.
A internet funciona nos ambientes comuns.
A comida é muito boa e o café da manhã maravilhoso.",indef,"Brasília, DF",pt
Pousada Villa Severina,12281494,hotel-review,funghinatalia,2020-10-24,2020-08-24,5.0,Tão aconchegante!,"A pousada é linda, tudo muito bem cuidado, atendimento excepcional, principalmente dos donos, Paulo e Severina! Os chalés são super aconchegantes, o chuveiro é sensacional, cama super confortável, tudo funciona perfeitamente! Excelente no calor ou no frio!! Quero voltar assim que possível!!",Viajou em casal,"Belo Horizonte, MG",pt
Pousada Villa Severina,12281494,hotel-review,AmeliaFlor,2020-01-24,2020-01-24,5.0,Aconchegante,"Pousada localizada no alto de um morro onde eles mantiveram as espécies do cerrado (Gabiroba, murici, pau terra, lixeira, ipes...) que ajudam a embelezar a pousada.
Funcionários atenciosos assim como dona Severina e senhor Marcos.
Café da manha com frutas docinhas, pão de queijo sempre quentinho...
A tardinha nós pedimos e eles passaram um cafezinho coado com alguns biscoitinhos pra gente.
Os quartos são grandes e limpos.
A vista da piscina é linda.
O Wi-Fi funciona na recepção.
Para uma “viciada” em ar condicionado foi a unica coisa que senti falta.",indef,"Monte Carmelo, MG",pt
Pousada Villa Severina,12281494,hotel-review,lucianom282,2020-01-24,2020-01-24,5.0,Inesquecível,"Lugar incrível, Dna Severina e Sr Paulo junto com toda a equipe são maravilhosos, acolhedores e cuidam de todos com um carinho incrível. A Pousada é num lugar tranquilo ao pé da montanha com vista maravilhosa. Chalés acolhedores e silenciosos e extremamente limpos e organizados. A cozinha todos os pratos são deliciosos. A piscina é convidativa bem como as redes e os espaços para descanso e leitura. Um espaço para relaxar e desapegar da tecnologia e refletir. Passeios próximos e boas dias de visitas dadas pelo Sr Paulo. É para se apaixonar e voltar novamente....",indef,"Curitiba, PR",pt
Pousada Villa Severina,12281494,hotel-review,Atevocebarbara,2020-01-24,2020-01-24,5.0,"Conforto, limpeza, atendimento e tranquilidade. A melhor pousada que já fiquei.","A pousada tem uma vista incrível para o por do sol, piscina maravilhosa. Os quartos são muito silenciosos, o que proporciona um descanso de verdade. Tudo muito limpo, jardins bem cuidados, várias opções fora do quarto para lazer e descanso: rede, grande área gramada, piscina, espaço de descanso separado.
O quarto não tem ar condicionado, mas não sentimos falta.
A banheira é limpa e fácil de usar. O aquecimento é rápido.
A cama é grande e aconchegante.
Todos os funcionários extremamente simpáticos.
Minha única sugestão é ter menos açúcar nos sucos e café. Seria interessante ter algumas opções de café da manhã saudáveis, como mais opções de ovos mexidos, queijo curado, e mais frutas, por exemplo.
Um ótimo lugar para ir de casal. Fui com meu namorado e adoramos.",Viajou em casal,indef,pt
Pousada Villa Severina,12281494,hotel-review,vanessacaoegatogmail,2019-10-24,2019-09-24,5.0,Pousada e vista encantadora!,"Me hospedei no último fim de semana de setembro 2019. Fomos recebidos pelo Charles, com muita gentileza e atenção. Adorei a recepção e o tratamento durante nossa estadia. A pousada é encantadora. A paisagem é divina, o chalé é super confortável com cama grande, os pratos do jantar são deliciosos com bons preços, o café da manhã é bem variado e gostoso. Ainda tem uma piscina grande, redes espalhadas no meio do verde, solário, ar puro, sossego e bichinhos nativos. Sr.Paulo merece parabéns! Tem uma equipe nota 10! Recomendo!",indef,"Belo Horizonte, MG",pt
Pousada Villa Severina,12281494,hotel-review,0ricardof,2019-08-24,2019-08-24,5.0,Um lugar encantador,"Na chegada à noite fomos recebidos pelos donos (Srs. Paulo e Severina) como se fôssemos da família, com muito carinho. A pousada está muito bem localizada com uma vista para as montanhas que enche os olhos.

Os quartos são bem dimensionados, e equipados. O restaurante oferece comida para todos os gostos, com muito sabor e capricho.

Realmente, um ljgar para retornar com .ais tempo.",Viajou com a família,indef,pt
Pousada Villa Severina,12281494,hotel-review,rodrigod268,2019-08-24,2019-08-24,5.0,Pousada excelente!!!Aconchegante....,"Fomos recebidos com mto carinho peloa donos Paulo e Severina, comida deliciosa, bons vinhos, quartos com muito conforto, limpos, roupa de cama de qualidade...
Paisagem linda entre as montanhas.
Recomendamos!!!",Viajou com a família,"Divinópolis, MG",pt
