hotel_id,nome,endereco,cidade,preco,tipo,qtd_quartos,qtd_avaliacoes,nota,categoria,nota_pedestres,restaurantes_perto,atracoes_perto,latitude,longitude,fonte
5539293,Pousada Ranchico,"Estrada Piedade Do Paraopeba-Aranha Km3, S/N Marques, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,1765,Pousada,indef,19,4.0,indef,indef,indef,indef,-20.103450775146484,-44.0501708984375,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d5539293-Reviews-Pousada_Ranchico-Brumadinho_State_of_Minas_Gerais.html
12281494,Pousada Villa Severina,"Rua Lucas Marciano, 500 Campinho - Grota da Macaca, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,409,Pousada,12,51,5.0,indef,indef,indef,indef,-20.14925765991211,-44.22122573852539,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d12281494-Reviews-Pousada_Villa_Severina-Brumadinho_State_of_Minas_Gerais.html
7314023,Pousada Namastê,"Avenida a 316 Jardim Casa Branca, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,238,Pousada,8,130,4.5,2.0,indef,indef,indef,-20.100257873535156,-44.04343795776367,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d7314023-Reviews-Pousada_Namaste-Brumadinho_State_of_Minas_Gerais.html
2675539,Estrada Real Palace Hotel,"Rodovia Municipal Augusto Diniz Murta -Km 0 - S/N, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,indef,Hotel,indef,350,3.5,3.0,indef,indef,indef,-20.137027740478516,-44.1988525390625,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d2675539-Reviews-Estrada_Real_Palace_Hotel-Brumadinho_State_of_Minas_Gerais.html
4784276,Ville de Montagne Hotel,"Rua Aníbal Coelho - Nº 95 - São Bento, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,341,Hotel,38,357,3.5,3.0,37,50,1,-20.14785385131836,-44.200462341308594,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d4784276-Reviews-Ville_de_Montagne_Hotel-Brumadinho_State_of_Minas_Gerais.html
7290883,Tiô Isolda Artes & Hospedaria,"Rua Dora Pacheco, 292 Recanto da Aldeia - Casa Branca, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,363,indef,6,37,5.0,indef,indef,indef,indef,-20.078922271728516,-44.046199798583984,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d7290883-Reviews-Tio_Isolda_Artes_Hospedaria-Brumadinho_State_of_Minas_Gerais.html
4784276,Ville de Montagne Hotel,"Rua Aníbal Coelho - Nº 95 - São Bento, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,341,Hotel,38,357,3.5,3.0,37,50,1,-20.14785385131836,-44.200462341308594,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d4784276-Reviews-Ville_de_Montagne_Hotel-Brumadinho_State_of_Minas_Gerais.html
12493646,A Mi Manera Restaurante e Pousada,"Rua Dois 51 Casa, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,343,Pousada,indef,15,4.5,indef,indef,indef,indef,-20.202470779418945,-44.00469207763672,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d12493646-Reviews-A_Mi_Manera_Restaurante_e_Pousada-Brumadinho_State_of_Minas_Gerais.html
3849945,Pousada Villa da Serra,"Estrada do Capão - Mário Campos Estrada do Capão, Brumadinho, Minas Gerais 32470-000 Brasil",Brumadinho ,510,Pousada,23,134,3.5,indef,indef,indef,indef,-20.058076858520508,-44.18667221069336,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d3849945-Reviews-Pousada_Villa_Da_Serra-Brumadinho_State_of_Minas_Gerais.html
13516745,Brumadinho Hostel,"Rua Coletora 266, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,indef,Hostel,4,2,5.0,2.0,indef,indef,indef,-20.141115188598633,-44.215824127197266,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d13516745-Reviews-Brumadinho_Hostel-Brumadinho_State_of_Minas_Gerais.html
5539293,Pousada Ranchico,"Estrada Piedade Do Paraopeba-Aranha Km3, S/N Marques, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,1765,Pousada,indef,19,4.0,indef,indef,indef,indef,-20.103450775146484,-44.0501708984375,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d5539293-Reviews-Pousada_Ranchico-Brumadinho_State_of_Minas_Gerais.html
14910564,Haras Pedra Lisa Gastronomy & Hotels,"Estrada Ponte das Almorreimas Zona Rural, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,indef,Hotel,indef,0,indef,indef,indef,indef,indef,-20.15152931213379,-44.21736145019531,https://www.tripadvisor.com.br/Hotel_Review-g1747395-d14910564-Reviews-Haras_Pedra_Lisa_Gastronomy_Hotels-Brumadinho_State_of_Minas_Gerais.html
