restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,faixa_preco,latitude,longitude,fonte
2665712,No Ateliê do Abrahão - Cerâmica e Cozinha,"Rua dois, 29, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,284,$$ - $$$,-20.16195297241211,-44.19770431518555,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d2665712-Reviews-No_Atelie_do_Abrahao_Ceramica_e_Cozinha-Brumadinho_State_of_Minas_Gerais.html
2299741,Restaurante Tamboril,"Rua B 20 Inhotim, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,1285,$$ - $$$,-20.121992111206055,-44.219905853271484,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d2299741-Reviews-Restaurante_Tamboril-Brumadinho_State_of_Minas_Gerais.html
14921581,Bistrô Verde Villas,"Avenida Nossa Senhora do Belo Ramo 43, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,75,$$ - $$$,-20.145605087280273,-44.197364807128906,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d14921581-Reviews-Bistro_Verde_Villas-Brumadinho_State_of_Minas_Gerais.html
10761550,Cafe das Flores,"Rua B, 35460 000 Inhotim, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,227,$$ - $$$,-20.124021530151367,-44.21877670288086,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d10761550-Reviews-Cafe_das_Flores-Brumadinho_State_of_Minas_Gerais.html
2423807,Restaurante Abóbora,"Avenida Casa Branca 586 Recanto da Aldeia, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,359,$$ - $$$,-20.083295822143555,-44.04380798339844,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d2423807-Reviews-Restaurante_Abobora-Brumadinho_State_of_Minas_Gerais.html
7624738,Karangos Restaurante,"Praca A 48 Casa Branca, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,148,$$ - $$$,-20.095293045043945,-44.04642868041992,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d7624738-Reviews-Karangos_Casa_Branca-Brumadinho_State_of_Minas_Gerais.html
5869129,Restaurante Oiticica ,"Avenida Inhotim, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,1367,$$ - $$$,-20.123523712158203,-44.21757125854492,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5869129-Reviews-Restaurante_Oiticica-Brumadinho_State_of_Minas_Gerais.html
2423809,Rancho do Peixe Restaurante Fazenda,"Sitio Rancho do Rancho - Encosta da Serra da Moeda Pela BR 040, acesso para Inhotim na saída do KM 567, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,149,$$ - $$$,-20.20028305053711,-44.02359390258789,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d2423809-Reviews-Rancho_do_Peixe_Restaurante_Fazenda-Brumadinho_State_of_Minas_Gerais.html
4830780,EMPÓRIO  FAZENDINHA,"Rodovia MG 040 KM 48, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,181,$$ - $$$,-20.123685836791992,-44.199920654296875,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d4830780-Reviews-Emporio_Fazendinha-Brumadinho_State_of_Minas_Gerais.html
19115561,Encontro da Pizza,"Rua Republica da Argentina 75 Bairro Santo Antonio, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,25,$$ - $$$,-20.139259338378906,-44.20246124267578,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d19115561-Reviews-Encontro_da_Pizza-Brumadinho_State_of_Minas_Gerais.html
5869313,Restaurante ao Pé do Jatobá,"Rua Do Jatoba, S/N, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,206,$$ - $$$,-20.101388931274414,-44.05384063720703,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5869313-Reviews-Restaurante_ao_Pe_do_Jatoba-Brumadinho_State_of_Minas_Gerais.html
2423811,Nossa Fazendinha,"Rodovia MG 040 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,178,$$ - $$$,-20.12398910522461,-44.20005798339844,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d2423811-Reviews-Nossa_Fazendinha-Brumadinho_State_of_Minas_Gerais.html
5868475,Restaurante Estalagem do Mirante,"Av. Nair Martins Drumond, 1000 Retiro do Chalé, Brumadinho, Minas Gerais Brasil",Brumadinho ,4.0,73,$$ - $$$,-20.194290161132812,-43.98353958129883,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5868475-Reviews-Restaurante_Estalagem_do_Mirante-Brumadinho_State_of_Minas_Gerais.html
15118224,A Cachaçaria Itinerante,"Avenida Sao Francisco 477 Consulte Antes De Vir. Somos Itinerantes, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,20,$$ - $$$,-20.188722610473633,-44.011600494384766,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d15118224-Reviews-A_Cachacaria_Itinerante-Brumadinho_State_of_Minas_Gerais.html
5961108,Restaurante Verde Folhas,"Alameda do Jacarandá, 170 Recanto da Aldeia, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,84,$$ - $$$,-20.08915901184082,-44.052215576171875,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5961108-Reviews-Restaurante_Verde_Folhas-Brumadinho_State_of_Minas_Gerais.html
12330227,Di Pozza Ristorante,"Rua Chicona 159, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,68,$$ - $$$,-20.136716842651367,-44.2014274597168,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d12330227-Reviews-Di_Pozza_Ristorante_Pizzeria-Brumadinho_State_of_Minas_Gerais.html
5764993,Rota V8 rock bar,"Rua Itagua, 150 São Sebastião, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,67,$$ - $$$,-20.141695022583008,-44.20587158203125,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5764993-Reviews-Rota_V8_rock_bar-Brumadinho_State_of_Minas_Gerais.html
