atracao_id,nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
12158251,"lago humantay - Cusco",indef,Cusco,5.0,850,-13.517910957336426,-71.96088409423828,https://www.tripadvisor.com.br/Attraction_Review-g294314-d12158251-Reviews-Humantay_Lake-Cusco_Cusco_Region.html
311715,"Inca Trail - Cusco",indef,Cusco,4.5,2879,-13.258055686950684,-72.26333618164062,https://www.tripadvisor.com.br/Attraction_Review-g294314-d311715-Reviews-Inca_Trail-Cusco_Cusco_Region.html
2422362,"Centro Historico De Cusco",indef,Cusco,4.5,13928,-13.516741752624512,-71.97879028320312,https://www.tripadvisor.com.br/Attraction_Review-g294314-d2422362-Reviews-Centro_Historico_De_Cusco-Cusco_Cusco_Region.html
10311540,"Montaña de Siete Colores - Cusco",indef,Cusco,4.5,618,-13.445222854614258,-71.49910736083984,https://www.tripadvisor.com.br/Attraction_Review-g294314-d10311540-Reviews-Montana_de_Siete_Colores-Cusco_Cusco_Region.html
311726,"Sacsayhuaman - Cusco",indef,Cusco,4.5,14602,-13.511014938354492,-71.9819107055664,https://www.tripadvisor.com.br/Attraction_Review-g294314-d311726-Reviews-Sacsayhuaman-Cusco_Cusco_Region.html
311933,"Plaza de Armas (Huacaypata) - Cusco","Plaza de Armas del Cusco, Cusco 08002 Peru",Cusco,4.5,9887,-13.516703605651855,-71.97884368896484,https://www.tripadvisor.com.br/Attraction_Review-g294314-d311933-Reviews-Plaza_de_Armas-Cusco_Cusco_Region.html
311935,"Cusco Cathedral","Portal Belen Plaza de Armas, Cusco 08002 Peru",Cusco,4.5,7185,-13.516186714172363,-71.97787475585938,https://www.tripadvisor.com.br/Attraction_Review-g294314-d311935-Reviews-Cusco_Cathedral-Cusco_Cusco_Region.html
2272692,"Mercado Central de San Pedro - Cusco","Tupac Amaru, Cusco 08003 Peru",Cusco,4.5,1970,-13.520971298217773,-71.98262023925781,https://www.tripadvisor.com.br/Attraction_Review-g294314-d2272692-Reviews-Mercado_Central_de_San_Pedro-Cusco_Cusco_Region.html
311932,"San Blas - Cusco",indef,Cusco,4.5,4203,-13.515057563781738,-71.97422790527344,https://www.tripadvisor.com.br/Attraction_Review-g294314-d311932-Reviews-San_Blas-Cusco_Cusco_Region.html
10332614,"Cerro Colorado Vinicunca - Cusco","Apv- Tipon-ñ11, Cusco 08002 Peru",Cusco,4.5,520,-13.518819808959961,-71.95249938964844,https://www.tripadvisor.com.br/Attraction_Review-g294314-d10332614-Reviews-Cerro_Colorado_Vinicunca-Cusco_Cusco_Region.html
2538932,"Santuario Animal de Cochahuasi - Cusco","Km. 22 Via Cusco Pisaq, Cusco 0800 Peru",Cusco,4.5,781,-13.467144966125488,-71.89862823486328,https://www.tripadvisor.com.br/Attraction_Review-g294314-d2538932-Reviews-Santuario_Animal_de_Cochahuasi-Cusco_Cusco_Region.html
316238,"Templo do Sol (Coricancha) - Cusco",indef,Cusco,4.5,7439,-13.520204544067383,-71.97522735595703,https://www.tripadvisor.com.br/Attraction_Review-g294314-d316238-Reviews-Qorikancha-Cusco_Cusco_Region.html
2691856,"Tipon - Cusco",indef,Cusco,4.5,1099,-13.569604873657227,-71.78194427490234,https://www.tripadvisor.com.br/Attraction_Review-g294314-d2691856-Reviews-Tipon-Cusco_Cusco_Region.html
2017783,"ChocoMuseo - Cusco","Plaza Regocijo 216 Plaza de Armas del Cusco, Cusco 08002 Peru",Cusco,4.5,3057,-13.516668319702148,-71.9800796508789,https://www.tripadvisor.com.br/Attraction_Review-g294314-d2017783-Reviews-ChocoMuseo-Cusco_Cusco_Region.html
629647,"Museo de Arte Precolombino - Cusco","Plaza de las Nazarenas 231, Cusco 08000 Peru",Cusco,4.5,818,-13.514785766601562,-71.97746276855469,https://www.tripadvisor.com.br/Attraction_Review-g294314-d629647-Reviews-Museo_de_Arte_Precolombino-Cusco_Cusco_Region.html
10636487,"Puente Qeswachaka - Cusco",indef,Cusco,5.0,128,-14.381319046020508,-71.48405456542969,https://www.tripadvisor.com.br/Attraction_Review-g294314-d10636487-Reviews-Puente_Qeswachaka-Cusco_Cusco_Region.html
2318800,"Tambomachay - Cusco",indef,Cusco,4.0,1592,-13.517189979553223,-71.97892761230469,https://www.tripadvisor.com.br/Attraction_Review-g294314-d2318800-Reviews-Tambomachay-Cusco_Cusco_Region.html
1469177,"Planetário Cusco","Reserva eco turística privada Llaullipata Km 2 carretera Sacsayhuamán, Cusco 0084 Peru",Cusco,4.5,724,-13.506683349609375,-71.98599243164062,https://www.tripadvisor.com.br/Attraction_Review-g294314-d1469177-Reviews-Planetarium_Cusco-Cusco_Cusco_Region.html
