restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,categoria_preco,faixa_preco,latitude,longitude,fonte
12385819,Rucula,"Calle Ataud 266 Costado Museo Inka, Cusco 08002 Peru",Cusco ,5.0,1020,$$ - $$$,R$ 8 - R$ 27,-13.515400886535645,-71.97832489013672,https://www.tripadvisor.com.br/Restaurant_Review-g294314-d12385819-Reviews-Rucula-Cusco_Cusco_Region.html
16955071,Yaku Cocina de Altura,"Calle San Juan de Dios 214 Plaza Regocijo, Cusco 08002 Peru",Cusco ,5.0,893,$$ - $$$,R$ 10 - R$ 62,-13.516812324523926,-71.9807357788086,https://www.tripadvisor.com.br/Restaurant_Review-g294314-d16955071-Reviews-Yaku_Cocina_de_Altura-Cusco_Cusco_Region.html
17348033,Avocado Toast & More,"Calle Santa Catalina Ancha 366, Cusco 08002 Peru",Cusco ,5.0,505,$$ - $$$,R$ 18 - R$ 33,-13.515885353088379,-71.97550201416016,https://www.tripadvisor.com.br/Restaurant_Review-g294314-d17348033-Reviews-Avocado_Toast_More-Cusco_Cusco_Region.html
8530478,Organika,"Calle Ataud N° 154 Centro Historico, Cusco 084 Peru",Cusco ,5.0,3366,$,indef,-13.515376091003418,-71.97834014892578,https://www.tripadvisor.com.br/Restaurant_Review-g294314-d8530478-Reviews-Organika-Cusco_Cusco_Region.html
15266812,Pizzeria Chez Maggy Tio Beto,"Urbanizacion Bancopata Calle Simon Bolivar F- 23 Una cuadra antes de Electro sur este, Cusco 08007 Peru",Cusco ,indef,0,$,R$ 4 - R$ 27,-13.535049438476562,-71.91021728515625,https://www.tripadvisor.com.br/Restaurant_Review-g294314-d15266812-Reviews-Pizzeria_Chez_Maggy_Tio_Beto-Cusco_Cusco_Region.html
12529753,Hanz Craft Beer & Restaurant,"Portal de carnes 216 nivel 2, Cusco 08000 Peru",Cusco ,5.0,1606,$$ - $$$,R$ 0 - R$ 2,-13.516073226928711,-71.97872924804688,https://www.tripadvisor.com.br/Restaurant_Review-g294314-d12529753-Reviews-Hanz_Craft_Beer_Restaurant-Cusco_Cusco_Region.html
13479346,Chakruna Native Burgers,"Plazoleta San Blas 699, Cusco 08003 Peru",Cusco ,5.0,1151,$,R$ 10 - R$ 27,-13.514787673950195,-71.97443389892578,https://www.tripadvisor.com.br/Restaurant_Review-g294314-d13479346-Reviews-Chakruna_Native_Burgers-Cusco_Cusco_Region.html
13561202,Mama Jama,"Avenida Pardo 1079 Pizzeria, Cusco 08002 Peru",Cusco ,5.0,110,$$ - $$$,R$ 53 - R$ 264,-13.525239944458008,-71.9725341796875,https://www.tripadvisor.com.br/Restaurant_Review-g294314-d13561202-Reviews-Mama_Jama-Cusco_Cusco_Region.html
2726113,Inkazuela Restaurant,"Plazoleta Nazarenas 167 2nd Floor, Cusco 08001 Peru",Cusco ,5.0,2538,$$ - $$$,R$ 32 - R$ 259,-13.515521049499512,-71.97708129882812,https://www.tripadvisor.com.br/Restaurant_Review-g294314-d2726113-Reviews-Inkazuela_Restaurant-Cusco_Cusco_Region.html
8431757,Republica Del Pisco,"Calle Plateros 354, Cusco 5184 Peru",Cusco ,5.0,2262,$$ - $$$,R$ 27 - R$ 69,-13.515798568725586,-71.98028564453125,https://www.tripadvisor.com.br/Restaurant_Review-g294314-d8431757-Reviews-Republica_Del_Pisco-Cusco_Cusco_Region.html
