atracao_id,nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
4475315,Parque Estadual do Biribiri,"Avenida Geraldo Edson Nascimento, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,640,-18.22525978088379,-43.60921859741211,https://www.tripadvisor.com.br/Attraction_Review-g303380-d4475315-Reviews-Parque_Estadual_do_Biribiri-Diamantina_State_of_Minas_Gerais.html
2390002,Vila de Biribiri,"BR 367 Km 587, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,421,-18.20256996154785,-43.57997131347656,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2390002-Reviews-Vila_do_Biribiri-Diamantina_State_of_Minas_Gerais.html
2389956,Casa Glória,"Rua da Glória, 297/298, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,398,-18.241695404052734,-43.60164260864258,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389956-Reviews-Casa_Gloria-Diamantina_State_of_Minas_Gerais.html
2389953,Casa de Juscelino Kubitschek,"Rua São Francisco, 241, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,519,-18.244468688964844,-43.599849700927734,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389953-Reviews-Casa_de_Juscelino_Kubitschek-Diamantina_State_of_Minas_Gerais.html
10786693,Cachoeira da Sentinela,indef,Diamantina ,4.5,55,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303380-d10786693-Reviews-Sentinela_Waterfall-Diamantina_State_of_Minas_Gerais.html
11555573,Cachoeira dos Cristais,"Diamantina, Minas Gerais Brasil",Diamantina ,4.5,50,-18.157306671142578,-43.599544525146484,https://www.tripadvisor.com.br/Attraction_Review-g303380-d11555573-Reviews-Cachoeira_dos_Cristais-Diamantina_State_of_Minas_Gerais.html
8749282,Cachoeira do Telésforo,"rua de Trás, 88, centro Conselheiro Mata, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,48,-18.236719131469727,-43.599910736083984,https://www.tripadvisor.com.br/Attraction_Review-g303380-d8749282-Reviews-Cachoeira_do_Telesforo-Diamantina_State_of_Minas_Gerais.html
2389991,Gruta do Salitre,"Estrada para Curralinho, Km 9, Diamantina, Minas Gerais Brasil",Diamantina ,4.5,186,-18.280445098876953,-43.52722930908203,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389991-Reviews-Salitre_Grotto-Diamantina_State_of_Minas_Gerais.html
2389999,Mercado Municipal (dos Tropeiros),"Praça Barão do Guaicuí, 250-272, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,505,-18.243867874145508,-43.59652328491211,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389999-Reviews-Mercado_Municipal_dos_Tropeiros-Diamantina_State_of_Minas_Gerais.html
2390001,Museu do Diamante,"Rua Direita, 14 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,307,-18.244556427001953,-43.5977783203125,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2390001-Reviews-Museu_do_Diamante-Diamantina_State_of_Minas_Gerais.html
4783110,Catedral Metropolitana de Santo Antônio da Sé,"Pça Barão Guaicui, s/n, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,183,-18.243959426879883,-43.59695816040039,https://www.tripadvisor.com.br/Attraction_Review-g303380-d4783110-Reviews-Catedral_Metropolitana_de_Santo_Antonio_da_Se-Diamantina_State_of_Minas_Gerais.html
2389950,Casa da Chica da Silva,"Praça Lobo Mesquita, 266, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,3.5,386,-18.24660873413086,-43.596763610839844,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389950-Reviews-Chica_da_Silva_House-Diamantina_State_of_Minas_Gerais.html
4475324,Parque Estadual do Pico do Itambé,"Santo Antônio do Itambé Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,28,-18.247159957885742,-43.63911056518555,https://www.tripadvisor.com.br/Attraction_Review-g303380-d4475324-Reviews-Parque_Estadual_do_Pico_do_Itambe-Diamantina_State_of_Minas_Gerais.html
2389993,Igreja de São Francisco de Assis,"Rua São Francisco, s/n, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,118,-18.24471092224121,-43.600059509277344,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389993-Reviews-Sao_Francisco_de_Assis_Church-Diamantina_State_of_Minas_Gerais.html
2389945,Caminho dos Escravos,"Acesso pela BR-367, Km 585 (saída para Araçuaí), Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,92,-18.20256996154785,-43.57997131347656,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389945-Reviews-Caminho_dos_Escravos-Diamantina_State_of_Minas_Gerais.html
3248277,Garimpo Real,indef,Diamantina ,4.5,21,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303380-d3248277-Reviews-Garimpo_Real-Diamantina_State_of_Minas_Gerais.html
2389994,Igreja N S do Carmo,"Rua do Carmo, s/n, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,115,-18.245710372924805,-43.59621047973633,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389994-Reviews-Our_Lady_of_Carmo_church-Diamantina_State_of_Minas_Gerais.html
14049218,Mirante do Cruzeiro,"Trevo Br 367 km 585 (saída Araçuaí), Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,20,-18.089479446411133,-43.739471435546875,https://www.tripadvisor.com.br/Attraction_Review-g303380-d14049218-Reviews-Mirante_do_Cruzeiro-Diamantina_State_of_Minas_Gerais.html
2389997,Igreja N S do Rosário,"Largo do Rosário, Diamantina, Minas Gerais Brasil",Diamantina ,4.0,81,-18.244829177856445,-43.5954704284668,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389997-Reviews-Our_Lady_of_Rosario_Church-Diamantina_State_of_Minas_Gerais.html
2389985,Biblioteca Antônio Torres (Casa do Muxarabiê),"Rua da Quitanda, 48, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,42,-18.24515151977539,-43.596622467041016,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389985-Reviews-Biblioteca_Antonio_Torres_Casa_do_Muxarabie-Diamantina_State_of_Minas_Gerais.html
10340312,Basílica do Sagrado Coração de Jesus,"Praça Sagrado Coração, 11, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,10,-18.247325897216797,-43.600868225097656,https://www.tripadvisor.com.br/Attraction_Review-g303380-d10340312-Reviews-Basilica_of_Sagrado_Coracao_de_Jesus-Diamantina_State_of_Minas_Gerais.html
10117015,Igreja de Nosso Senhor do Bonfim,"Rua do Bonfim Praça Monsenho Neves, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,20,-18.245929718017578,-43.59537887573242,https://www.tripadvisor.com.br/Attraction_Review-g303380-d10117015-Reviews-Igreja_de_Nosso_Senhor_do_Bonfim-Diamantina_State_of_Minas_Gerais.html
4376330,Museu de Tipografia Pão de Santo Antonio,"Praça Professor José Augusto Neves, 171 Rio Grande, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,12,-18.238449096679688,-43.595951080322266,https://www.tripadvisor.com.br/Attraction_Review-g303380-d4376330-Reviews-Museu_de_Tipografia_Pao_de_Santo_Antonio-Diamantina_State_of_Minas_Gerais.html
2389949,Capela Imperial de Nossa Senhora do Amparo,"Rua do Amparo, 129, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,47,-18.244340896606445,-43.59587860107422,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389949-Reviews-Capela_Imperial_de_Nossa_Senhora_do_Amparo-Diamantina_State_of_Minas_Gerais.html
4376328,Museu Daniel Luiz do Nascimento,"Rua Macau de Baixo 104 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,21,-18.24342918395996,-43.59813690185547,https://www.tripadvisor.com.br/Attraction_Review-g303380-d4376328-Reviews-Mine_Museum_Daniel_Luiz_do_Nascimento-Diamantina_State_of_Minas_Gerais.html
2389954,Casa do Forro Pintado (Museu de Arte Sacra),"Rua Direita, 36, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,18,-18.245731353759766,-43.59706115722656,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389954-Reviews-Casa_do_Forro_Pintado_Museu_de_Arte_Sacra-Diamantina_State_of_Minas_Gerais.html
15740585,Cachoeira do Barão,indef,Diamantina ,4.0,1,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303380-d15740585-Reviews-Cachoeira_do_Barao-Diamantina_State_of_Minas_Gerais.html
2389987,Casarão do Fórum,"Praça Juscelino Kubitschek, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,30,-18.249610900878906,-43.598060607910156,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389987-Reviews-Casarao_do_Forum-Diamantina_State_of_Minas_Gerais.html
15791947,Teatro Municipal Santa Izabel,"Praca Dom Joaquim 166 Rua do Palácio, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,3.0,2,-18.246719360351562,-43.594444274902344,https://www.tripadvisor.com.br/Attraction_Review-g303380-d15791947-Reviews-Teatro_Municipal_Santa_Izabel-Diamantina_State_of_Minas_Gerais.html
15752177,Igreja nossa senhora do Rosário,"Praça Dom Joaquim Atigo largo do Rosário), s/nº, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,1,-18.246089935302734,-43.594390869140625,https://www.tripadvisor.com.br/Attraction_Review-g303380-d15752177-Reviews-Igreja_nossa_senhora_do_Rosario-Diamantina_State_of_Minas_Gerais.html
4376331,Serenade Museu da Casa Cultural de Pequenas Artes,"Rua da Gloria 252 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,5.0,1,-18.24144744873047,-43.60127639770508,https://www.tripadvisor.com.br/Attraction_Review-g303380-d4376331-Reviews-Serenade_Museu_da_Casa_Cultural_de_Pequenas_Artes-Diamantina_State_of_Minas_Gerai.html
2389990,Fazenda Batatal,indef,Diamantina ,indef,0,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303380-d2389990-Reviews-Fazenda_Batatal-Diamantina_State_of_Minas_Gerais.html
20245861,Paróquia do Divino Pai Eterno,"Praça José Augusto Neves, 171, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,0,-18.238449096679688,-43.595951080322266,https://www.tripadvisor.com.br/Attraction_Review-g303380-d20245861-Reviews-Paroquia_do_Divino_Pai_Eterno-Diamantina_State_of_Minas_Gerais.html
20245863,Chafariz da rua Direita,"Rua Macau de Baixo 17, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,0,-18.24403190612793,-43.59790802001953,https://www.tripadvisor.com.br/Attraction_Review-g303380-d20245863-Reviews-Chafariz_da_rua_Direita-Diamantina_State_of_Minas_Gerais.html
