estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem,idioma
Parque Estadual do Biribiri,4475315,atracao-review,Jairo_Will_I_Am,2021-01-27,2021-01-27,5.0,Excelentes espelhos d'água,"Lugar com diversas opções pra tomar um sol, cortar uma água e dar uns mergulhos. Lugares com cenários encantadores. Vale muito a visita.","Sumaré, SP",pt
Parque Estadual do Biribiri,4475315,atracao-review,ericaaH8265VI,2021-01-27,2021-01-27,5.0,Incrível,"As trilhas são bem acessíveis, as cachoeiras sao lindas, o parque é bem preservado, a entrada é bem próxima ao centro da cidade. Apenas a rodovia que dá acesso à diamantina estava MUITO esburacada, o que aumentou bastante o tempo até lá.","Barueri, SP",pt
Parque Estadual do Biribiri,4475315,atracao-review,Robarzaghi,2021-01-27,2021-01-27,5.0,imperdível ,"o local é cheio de surpresas e com cachoeiras lindas... que delícia.

na vila é possível comer bem e não pagar muito.","Rio de Janeiro, RJ",pt
Parque Estadual do Biribiri,4475315,atracao-review,andreaptravassos,2021-01-27,2020-12-27,5.0,Excelente opção para passar o dia.,"Este parque estadual é realmente muito próximo a cidade e de fácil acesso. Tem cachoeiras lindas para voce nadar, se energizar e apreciar a belissima paisagem. Super recomendo!","Atibaia, SP",pt
Parque Estadual do Biribiri,4475315,atracao-review,saulom411,2021-01-27,2021-01-27,4.0,Bom pra passar o dia,"O parque fica bem perto de Diamantina. Fomos por volta de 10 hs. Paramos na primeira cachoeira, Sentinela. O carro chega bem próximo dela. Ficamos na parte debaixo e depois fomos pra parte de cima, onde o acesso também é fácil. A outra cachoeira que fomos é a Cristais. Essa não é boa para banho. Vale a pena or para conhecer e tirar fotos. Depois fomos para a vila, onde paga uma taxa de R$5,00/pessoa. Tem um gramado muito bonito e 2 ou 3 bares em volta. Tivemos a indicação do restaurante do Raimundo, porém ele já não funciona mais. Ficamos num café, onde também é servido o excelente chopp da cervejaria Capistrana e alguns petisco.","Pará de Minas, MG",pt
Parque Estadual do Biribiri,4475315,atracao-review,priscila348,2020-12-27,2020-10-27,5.0,Parque próximo à Diamantina e com várias atrações,"O Parque Biribiri vale a visita! Além de estar muito próximo da cidade, o acesso é fácil e bem sinalizado. Conhecemos lá desde cachoeiras, trilhas a pinturas rupestres. A vila Biribiri também está dentro do Parque. Mais um local agradável, interessante e conta com 2 bons restaurantes para almoço ou jantar. Torna a ida ao Parque um programa bem completo.",São Paulo,pt
Parque Estadual do Biribiri,4475315,atracao-review,Juniorlindo,2020-11-27,2020-03-27,5.0,Bucolico passeio,"cachoeiras sentinela , cristais ao longo dos 12km de Diamantina ate Biribiri. almoço delicioso. Frango com quiabo. Cerveja gelada. Brisa. gramado verdinho.
palco do filme : vida e morte de Augusto Matraga.
Leve seu PET a essa aventura.
Ao lado das mesas uma fonte jorra um borbotão onde vc poderá se banhar.
Circulando biribiri um rio de aguas cristalinas permitido banhos.","Belo Horizonte, MG",pt
Parque Estadual do Biribiri,4475315,atracao-review,Daniellemcr,2020-10-27,2020-10-27,5.0,Agradável,"Cachoeiras muito bonitas, o local é ótimo para apreciar as belezas naturais de Diamantina, com muitas opções de passeio no parque.",indef,pt
Parque Estadual do Biribiri,4475315,atracao-review,50ta_sef,2020-10-27,2020-09-27,4.0,Lindo lugar,"O Parque é lindo, a estrada de terra é bem conservada. Fomos no domingo e não conseguimos ir nas cachoeiras porque estava lotado. Voltamos na segunda-feira e estava bem vazio, com poucas pessoas. Como estávamos com uma criança de 4 anos não ficamos na cachoeira dos cristais, pq é mais funda. Ficamos na primeira cachoeira Sentinela, na parte mais baixa. A cachoeira, subindo, tem vários outros poços em que se pode ficar. No local não tem estrutura, então deve-se levar água e comida.","Abre Campo, MG",pt
Parque Estadual do Biribiri,4475315,atracao-review,DiogoAR,2020-09-27,2020-09-27,5.0,Ohh delicia de lugar!,"Cantinho muito gostoso de Diamantina! Quem vem a cidade, tem q ir em Biri-Biri pra curtir um lugarejo com muito sossego e simplesmente maravilhoso. No meio do caminho (12km de estrada de terra), temos algumas cachoeiras e mirantes. Dentro do vilarejo, restaurantes e uma pousada. Simplesmente maravilhoso! #Recomendo","Belo Horizonte, MG",pt
