estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_estadia,nota,titulo,conteudo,tipo_viagem,origem,latitude,longitude
"Hotel Canto do Chafariz",18719227,hotel-review,157jonasf,2021-09-08,2021-09-18,5.0,"Merecia nota 11","O prédio é um casarão reformado e reformulado para se tornar um hotel. Os detalhes são bem charmosos, e tudo muito bem criado. Os quartos são espaçosos, com camas confortáveis, TV, frigobar, ventilador e chuveiro bem quente. O café da manhã parece mais um café colonial. É preciso muito cuidado pra não voltar uma bola! Há poucas vagas de estacionamentos, anexo à Câmara Municipal. A localização é excepcional, a passos da Catedral, e por último, e não poderia faltar, a rasgação de elogios para a equipe do hotel! Sempre zelosos, atenciosos, sorridentes, cheios de mimos com os hóspedes, um melhor e mais educado que o outro. Incrível a experiência que tive! Estão de parabéns!",indef,indef,-18.244367599487305,-43.597965240478516
"Hotel Canto do Chafariz",18719227,hotel-review,git853,2021-09-01,2021-08-18,5.0,"Acolhedor e encantador","Hotel integrado à cidade tanto em localização -que nao podia se melhor -quanto por se tratar de um lugar com jeito de cidade histórica, decoração, atendimento, café da manhã. Um conjunto de coisas que te acolhem, te abraçam e te fazem sentir no lugar certo.",Viajou em casal,indef,-18.244367599487305,-43.597965240478516
"Hotel Canto do Chafariz",18719227,hotel-review,anapaulamatos2311,2021-07-18,2021-07-18,3.0,"Recomendo com ressalva","Atendimento ímpar, destaque para o Ricardo, super solícito desde o atendimento inicial no zap, a moça que divide a recepção com ele, super solicita tb. Localizado no centro histórico, se der sorte consegue deixar o carro no estacionamento, que foi o nosso caso. Café da manhã muito bom, quarto e banheiro muito pequeno, falta local para acomodar as malas, chuveiro precisa de manutenção, foi difícil tomar banho, pouca pressão na água e meu marido teve que “limpar” o chuveiro com a escova de dente pq não saía água direito! No mais, recomendo.",Viajou com amigos,"Belo Horizonte, MG",-18.244367599487305,-43.597965240478516
"Hotel Canto do Chafariz",18719227,hotel-review,Rubi_Silva,2021-01-18,2021-01-18,4.0,"Melhor café da manhã! ","A localização do hotel é muito boa para visitar o centro histórico. O atendimento é muito cordial e o café da manhã é um espetáculo! Tudo feito no hotel com várias opções gostosas! O ponto negativo é o tamanho do banheiro: extremamente pequeno! No mais, tudo muito bom.",Viajou em casal,"Brasília, DF",-18.244367599487305,-43.597965240478516
"Hotel Canto do Chafariz",18719227,hotel-review,pauloaA2249SJ,2020-02-18,2020-01-18,1.0,"Qualidade","Hotel muito bom. Excelente cafe da manha e atendimento dos colaboradores do hotel. Educacao, cordialidade.
A limpeza e decoracao do hotel tambem sao.otimos. possui garagem. Wi-fi. O cafe da manha e farto e variado",Viajou sem companhia,indef,-18.244367599487305,-43.597965240478516
"Hotel Canto do Chafariz",18719227,hotel-review,letieneb,2020-02-18,2020-01-18,5.0,"Satisfeitos","Hotel excelente em todos os quesitos! Ótima localização,fizemos todos os passeios no centro à pé.Limpeza nota 10 o hotel,os quartos são super limpos todos os dias e muito cheirosos.Todos os funcionários educados e atenciosos e sem contar no belo café da manhã,farto e em um ambiente super charmoso.Minha família e eu amamos a nossa estada e com certeza voltaremos ao Canto do Chafariz!!",indef,indef,-18.244367599487305,-43.597965240478516
"Hotel Canto do Chafariz",18719227,hotel-review,jos_lu_sg,2020-01-18,2020-01-18,4.0,"Localização nota dez.","Atrás da catedral da cidade, este excelente hotel está localizado em um casarão antigo, muito bem conservado. Quartos amplos e limpos com um chá da tarde delicioso. Próximo a todas as atrações históricas da cidade. O estacionamento, compartilhado com a Câmara Municipal, conta com apenas cinco vagas exclusivas para o hotel. Lembre-se que estamos em uma cidade histórica, em que estacionamentos em hotéis são raros. O café da manhã é farto, mas falta um funcionário no local.",indef,"Botucatu, SP",-18.244367599487305,-43.597965240478516
"Hotel Canto do Chafariz",18719227,hotel-review,santoscasonia,2019-11-18,2019-11-18,4.0,"Decoração impecável!!!","O hotel fica em prédio histórico do centro da cidade. Foi reformado e está em funcionamento há apenas quatro meses. Lindamente decorado, sofisticado, possui quartos amplos. O enxoval de cama e banho é excelente. Café da manhã muito bom.
O único problemas são os banheiros das suítes que ainda não foram reformados.",Viajou a trabalho,"Belo Horizonte, MG",-18.244367599487305,-43.597965240478516
"Hotel Canto do Chafariz",18719227,hotel-review,luiza526,2019-10-18,2019-10-18,5.0,"Linda","Fui numa excursão para Diamantina, ficamos hospedados neste hotel, onde fomos recebidos com um coquetel maravilhoso, os funcionários muito educados, um ótimo café da manhã, quartos grandes, e na saída fomos surpreendidos com um mimo. Adorei",Viajou com amigos,"Barão de Cocais, MG",-18.244367599487305,-43.597965240478516
"Hotel Canto do Chafariz",18719227,hotel-review,Geraldobicalho1,2019-10-18,2019-10-18,5.0,"Parabéns pela atenção","Fiquei amplamente feliz em passaro meu niver neste hotel. Todos os funcionários e direção sao amplamente educados e atenciosos! Eternamente grato! Voltarei com certeza e recomendo o hotel pois é um hotel encantador",Viajou com amigos,indef,-18.244367599487305,-43.597965240478516
