estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem
Catedral Pub,10451204,restaurante-review,Rubi_Silva,2021-01-10,2021-01-26,4.0,"Cervejas perfeitas!","As cervejas que pedimos estavam perfeitas! Geladíssimas! Cardápio muito bom de cervejas especiais. Ótimo Atendimento e preços justos. Só não amei o cardápio de comidas, aí resolvemos comer em outro lugar. Para cervejas especiais é o melhor lugar de Diamantina!","Brasília, DF"
Catedral Pub,10451204,restaurante-review,saulom411,2021-01-03,2021-01-26,4.0,"Vários rótulos de cerveja","O local é muito bem localizado e os garçons super atenciosos. Existe uma quantidade boa de rótulos de cerveja. Comemos uma brusqueta que estava muito boa. A intenção era ficar ali um tempo e depois jantar em outro local. Porém o ambiente estava muito agradável que resolvemos jantar ali mesmo. Minha esposa pediu uma panhoca que estava boa. Eu pedi um bife de chorizo que não estava tão legal assim. Os pratos são fartos, então se a fome não for muita, serve duas pessoas. Uma dica pro pessoal da casa, é colocar no cardápio quantos gramas de carne vem no prato. Meu bife veio muiiiiito grande e não consegui comer todo. Se vier informando a quantidade no cardápio pro pessoal escolher, creio que ficaria melhor. No mais o local é show. Parabéns.","Pará de Minas, MG"
Catedral Pub,10451204,restaurante-review,mandinha23souza,2020-10-12,2020-10-26,4.0,"Uma festa surpresa","Recebemos a indicação do Pub, por meio da Pousada Relíquias do Tempo, adoramos! Uma delícia o ambiente, comida gostosa e colaboradores do restaurante atenciosos. Não deixe de experimentar o catchup de goiabada, é uma grata surpresa!","Coronel Fabriciano, MG"
Catedral Pub,10451204,restaurante-review,NatyJSM,2020-10-10,2020-10-26,5.0,"Muuuuuuito bom !!!","Ótimo atendimento, ótima comida e chopp nota 10! O que combinou demais foi o chopp pale ale com a porção deliciosa de costelinha. Aprovado!",indef
Catedral Pub,10451204,restaurante-review,taisinhafernandes,2020-10-02,2020-09-26,4.0,"Otimo","O cardápio do bar é variado. O bolinho de feijoada uma delícia. Os guardanapos vem devidamente separados. Fomos atendidos por um funcionários super atencioso, apesar de estar sozinho fazendo bebidas, atendendo mesas e realizando pagamentos. O Petit gateau deixou a desejar.","Abre Campo, MG"
Catedral Pub,10451204,restaurante-review,MariliaSegalla,2020-08-16,2020-08-26,5.0,"Delicia de lugar","Comida ótima, atendimento perfeito. Ótimo custo beneficio. De frente à catedral , logo de cara chama a atenção por ser bem charmoso.","São Paulo, SP"
Catedral Pub,10451204,restaurante-review,isiscassis,2020-04-07,2020-01-26,5.0,"Ambiente agradável e excelente atendimento","Os dois pubs mantêm a mesma qualidade, a comida é ótima e o chopp e cerveja sempre bem gelados. O Pub da rua direita é menor e bem aconchegante, o do beco da tecla é um espaço maior, também aconchegante.",indef
Catedral Pub,10451204,restaurante-review,Xisto S,2020-03-17,2020-03-26,4.0,"Animação garantida","A vida noturna de Diamantina é super animada. E esse é um bar super bonito,com comidas e drinques deliciosos. Música ao vivo no fds e muita gente bonita. Amei.",indef
Catedral Pub,10451204,restaurante-review,fabiodtna,2020-03-06,2020-02-26,5.0,"Opções e atendimento","Excelentes opções tanto comida quanto cervejas. Bem localizada e com ambiente agradavel nos fazendo sentir em um verdadeiro PUB","Diamantina, MG"
Catedral Pub,10451204,restaurante-review,Daniellacosta25,2020-02-15,2020-02-26,4.0,"Boa opção no centro de diamantina","Fui ao Catedral Pub em uma viagem em fevereiro. Queria ir a um lugar simpático no Centro. O bar chama a atenção ja do lado de fora. Fui super bem atendida por um bartender simpático. E o hambúrguer estava ótimo! Voltaria com certeza.",indef
Catedral Pub,10451204,restaurante-review,José Luís G,2020-01-19,2020-01-26,5.0,"Pub com atendimento excelente","Localizado ao lado da Catedral da cidade, de noite serve caldos excelentes a preços convidativos. O diferencial é o atendimento, sempre muito cortês.",indef
Catedral Pub,10451204,restaurante-review,RodrigoA587,2020-01-18,2019-12-26,4.0,"Excelente burguer e cervejas!","Seguindo as dicas do TripAdvisor, adoramos esse restaurante localizado ao lado da Catedral. Atendimento muito bom e gostamos das comidas e bebidas. Pecou a qualidade do som ambiente que, embora tivesse boa seleção musical, era estridente e nos incomodava um pouco. Voltaria!","Salvador, BA"
Catedral Pub,10451204,restaurante-review,529mariaisabelc,2020-01-08,2019-12-26,4.0,"Boas porções para compartilhar","As porções são bem grandes e a carta de cervejas é boa e variada. Bom atendimento. Boa localização..",indef
Catedral Pub,10451204,restaurante-review,Joao_Santana_07,2020-01-07,2019-12-26,4.0,"Um bom happy hour.","Estávamos atrás de bons drinks e petiscos de qualidade e pudemos encontrá-los no Catedral. Decoração muito interessante e de bom gosto, com um atendimento de qualidade. Um parabéns ao Barman Jeff, que é uma figura muito carismática e um grande profissional. Sugiro apenas, aumentar o número de drinks clássicos na carta de coquetéis pois ficar dependendo de drinks surpresas nem sempre é o que agrada a todos.","São João do Triunfo"
Catedral Pub,10451204,restaurante-review,lilizvasques,2019-12-06,2019-11-26,5.0,"Imperdível","Atendimento é um diferencial !!! Ótimo lugar para um jantar em Diamantina.
O preço é bom, o ambiente é lindo.
Várias opções de cervejas e vinhos.
Comemos o bolinho de feijoada e quibe de abobora recheado de coalhada seca, estavam simplesmente deliciosos.
Vale a pena a visita!","Jundiaí, SP"
Catedral Pub,10451204,restaurante-review,Dardeau,2019-10-23,2019-04-26,4.0,"Contemporâneo no histórico","O Catedral Pub, em Diamantina, é uma ação super contemporânea no seio daquela cidade histórica linda. O atendimento é profissional, sem deixar de ser acolhedor. Oferece cervejas e vinhos da região, além de hambúrgueres especiais. O ambiente é agradável. Uma construção de pedra, totalmente repaginada.",indef
Catedral Pub,10451204,restaurante-review,Simonesssena,2019-10-14,2019-04-26,5.0,"Lugar incrível","Otimo atendimento , variada carta de vinhos, drinks e cervejas artesanais. Petiscos super saborosos e diferentes. Ambiente muito bem decorado Musica agradável. Agora ao passear por Diamantina tem o Catedral como visita obrigatória. Fantástico","Belo Horizonte, MG"
Catedral Pub,10451204,restaurante-review,394samuelf,2019-10-08,2019-09-26,4.0,"Ambiente descolado em meio ao tradicional","Gostei muito da experiência que tive no Catedral Pub, sendo que estive em uma segunda-feira e o local aberto, todos os itens do cardápio disponíveis, atendimento prestativo e vasto cardápio de bebidas, cervas e vinhos, etc...música boa combinando com o ambiente descolado, mas sem agredir os ouvidos rs; pedimos petiscos, onde o kibe de abóbora recheado com coalhada seca estava surpreendente. Gostei, volto de novo","Goiânia, GO"
Catedral Pub,10451204,restaurante-review,guidinisil,2019-10-01,2019-09-26,4.0,"Jantar","Ambiente aconchegante, chopp geladinho, a comida deixou um pouco a desejar, esperava mais por ser Minas Gerais, a gente sempre espera mais por se tratar de comida mineira.","Ribeirão Preto, SP"
Catedral Pub,10451204,restaurante-review,Renata_aj,2019-09-28,2019-09-26,5.0,"Excelente escolha","Ambiente super agradável, com um clima intimista, bom atendimento, ótimas cervejas (possui uma carta de cervejas com muitos rótulos) e petiscos deliciosos. Adorei o local! Para os amantes de uma boa cerveja, vale a pena conhecer!!!","Contagem, MG"
Catedral Pub,10451204,restaurante-review,robertamdnta,2019-09-22,2019-09-26,5.0,"Excelente ambiente e comida","Ambiente sempre maravilhoso e comida deliciosa e atendimento perfeito. Dessa vez experimentei lascas de parmesão com mel flambado. E como sempre estava ótimo. Rua da Direita.","Diamantina, MG"
