hotel_id,nome,endereco,cidade,preco,tipo,qtd_quartos,qtd_avaliacoes,nota,categoria,nota_pedestres,restaurantes_perto,atracoes_perto,latitude,longitude,fonte
2005499,Diamante Palace Hotel,"Avenida Silvio Felicio Dos Santos, 1050 - Bom Jesus, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,238,Hotel,48,95,3.5,3.0,60,19,1,-18.239595413208008,-43.611690521240234,https://www.tripadvisor.com.br/Hotel_Review-g303380-d2005499-Reviews-Diamante_Palace_Hotel-Diamantina_State_of_Minas_Gerais.html
3619350,Pouso da Chica,"Rua Macau de Cima, 129 Centro Histórico, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,343,indef,22,208,4.5,indef,100,78,21,-18.243295669555664,-43.599327087402344,https://www.tripadvisor.com.br/Hotel_Review-g303380-d3619350-Reviews-Pousada_Pouso_da_Chica-Diamantina_State_of_Minas_Gerais.html
3858014,Hotel Estilo de Minas,"Avenida Joao Antunes 100A Bairro: Cazuza, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,277,Hotel,34,56,4.0,indef,37,128,33,-18.242029190063477,-43.63121032714844,https://www.tripadvisor.com.br/Hotel_Review-g303380-d3858014-Reviews-Hotel_Estilo_de_Minas-Diamantina_State_of_Minas_Gerais.html
18719227,Hotel Canto do Chafariz,"Rua Macau de Baixo 25 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,273,Hotel,20,9,4.0,indef,100,63,24,-18.244367599487305,-43.597965240478516,https://www.tripadvisor.com.br/Hotel_Review-g303380-d18719227-Reviews-Hotel_Canto_do_Chafariz-Diamantina_State_of_Minas_Gerais.html
1236928,Pousada do Garimpo,"Av. Da Saudade Nº 265, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,423,Pousada,39,267,4.0,indef,86,77,22,-18.25051498413086,-43.59501647949219,https://www.tripadvisor.com.br/Hotel_Review-g303380-d1236928-Reviews-Pousada_do_Garimpo-Diamantina_State_of_Minas_Gerais.html
2434689,Hotel Tijuco,"Rua Macau do Meio 211, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,220,Hotel,27,100,3.5,indef,100,62,19,-18.242671966552734,-43.599098205566406,https://www.tripadvisor.com.br/Hotel_Review-g303380-d2434689-Reviews-Hotel_Tijuco-Diamantina_State_of_Minas_Gerais.html
1236928,Pousada do Garimpo,"Av. Da Saudade Nº 265, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,423,Pousada,39,267,4.0,indef,86,77,22,-18.25051498413086,-43.59501647949219,https://www.tripadvisor.com.br/Hotel_Review-g303380-d1236928-Reviews-Pousada_do_Garimpo-Diamantina_State_of_Minas_Gerais.html
2005499,Diamante Palace Hotel,"Avenida Silvio Felicio Dos Santos, 1050 - Bom Jesus, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,238,Hotel,48,95,3.5,3.0,60,19,1,-18.239595413208008,-43.611690521240234,https://www.tripadvisor.com.br/Hotel_Review-g303380-d2005499-Reviews-Diamante_Palace_Hotel-Diamantina_State_of_Minas_Gerais.html
5543781,Pousada Acayaca,"Rua Acaiaca 65 Pousada Acayaca, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,160,Pousada,indef,10,3.5,indef,100,55,20,-18.24222183227539,-43.59603500366211,https://www.tripadvisor.com.br/Hotel_Review-g303380-d5543781-Reviews-Pousada_Acayaca-Diamantina_State_of_Minas_Gerais.html
2407046,Pousada Presidente,"Rua Oscar Batista 365, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,124,Pousada,13,30,3.5,indef,78,43,12,-18.236156463623047,-43.60154342651367,https://www.tripadvisor.com.br/Hotel_Review-g303380-d2407046-Reviews-Pousada_Presidente-Diamantina_State_of_Minas_Gerais.html
2631488,Pousada Da Seresta,"Rua Jogo Da Bola, 415 - Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,193,Pousada,32,52,3.5,indef,100,54,21,-18.247154235839844,-43.596832275390625,https://www.tripadvisor.com.br/Hotel_Review-g303380-d2631488-Reviews-Pousada_Da_Seresta-Diamantina_State_of_Minas_Gerais.html
13484082,Hostel Central Diamantina,"Rua Jogo da Bola, 311 Próximo ao tiro de guerra, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,Hostel,6,5,5.0,indef,98,52,20,-18.247968673706055,-43.597164154052734,https://www.tripadvisor.com.br/Hotel_Review-g303380-d13484082-Reviews-Hostel_Central-Diamantina_State_of_Minas_Gerais.html
15410871,Casa Antunes,"Rua Macau do Meio 161, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,190,indef,indef,3,5.0,indef,100,63,21,-18.243080139160156,-43.59882736206055,https://www.tripadvisor.com.br/Hotel_Review-g303380-d15410871-Reviews-Casa_Antunes-Diamantina_State_of_Minas_Gerais.html
17612519,Casa Solar Do Rosario,"Rua Monsenhor Gabriel Neves 08, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,indef,indef,indef,1,5.0,indef,87,33,12,-18.242979049682617,-43.5931510925293,https://www.tripadvisor.com.br/Hotel_Review-g303380-d17612519-Reviews-Casa_Solar_Do_Rosario-Diamantina_State_of_Minas_Gerais.html
11895492,Pousada Guinda,"Rua do Progresso, 63 Guinda - Diamaintina MG, Diamantina, Minas Gerais 39103-000 Brasil",Diamantina ,198,Pousada,10,1,5.0,indef,indef,indef,indef,-18.25472068786621,-43.683780670166016,https://www.tripadvisor.com.br/Hotel_Review-g303380-d11895492-Reviews-Pousada_Guinda-Diamantina_State_of_Minas_Gerais.html
