restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,categoria_preco,faixa_preco,latitude,longitude,fonte
10451204,Catedral Pub,"Rua Direita, 68 / Beco da Tecla, 39, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,178,$$ - $$$,indef,-18.244958877563477,-43.597415924072266,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d10451204-Reviews-Catedral_Pub-Diamantina_State_of_Minas_Gerais.html
7104755,Relicário Gastronomia,"Rua Joaquim Gomes da Costa, 59 Atras do Mercado Velho, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,276,$$ - $$$,indef,-18.243576049804688,-43.59653854370117,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d7104755-Reviews-Relicario_Gastronomia-Diamantina_State_of_Minas_Gerais.html
2390004,Apocalipse,"Praça Barão do Guaicuí, 78, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,510,$$ - $$$,indef,-18.244272232055664,-43.59678649902344,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d2390004-Reviews-Apocalipse-Diamantina_State_of_Minas_Gerais.html
2390020,Livraria Café Espaço B,"Beco da Tecla, 31, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,202,$$ - $$$,indef,-18.24458885192871,-43.59693908691406,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d2390020-Reviews-Livraria_Cafe_Espaco_B-Diamantina_State_of_Minas_Gerais.html
3646500,Deguste,"Beco do Mota 31 A, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,151,$$ - $$$,indef,-18.245168685913086,-43.59717559814453,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d3646500-Reviews-Deguste-Diamantina_State_of_Minas_Gerais.html
5957859,Café a Baiúca,"Rua Da Quitanda, 13 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,201,$$ - $$$,indef,-18.244903564453125,-43.59691619873047,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5957859-Reviews-Cafe_a_Baiuca-Diamantina_State_of_Minas_Gerais.html
5382251,Restaurante Do Raimundo Sem Braco,"Praca Pedro Duarte, 25 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,73,$$ - $$$,indef,-18.144546508789062,-43.619571685791016,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5382251-Reviews-Restaurante_Do_Raimundo_Sem_Braco-Diamantina_State_of_Minas_Gerais.html
5648403,Mr Chef's espaço gourmet,"Rua Vieira Couto 232 119 B- Segundo andar, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,98,$$ - $$$,R$ 85 - R$ 411,-18.245134353637695,-43.59709548950195,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5648403-Reviews-Mr_Chef_s_espaco_gourmet-Diamantina_State_of_Minas_Gerais.html
2390016,O Garimpeiro,"Avenida da Saudade, 265 Fica na Pousada do Garimpo, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,69,$$ - $$$,indef,-18.25044822692871,-43.595279693603516,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d2390016-Reviews-O_Garimpeiro-Diamantina_State_of_Minas_Gerais.html
8731390,Bar E Pizzaria Vagalume,"Beco do Alecrim 37, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,34,$$ - $$$,indef,-18.24522590637207,-43.597198486328125,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d8731390-Reviews-Bar_E_Pizzaria_Vagalume-Diamantina_State_of_Minas_Gerais.html
2390014,Caipirão,"Rua Campos Carvalho, 15, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,3.5,150,$$ - $$$,indef,-18.24485206604004,-43.5968132019043,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d2390014-Reviews-Caipirao-Diamantina_State_of_Minas_Gerais.html
2390013,Grupiara,"Beco Da Tecla , 61, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,192,$$ - $$$,indef,-18.244901657104492,-43.59669494628906,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d2390013-Reviews-Grupiara-Diamantina_State_of_Minas_Gerais.html
5391725,Restaurante Raimundo Sem Braco,"Rua Jose Anacleto Alves 18 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,32,$$ - $$$,indef,-18.239185333251953,-43.624244689941406,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5391725-Reviews-Restaurante_Raimundo_Sem_Braco-Diamantina_State_of_Minas_Gerais.html
6895178,Sushi Barroco,"Beco da Tecla 61 Close to the old market, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,54,$$ - $$$,R$ 5 - R$ 150,-17.813949584960938,-43.42311096191406,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d6895178-Reviews-Sushi_Barroco-Diamantina_State_of_Minas_Gerais.html
6211482,Singular Cha Com Arte,"Beco da Tecla 28, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,5.0,13,$$ - $$$,indef,-18.24482536315918,-43.59684753417969,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d6211482-Reviews-Singular_Cha_Com_Arte-Diamantina_State_of_Minas_Gerais.html
7256008,Butiquim da Quitanda,"Rua Da Quitanda, 34 Downtown, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,58,$$ - $$$,indef,-18.245153427124023,-43.59682846069336,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d7256008-Reviews-Butiquim_da_Quitanda-Diamantina_State_of_Minas_Gerais.html
5869283,Esquina da Quitanda,"Rua Da Quitanda, 39 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,33,$$ - $$$,indef,-18.245399475097656,-43.59676742553711,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5869283-Reviews-Esquina_da_Quitanda-Diamantina_State_of_Minas_Gerais.html
5387773,Restaurante Mineiro,"Avenida Silvio Felicio dos Santos 681 St Central, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,16,$,indef,-18.241689682006836,-43.60636520385742,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5387773-Reviews-Restaurante_Mineiro-Diamantina_State_of_Minas_Gerais.html
18840737,São Benedito Café e Empório,"Rua Macau do Meio 173, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,10,$,R$ 10 - R$ 50,-18.24249267578125,-43.59899139404297,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d18840737-Reviews-Sao_Benedito_Cafe_e_Emporio-Diamantina_State_of_Minas_Gerais.html
4531638,Pizza Chic,"R. Direita, 44 Centro, Diamantina, Minas Gerais Brasil",Diamantina ,4.0,15,$,indef,-18.24571990966797,-43.597190856933594,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d4531638-Reviews-Pizza_Chic-Diamantina_State_of_Minas_Gerais.html
7247145,Restaurante & Lanchonete Sao Jose,"Rua Macau do Meio 107, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,13,$,indef,-18.243709564208984,-43.59852981567383,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d7247145-Reviews-Restaurante_Lanchonete_Sao_Jose-Diamantina_State_of_Minas_Gerais.html
6734932,Restaurante Diamante,"Avenida Silvio Felicio dos Santos 1050, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,12,$$ - $$$,indef,-18.239688873291016,-43.6116943359375,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d6734932-Reviews-Restaurante_Diamante-Diamantina_State_of_Minas_Gerais.html
10784255,Bar e Restaurante do Adilson,"Biribiri, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,18,$$ - $$$,indef,-18.14528465270996,-43.62049102783203,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d10784255-Reviews-Bar_e_Restaurante_do_Adilson-Diamantina_State_of_Minas_Gerais.html
17323286,Cerveja Arte Tijucana,"Beco da Tecla 58, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.5,7,$$ - $$$,R$ 21 - R$ 69,-18.244354248046875,-43.596954345703125,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d17323286-Reviews-Cerveja_Arte_Tijucana-Diamantina_State_of_Minas_Gerais.html
