estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem,latitude,longitude,idioma
Playa El Carabassi - Elche,8399005,atracao-review,Q8601RQlauram,2021-08-20,2021-08-03,1.0,Mala,"20 / 08/21 socorrista joven de la playa número 11 de arenales del sol. Teniendo razón se dirige de muy malos modales, me ha llamado la atención, y tenía razón pero me lo ha dicho de muy malas formas, si pilla a una persona como él se podía haber formado una bronca. Veinte añero que se crece con el uniforme de socorrista y carece de educación y respeto con gente más mayor que él.",1 aporte,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Dreamer23112099603,2021-08-18,2021-08-03,1.0,PÉSIMO Y LAMENTABLE CHIRINGUITO DE PLAYA EL CARABASSÍ,"No pongo menos estrellas porque no se puede. La pésima opinión no es de la playa. Es sobre el chiringuito “El Carabassí”. Propiedad, según nos dijo él mismo, de un tal Nicolás Romero.
Un servicio pésimo. Peor imposible. El trato no pudo ser más desagradable, irrespetuoso, mezquino y chabacano.
Estábamos mi pareja y yo, plácidamente, comiendo allí, cuando desde la barra, con muy malos modales, sin ningún respeto, con total despotismo y de modo muy chulesco, empezó a hacer gestos con la cabeza uno de los trabajadores (supuestamente el dueño Nicolás Romero).
Mi marido, se quedó mirando porque no sabía si nos decía algo a nosotros. A lo que le miró y dijo “¿que?”haciendo referencia a si le decía algo. A lo que yo miré, y me llamó la atención porque estaba apoyando la pierna sobre la silla que tenía a mi lado (era una mesa de cuatro y éramos 2, y esa silla de mi derecha era en la que estaba apoyado mi bolso de playa, y en la izquierda mi marido).
Me quedé muy sorprendida y le respondí “¿como dices?” A lo que respondió con esa soberbia y actitud de superioridad que no apoyara el pie que era de mala educación, por lo que se desencadenó una discusión al atacarme de esa forma un total desconocido y a quien estamos pagando por comer allí.
Trajeron los postres, lo que rechacé al instante de ponerlo en la mesa, por supuesto sin tocarlo, después de hacernos sentir tan sumamente incómodos, lo que volvió a generar otro enfrentamiento con el camarero que lo servía ya que dijo que lo iba a cobrar y a lo que, por supuesto me negué, dejándole claro que bastante es que pagaba el resto del servicio porque después del trato recibido tenía que levantarme y marcharme.
Este camarero en cuestión, volvió a generar conflicto. Lejos de empatizar, mediar o disculparse, se pudo a dar la razón a su compañero, lo que generó en una discusión mayor que acabó con una hoja de reclamación que alegó negando todo y siendo un MENTIROSO con todas las letras. Posterior a la reclamación vino para generar más conflicto , con una actitud también machista ya que trataba de ignorarme a mi para hablar con mi marido “de macho a macho”. No recibí disculpas en ningún momento y nos llevamos la hoja de reclamación, esperando que nadie más pase por lo que nosotros hemos pasado, y que nadie acude a tal bazofia de lugar, porque además de ser un chiringuito CUTRE de playa sin ningún encanto, con comida mediocre, (lo único que vale es la comodidad de comer algo a pie de playa y no tener que moverte) los camareros se permiten el lujo de dar un trato despectivo y despreciativo a los clientes, e intentar dar clases de una educación que les falta a ellos mismos.
Por si fuera poco, los cañaremos en COCINA Y EN BARRA se permiten el lujo de bajarse la mascarilla o ponérsela por debajo de la nariz como el propio Nicolás hacia, por lo que también le llamé la atención durante nuestra reclamación ya que me hablaba sin la mascarilla puesta.
Se merecen que les cierren por no cumplir con las normas legales ni las morales. Ojalá nadie vuelva a recibir un trato así de gente a la que vas a darle vida a su negocio. Lejos de estar agradecidos, te atacan. LAMENTABLE.","Madrid, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,adY2876OM,2020-11-15,2020-07-03,5.0,Playa del Carabassí,"Esta playa está frente a Gran Alacant, una urbanización de dimensiones enormes, con un acantilado al fondo. Es limpia y grande, con buen acceso.","Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,watios2,2020-08-23,2020-08-03,5.0,acertada la playa,"llegar pronto ,pero hay sitio para todos,es muy recomendable ,las aguas son muy tranquilas.puedes pasear y esta muy vigilada",10 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Gatos_de_Schrodinger,2020-08-14,2020-08-03,4.0,Excelente playa,"Esta playa tiene arena dorada y fina y un agua limpia y muy transparente.
La decepción este año, por el Covid-19, ha sido que han quitado todos los chiringuitos, con lo que no hay ninguna zona de alquiler de tumbonas.",19 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,montxino,2020-07-23,2020-07-03,3.0,Playa normal,"Fuimos después de comer tras ver en una web de Elche en la que se indicaba que no estaba muy concurrida y que no tenía bandera roja. Tiene varias pasarelas/accesos de unos 200 metros. Bastantes aparcamientos (zona verde - 4 horas máximo) a lo largo de la playa. Al final de cada pasarela, dirección playa, hay una fuente para limpiarse los pies al salir. El agua no es ni trasparente ni cristalina. Bastante revuelta. La zona en la que nos pusimos, había bastante suciedad (colillas y demás). No hay limitaciones para mantener la distancia por la covid-19.","Barakaldo, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,roggerina,2020-07-23,2020-07-03,4.0,Buena playa,"Estrechita, ya que respeta las dunas, pero larga. Habia bien de sitio para aparcar sobre las 16h, pero cuando nos fuimos sobre las 18h estaba el parking a rebosar y empezaba a venir mas gente. El agua limpia, calida y un poco oleaje ya que habia bandera amarilla. Cuando fuimos habia bastante ocupacion pero se podia mantener 3 metros con los demas.","Barakaldo, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,niuskach,2020-07-13,2020-07-03,5.0,Playa ideal,"Aunque sea una playa urbana, tiene los encantos de una virgen, ya que está bien cuidada y resguardada de la civilización, respetando las dunas. Normalmente de aguas tranquilas, ideal para dar un largo paseo.","Móstoles, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Mmrmanulin,2020-01-30,2020-01-03,4.0,Paraíso destruido en parte pero superviviente gracias a la protección de la naturaleza,"Es un lugar precioso con playas que deberían ser idílicas pero que por desgracia el mar las ha absorbido
Menos mal que al ser paraje protegido las dunas naturales han absorbido el envite del mar
Así debería de estar todo el Mediterráneo, conservado sin edificaciones cercanas al mar y su entorno natural","Madrid, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Q4736AMmar_ab,2019-12-29,2019-10-03,1.0,Playa poco recomendable,"Huele fatal, incluso cuando abres los grifos para quitarte la arena. Además, agua fangosa llena de algas. Una experiencia desagradable, para no repetir.",1 aporte,38.24039077758789,-0.5147629976272583,es
