estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_estadia,nota,titulo,conteudo,tipo_viagem,origem,latitude,longitude
"Port Jardín Milenio",1159393,hotel-review,mallo_1982,2021-09-01,2021-09-01,2.0,"No es un 4 estrellas","Fuimos con la ilusión de disfrutar de un hotel 4 estrellas y no lo es. Lo sería en el año 2000 cuando abrió, está tal cual, nada reformado, ya lo han amortizado. Lo mejor de la habitación son las camas, juntan dos lo que la convierte en una King size. Pero el mobiliario es antiguo, una mesa baja inestable que oscila, óxido en la bañera. El hotel tiene dos accesos hasta la recepción, uno por la entrada principal y otro desde el parking donde tienen instalada una especie de rampa doble accesible un tanto precaria. Lo mejor que tienen es el personal atento y muy amable siempre con una sonrisa, desde la recepción hasta las 'Kellys'. No puedo decir lo mismo de la cafetería, allí tienen a una chica muy joven bastante borde y maleducada en los desayunos, pero eso es cuestión del restaurante. En resumidas cuentas... Muy bien situado, todos los servicios cerca, muy amables pero te cobran como un 4 estrellas cuando no lo parece.",Viajó en pareja,indef,38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,felipegH7872GA,2021-08-01,2021-08-01,2.0,"Decepcionante","Si no supiera que tiene 4 estrellas habría apostado a que es un tres estrellas.
Solo pedimos dos cosas al realizar la reserva, una cama de matrimonio y una cuna. Al llegar no teníamos ni guna de las dos.
El servicio de cenas muy malo. Reservamos a las 21:30, llegamos a las 21:20 y estuvimos esperado 45 minutos a que nos tomasen nota.
Así que terminamos la cena a las 23:10, una hora y 50 minutos después de llegar, siendo dos personas y con un menú precocinado. MAL.
La habitación está bien,algo antigua,pero aceptable.
Y finalmente el desayuno, bastante escaso y poco variado para un hotel de 4 estrellas.
Pasamos una noche y no acabamos muy contentos,suerte que no eran nuestras vacaciones.",Viajó con familia,indef,38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,Israel1414,2021-08-01,2021-08-01,3.0,"Para ser 4 estrellas flojito","Hotel grande con un buen aparcamiento, aunque depende quién aparque le cobran 6'50 euros por noche o se lo perdonan. Las habitaciones son grandes , así como el baño. La bañera estaba oxidada y desgastada, necesita una reforma. Se escuchaba bastante a la gente en el pasillo y a los vecinos de habitación. El desayuno estaba muy bien, con mucha variedad. En definitiva, para ser un 4 estrellas le faltan varios detalles.",Viajó en pareja,"Mieres, España",38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,Culturitas,2021-08-01,2021-08-01,3.0,"Un hotel en medio del palmeral","El hotel está muy bien situado y me encantaron sus instalaciones. Muy disponible el personal de recepción.Habitación amplia y bien decorada.
Es un hotel muy recomendable aunque le faltan estos detalles para que le pueda dar el máximo de puntuación siendo un 4 estrellas : jabón con dispensador en ducha y lavabo pero falta en el bide. Falta toallas de bide. En el baño solo había un gorro de ducha y un limpa zapatos. La puerta del baño no se cerraba.
En el desayuno las 4 personas no lograban reponer la comida y se le amontonaban las bandejas.
Un hotel de 4 estrellas tiene que esmerar
los detalles.",Viajó con amigos,"Milán, Italia",38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,angelines552017,2021-08-01,2021-08-01,4.0,"Íbamos de paso a Cabo de Gata","Muy limpio,buena ubicación, tranquilo y buen servicio. Ideal en para pasar unos días en familia.
Desayuno completo y muy bueno.
Quizá la piscina se queda algo justa para la gran cantidad de clientes que tienen.
Pero muy recomendable sin duda.",Viajó con familia,"Huesca, España",38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,maite1966,2021-07-01,2021-06-01,5.0,"Fantástico","Hotel con una magnifica relacion calidad precio. El personal es muy amable y servicial. Nos tocó una habitación reformada que, ademas de cómoda, era muy bonita. Daba a la carretera y creímos que temdría,os ruido, pero no fue así, ni de la recepcion ni de la calle. A un momento del centro andando. Piscina y jardin ideal. En definitiva, un oasis en medio de Elche y con muy buen precio",indef,"Sant Cugat del Vallès, España",38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,manuelbamo,2021-07-01,2021-06-01,2.0,"Alguien no ha sido honradoo conmigo","Salí de mi estancia en el hotel encantado en todos los aspectos, al igual que en anteriores ocasiones...
Personal, limpieza, restaurante, piscina etc.
Al llegar a mi domicilio observo que me he dejado olvidado un receptor multimedia en la parte trasera de la tv. Llamo y lo comunico a recepción y me dicen que no me preocupe que me devuelve la llamada en 5 minutos....No lo hace. Al dia siguiente insisto en preguntar y la contestación es la misma, pero que no habian podido todavia contactar con la compañera de habitaciones....Cuando me devuelven la llamada, unas horas despues; casi 24 horas desde la primera comunicación mia, me dicen que el aparato no está en la habitación y que lo sentian mucho....
Alguien no ha sido honrado conmigo en ese hotel, bien algun empleado o bien algun cliente que estuviera alojado en la habitación despues de mí.
Si uno olvida algo en un hotel espera que se lo recojan y al menos se lo guarden inmediatamente.
No volveré a pisarlo y soy cliente habitual de la cadena y siempre en temporadas de larga estancia.
Manuel Barriga",indef,"Alpedrete, España",38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,joislajoisla,2021-06-01,2021-06-01,5.0,"Perfecto. Relación calidad precio inmejorable.","Muy buena calidad y a un precio excepcional.
Instalaciones perfectas.
Piscina inmejorable.
Desayuno incluido y de gran calidad.
Absolutamente nada que reprochar, para repetir sin duda.
La atención en recepción fue estupenda.
Llegamos en moto y pudimos aparcar dentro de la instalaciones a un precio más que razonable.
Todo muy muy bien.",Viajó con amigos,"Palma de Mallorca, España",38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,Batujuanche,2021-06-01,2021-05-01,4.0,"Limpio y funcional","Limpio y funcional con parking para dejar el coche visible desde algunas habitaciones. Hotel bonito con cuidados lugares comunes, camas muy cómodas y buen restaurante. El único pero el desayuno buffet demasiado simple, pero suficiente",Viajó en pareja,"Madrid, España",38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,gigilop,2020-02-01,2020-02-01,3.0,"Una experiencia media","Teníamos altas expectativas, las fotos eran maravillosas, de un lugar idílico, nos pareció pequeño, las habitaciones se limpian muy tarde, nos dieron una habitación para discapacitados, el baño totalmente incómodo, el agua salía por todos sitios, la ducha con un asiento incomodísimo para usarla, el váter más alto, con barras acondicionadas, en fin un error asignarnos una habitación asi.
El parking 6, 50€ nadie verificó que el coche estuviera allí, sin vigilancia.
El desayuno desastroso, todo el hotel lleno, en horario de 8 a 11, muy escaso, no reponían con celeridad, churros los habían puesto muy temprano y el resto del desayuno no hubo, mesas sin recoger, poco personal, no había ni vasos ni tazas limpias, en fin un caos.
Seguramente no volveremos.",Viajó con familia,"Madrid, España",38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,lavidaeshumo,2020-02-01,2020-02-01,4.0,"PRIMERA VISITA","Este fin de semana fui por reunión.
Primera vez que me alojo en este hotel.

Es muy tranquilo.
Fácil por la ubicación.
Lejos del centro(25min.) Si vas andando.

Aparcamiento exterior semi cubierto por un tejado. 6'50€.

La recepción muy atentos y cordiales.
La habitación con muebles entre rústicos y semi modernos.

El cuarto de baño muy amplio y cómodo.
La cama una maravilla.

La única pega, el desayuno, (10€)
Muy muy escaso por lo que cobran.
Sólo 3 platos calientes, huevo frito, revuelto de tortilla y bacon, y como platos fríos, chorizo, salchichón, lomo, queso y jamón...
El resto, lo típico.
Bollería y fruta....
Por 10€ se puede añadir más variedad de caliente, es lo k apetece en invierno recién levantado, y no sale tan caro...
Los hoteles de 4☆ se han de notar en todo....",indef,"Guardamar del Segura, España",38.2590446472168,-0.6925650238990784
"Port Jardín Milenio",1159393,hotel-review,Sara_Gamboa,2019-10-01,2019-10-01,4.0,"Encantador","Encantador hotel en pleno palmeral. Habitación amplia y súper cómoda con vistas al precioso jardín. Además cuenta con piscina y servicios de cuidados personales. El desayuno es tipo buffet, muy variado. Además, en temporada baja es muy económico para las comodidades y la calidad que ofrece. La única pega es el café del desayuno, que es veneno.",Viajó por negocios,"Madrid, España",38.2590446472168,-0.6925650238990784
