hotel_id,nome,endereco,cidade,preco,tipo,qtd_quartos,qtd_avaliacoes,nota,categoria,nota_pedestres,restaurantes_perto,atracoes_perto,latitude,longitude,fonte
1159393,Port Jardín Milenio,"Carrer Curtidors, 17, 03203 Elche Espanha",Elche ,433,indef,indef,379,4.0,4.0,81,129,24,38.2590446472168,-0.6925650238990784,https://www.tripadvisor.com.br/Hotel_Review-g661469-d1159393-Reviews-Port_Jardin_Milenio-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
598237,Ibis Elche,"Calle Barchell 5, 03203 Elche Espanha",Elche ,279,indef,indef,451,4.0,3.0,43,51,7,38.27165222167969,-0.6703500151634216,https://www.tripadvisor.com.br/Hotel_Review-g661469-d598237-Reviews-Ibis_Elche-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
248967,Hotel Huerto Del Cura,"Calle Porta de La Morera 14, 03203 Elche Espanha",Elche ,510,Hotel,indef,982,4.0,4.0,94,67,8,38.26325988769531,-0.6924059987068176,https://www.tripadvisor.com.br/Hotel_Review-g661469-d248967-Reviews-Hotel_Huerto_Del_Cura-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
268990,TRYP Ciudad de Elche,"Avinguda en Joan Carles I 7, 03203 Elche Espanha",Elche ,326,indef,indef,460,4.0,3.0,100,120,25,38.26654815673828,-0.6948500275611877,https://www.tripadvisor.com.br/Hotel_Review-g661469-d268990-Reviews-TRYP_Ciudad_de_Elche-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
597012,Areca Hotel,"Calle Limon 2, 03320 Elche Espanha",Elche ,433,Hotel,indef,624,4.0,4.0,53,24,2,38.2940673828125,-0.5848510265350342,https://www.tripadvisor.com.br/Hotel_Review-g661469-d597012-Reviews-Areca_Hotel-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
596801,Sercotel Hotel AG Express Elche,"Autovia A-70 Km 25 Area de Servicio Elche, 03220 Elche Espanha",Elche ,247,Hotel,indef,134,4.0,2.0,indef,indef,indef,38.3094367980957,-0.6053720116615295,https://www.tripadvisor.com.br/Hotel_Review-g661469-d596801-Reviews-Sercotel_Hotel_AG_Express_Elche-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Count.html
321009,Campanile Elche,"Calle Petrer S/n Esquina Calle 2, 03206 Elche Espanha",Elche ,240,indef,indef,238,3.5,3.0,indef,indef,indef,38.276004791259766,-0.7209789752960205,https://www.tripadvisor.com.br/Hotel_Review-g661469-d321009-Reviews-Campanile_Elche-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
252745,B&B Hotel Elche,"Calle Almansa 62, 03206 Elche Espanha",Elche ,258,Hotel,indef,24,3.5,3.0,indef,indef,indef,38.2791748046875,-0.719760000705719,https://www.tripadvisor.com.br/Hotel_Review-g661469-d252745-Reviews-B_B_Hotel_Elche-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
630597,Hotel Port Elche,"Calle Miguel Servet 25 Elche Business Park, 03203 Elche Espanha",Elche ,403,Hotel,indef,380,4.0,4.0,indef,indef,indef,38.29481887817383,-0.6208320260047913,https://www.tripadvisor.com.br/Hotel_Review-g661469-d630597-Reviews-Hotel_Port_Elche-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
5029339,Apartamentos Finca Santa Barbara,"Lugar Jubalcoi 50, 03295 Elche Espanha",Elche ,504,indef,indef,13,4.0,1.0,indef,indef,indef,38.29242706298828,-0.6420829892158508,https://www.tripadvisor.com.br/Hotel_Review-g661469-d5029339-Reviews-Apartamentos_Finca_Santa_Barbara-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Cou.html
19807723,Hort De Nal,"Avda Candalix 27, 03202 Elche Espanha",Elche ,709,indef,indef,5,5.0,4.0,91,57,18,38.27043151855469,-0.6957700252532959,https://www.tripadvisor.com.br/Hotel_Review-g661469-d19807723-Reviews-Hort_De_Nal-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
5567351,Hostal Maria,"Avinguda Llibertat 4, 03206 Elche Espanha",Elche ,249,indef,indef,25,3.5,indef,88,21,7,38.27119827270508,-0.7016800045967102,https://www.tripadvisor.com.br/Hotel_Review-g661469-d5567351-Reviews-Hostal_Maria-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
1526918,Hostal Madruga,"Plaza Jardin de Aspe 5, 03205 Elche Espanha",Elche ,267,indef,indef,16,2.0,indef,indef,indef,indef,38.27643966674805,-0.7161999940872192,https://www.tripadvisor.com.br/Hotel_Review-g661469-d1526918-Reviews-Hostal_Madruga-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
1889869,Hotel Montemar,"Avenida Alegria 188, 03194 Elche Espanha",Elche ,227,Hotel,indef,19,3.0,indef,indef,indef,indef,38.139583587646484,-0.6473609805107117,https://www.tripadvisor.com.br/Hotel_Review-g661469-d1889869-Reviews-Hotel_Montemar-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
