restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,categoria_preco,faixa_preco,latitude,longitude,fonte
23274928,"Selecte Restaurant","C/juan De Herrera 38, 03203 Elche Espanha",Elche ,5.0,67,$$$$,R$ 195 - R$ 489,38.292640686035156,-0.6224300265312195,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d23274928-Reviews-Selecte_Restaurant-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
12091286,"Altamar","3 Calle Eugenio d'Ors 4, 03203 Elche Espanha",Elche ,4.5,292,$$ - $$$,indef,38.26362609863281,-0.6951169967651367,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d12091286-Reviews-Altamar-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
5493048,"Restaurante Estanquet","CV-855, Km.6, 03203 Elche Espanha",Elche ,4.5,588,$$ - $$$,indef,38.20101547241211,-0.6999459862709045,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d5493048-Reviews-Restaurante_Estanquet-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
1967383,"La Finca","Cami de Perleta, 1 - 7, 03295 Elche Espanha",Elche ,4.5,1051,$$$$,R$ 469 - R$ 710,38.25608444213867,-0.6497679948806763,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d1967383-Reviews-La_Finca-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
1640411,"El Misteri d'Anna","Partida Pena de Aguilas 347 Partida Pena Aguilas, 347, 03296 Elche Espanha",Elche ,4.5,639,$$ - $$$,indef,38.26636505126953,-0.7387009859085083,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d1640411-Reviews-El_Misteri_d_Anna-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
2520992,"Pilsen Restauración","Calle Benito Perez Galdos 74, 03201 Elche Espanha",Elche ,4.5,343,$$ - $$$,R$ 130 - R$ 228,38.26652908325195,-0.7090280055999756,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d2520992-Reviews-Pilsen_Restauracion-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
1722921,"Restaurante La Masía de Chencho","Partida de Jubalcoi Ctra. Murcia-Alicante, Km.62, 03295 Elche Espanha",Elche ,4.5,385,$$$$,indef,38.275001525878906,-0.651511013507843,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d1722921-Reviews-Restaurante_La_Masia_de_Chencho-Elche_Costa_Blanca_Province_of_Alicante_Valencian.html
13293477,"Mestizaje","Carrer Mare de Dèu dels Desamparats, 13, 03203 Elche Espanha",Elche ,4.5,419,$$ - $$$,R$ 98 - R$ 261,38.26436996459961,-0.6985219717025757,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d13293477-Reviews-Mestizaje-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
814754,"Meson El Granaino","Calle Josep Maria Buch 40, 03201 Elche Espanha",Elche ,4.5,1026,$$ - $$$,R$ 195 - R$ 326,38.26709747314453,-0.7047610282897949,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d814754-Reviews-Meson_El_Granaino-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
11911125,"Lincoln7","Plaza de la glorieta n8, 03203 Elche Espanha",Elche ,4.5,181,$$ - $$$,indef,38.26567459106445,-0.6965500116348267,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d11911125-Reviews-Lincoln7-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
2715817,"Restaurante Frisone","Passeig del Monjo s/n, 03203 Elche Espanha",Elche ,4.5,226,$$$$,R$ 163 - R$ 228,38.262176513671875,-0.695855975151062,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d2715817-Reviews-Restaurante_Frisone-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
3859928,"La Musa de Velarde","Calle Velarde 17, 03203 Elche Espanha",Elche ,4.5,599,$$ - $$$,R$ 1 - R$ 2,38.26579284667969,-0.6942269802093506,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d3859928-Reviews-La_Musa_de_Velarde-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
994130,"Asador Ilicitano","Calle Maestro Giner 9, 03201 Elche Espanha",Elche ,4.5,251,$$ - $$$,indef,38.267791748046875,-0.7064430117607117,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d994130-Reviews-Asador_Ilicitano-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
994111,"Restaurante Sansano's","Calle Fra Jaume Torres 7, 03204 Elche Espanha",Elche ,4.0,470,$$ - $$$,indef,38.25808334350586,-0.7032960057258606,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d994111-Reviews-Restaurante_Sansano_s-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
8789760,"Eki Sushi","Plaza Constitucio 15, 03203 Elche Espanha",Elche ,4.5,161,$$ - $$$,R$ 39 - R$ 163,38.26598358154297,-0.6954360008239746,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d8789760-Reviews-Eki_Sushi-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
18942521,"Vegetariano TEFF","Avenida de Alicante 17, 03202 Elche Espanha",Elche ,5.0,48,$$ - $$$,R$ 20 - R$ 98,38.26871109008789,-0.6859650015830994,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d18942521-Reviews-Vegetariano_TEFF-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
10529898,"El Galgo","Calle Sant Jaume 6 Situado en una tranquila calle peatonal en el centro de Elche, en pleno casco histórico, 03202 Elche Espanha",Elche ,4.5,122,$$ - $$$,R$ 130 - R$ 293,38.2661247253418,-0.6974110007286072,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d10529898-Reviews-El_Galgo-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
3378064,"Sinapi Restaurante","Calle Porta de L'Orgue, 4, 03202 Elche Espanha",Elche ,4.0,383,$$ - $$$,R$ 78 - R$ 163,38.26776123046875,-0.6975510120391846,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d3378064-Reviews-Sinapi_Restaurante-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
4470731,"Restaurante Museum","Plaza Congreso Eucaristico 17 Fatxo 1, 03202 Elche Espanha",Elche ,4.0,487,$$ - $$$,indef,38.26743698120117,-0.6970419883728027,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d4470731-Reviews-Restaurante_Museum-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
5870069,"El Raval","Carrer Major del Raval, 9 En la Plaza, 03203 Elche Espanha",Elche ,4.5,230,$$ - $$$,indef,38.26045227050781,-0.6996070146560669,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d5870069-Reviews-El_Raval-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
