atracao_id,nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
679560,Darwin & Wolf Islands - Ilhas Galápagos,indef,Ilhas Galápagos,4.5,72,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g294310-d679560-Reviews-Darwin_Wolf_Islands-Galapagos_Islands.html
10283829,South Plaza Island - Ilhas Galápagos,indef,Ilhas Galápagos,4.5,33,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g294310-d10283829-Reviews-South_Plaza_Island-Galapagos_Islands.html
2615658,La Loberia - San Cristobal,indef,San Cristobal,4.5,498,-0.9265329837799072,-89.61210632324219,https://www.tripadvisor.com.br/Attraction_Review-g297530-d2615658-Reviews-La_Loberia-San_Cristobal_Galapagos_Islands.html
2353450,Parque Nacional Galapagos - Ilhas Galápagos,indef,Ilhas Galápagos,4.5,104,-1.3713330030441284,-89.74466705322266,https://www.tripadvisor.com.br/Attraction_Review-g294310-d2353450-Reviews-Parque_Nacional_Galapagos-Galapagos_Islands.html
5292878,Reserva El Chato - Puerto Ayora,"Isla Santa Cruz, Puerto Ayora 200350 Equador",Puerto Ayora,4.5,1907,-0.6688500046730042,-90.43103790283203,https://www.tripadvisor.com.br/Attraction_Review-g297533-d5292878-Reviews-Reserva_El_Chato-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
2511723,Galapagos Beach at Tortuga Bay - Santa Cruz,indef,Santa Cruz,4.5,3406,-0.7634639739990234,-90.33926391601562,https://www.tripadvisor.com.br/Attraction_Review-g297532-d2511723-Reviews-Galapagos_Beach_at_Tortuga_Bay-Santa_Cruz_Galapagos_Islands.html
9861689,Isla Daphne Mayor - Ilhas Galápagos,indef,Ilhas Galápagos,4.5,19,-0.42215999960899353,-90.37208557128906,https://www.tripadvisor.com.br/Attraction_Review-g294310-d9861689-Reviews-Isla_Daphne_Mayor-Galapagos_Islands.html
1936935,Los Tuneles,indef,Puerto Villamil ,5.0,1357,-1.046072006225586,-91.16666412353516,https://www.tripadvisor.com.br/Attraction_Review-g1732554-d1936935-Reviews-Los_Tuneles-Puerto_Villamil_Isabela_Galapagos_Islands.html
2665029,El Garrapatero - Puerto Ayora,"NE of Puerto Ayora 19 km, Puerto Ayora 200350 Equador",Puerto Ayora,4.5,691,-0.6944630146026611,-90.22118377685547,https://www.tripadvisor.com.br/Attraction_Review-g297533-d2665029-Reviews-El_Garrapatero-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
545872,Sierra Negra - Isabela,indef,Isabela,4.5,423,-0.7767860293388367,-91.10069274902344,https://www.tripadvisor.com.br/Attraction_Review-g297525-d545872-Reviews-Sierra_Negra-Isabela_Galapagos_Islands.html
2415993,Las Grietas - Puerto Ayora,"Trail From West of Finch Bay Eco Hotel, Puerto Ayora 200350 Equador",Puerto Ayora,4.5,2457,-0.7570779919624329,-90.3155288696289,https://www.tripadvisor.com.br/Attraction_Review-g297533-d2415993-Reviews-Las_Grietas-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
314624,Charles Darwin Research Station - Puerto Ayora,"Ave Charles Darwin, Puerto Ayora 200350 Equador",Puerto Ayora,4.0,3287,-0.742235004901886,-90.30418395996094,https://www.tripadvisor.com.br/Attraction_Review-g297533-d314624-Reviews-Charles_Darwin_Research_Station-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
314644,Wolf Island - Ilhas Galápagos,indef,Ilhas Galápagos,5.0,9,1.3839709758758545,-91.81542205810547,https://www.tripadvisor.com.br/Attraction_Review-g294310-d314644-Reviews-Wolf_Island-Galapagos_Islands.html
10841636,Isabela Island,"Galapagos, 010850 Equador",Isabela,5.0,84,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g297525-d10841636-Reviews-Isabela_Island-Isabela_Galapagos_Islands.html
1877572,Puerto Chino Beach - San Cristobal,indef,San Cristobal,4.5,324,-0.9263650178909302,-89.42961120605469,https://www.tripadvisor.com.br/Attraction_Review-g297530-d1877572-Reviews-Puerto_Chino_Beach-San_Cristobal_Galapagos_Islands.html
8749417,Santa Cruz Fish Market - Puerto Ayora,indef,Puerto Ayora,4.5,858,-0.7434629797935486,-90.31217193603516,https://www.tripadvisor.com.br/Attraction_Review-g297533-d8749417-Reviews-Santa_Cruz_Fish_Market-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
