hotel_id,nome,endereco,cidade,preco,tipo,qtd_quartos,qtd_avaliacoes,nota,categoria,nota_pedestres,restaurantes_perto,atracoes_perto,latitude,longitude,fonte
968640,Hotel Cabanas Pimampiro,Av Quito y Tulcan Equador,Ilhas Galápagos ,373,Hotel,10,125,4.5,indef,indef,indef,indef,0.8233799934387207,-77.71077728271484,https://www.tripadvisor.com.br/Hotel_Review-g294310-d968640-Reviews-Hotel_Cabanas_Pimampiro-Galapagos_Islands.html
1181069,Semilla Verde Boutique Hotel,"Km 12, via a Baltra Isla Santa Cruz, Puerto Ayora 200350 Equador",Santa Cruz ,1040,Hotel,9,642,5.0,indef,indef,indef,indef,-0.6850829720497131,-90.37152862548828,https://www.tripadvisor.com.br/Hotel_Review-g297533-d1181069-Reviews-Semilla_Verde_Boutique_Hotel-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
495654,Finch Bay Galapagos Hotel,"Barrio Punta Estrada, Puerto Ayora 200350 Equador",Santa Cruz ,2463,Hotel,27,1135,4.5,indef,66,31,7,-0.7537549734115601,-90.31009674072266,https://www.tripadvisor.com.br/Hotel_Review-g297533-d495654-Reviews-Finch_Bay_Galapagos_Hotel-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
1646889,Iguana Crossing,"Av. Antonio Gil, Puerto Villamil 200250 Equador",Isabela ,981,indef,14,744,4.5,indef,61,24,3,-0.9560089707374573,-90.97113037109375,https://www.tripadvisor.com.br/Hotel_Review-g1732554-d1646889-Reviews-Iguana_Crossing-Puerto_Villamil_Isabela_Galapagos_Islands.html
4722761,Casa Playa Mann Galapagos,"Av. Tijeretas y Luz Maria Pizarro Via a Playa Mann, Puerto Baquerizo Moreno 200150 Equador",San Cristobal ,972,indef,6,300,5.0,indef,72,32,11,-0.8966619968414307,-89.60861206054688,https://www.tripadvisor.com.br/Hotel_Review-g297531-d4722761-Reviews-Casa_Playa_Mann_Galapagos-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html
556730,Galapagos Habitat by Eco Luxury Group,"Avenida Charles Darwin, Puerto Ayora 200350 Equador",Santa Cruz ,1200,indef,17,769,4.5,indef,93,30,9,-0.7430279850959778,-90.30956268310547,https://www.tripadvisor.com.br/Hotel_Review-g297533-d556730-Reviews-Galapagos_Habitat_by_Eco_Luxury_Group-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
662895,Hotel La Casa de Marita,"Conocarpus S/N, Puerto Villamil 200250 Equador",Isabela ,864,Hotel,20,615,4.5,indef,77,22,1,-0.9585769772529602,-90.96331787109375,https://www.tripadvisor.com.br/Hotel_Review-g1732554-d662895-Reviews-Hotel_La_Casa_de_Marita-Puerto_Villamil_Isabela_Galapagos_Islands.html
8260539,Hotel Coloma Galapagos,"Baltra 5-21 y 18 de Febrero, Puerto Ayora 200350 Equador",Santa Cruz ,391,Hotel,13,232,5.0,indef,93,46,9,-0.7435259819030762,-90.31546783447266,https://www.tripadvisor.com.br/Hotel_Review-g297533-d8260539-Reviews-Hotel_Coloma_Galapagos-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
13717633,Torre Mar Galapagos,"General Rodriguez, Puerto Ayora 200350 Equador",Santa Cruz ,795,indef,8,81,5.0,indef,89,36,7,-0.7424700260162354,-90.31533813476562,https://www.tripadvisor.com.br/Hotel_Review-g297533-d13717633-Reviews-Torre_Mar_Galapagos-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
1723964,Casa Opuntia Galapagos,"Charles Darwin S/N Playa de Oro, Puerto Baquerizo Moreno 179217 Equador",San Cristobal ,832,indef,13,274,4.0,indef,79,22,2,-0.8986009955406189,-89.60932922363281,https://www.tripadvisor.com.br/Hotel_Review-g297531-d1723964-Reviews-Casa_Opuntia_Galapagos-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html
