restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,categoria_preco,faixa_preco,latitude,longitude,fonte
3854404,Finch Bay Restaurant,"Barrio Punta Estrada S/N Playa de los Alemanes, Galapagos Islands, Puerto Ayora 200350 Equador",Santa Cruz ,4.5,198,$$$$,R$ 133 - R$ 346,-0.7542570233345032,-90.31026458740234,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d3854404-Reviews-Finch_Bay_Restaurant-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
12891718,Almar Seafood & Grill,"Av. Charles Darwin y Piqueros Dentro del hotel Galapagos Habitat Eco Luxury Hotel, Puerto Ayora 200350 Equador",Santa Cruz ,4.5,266,$$ - $$$,R$ 80 - R$ 170,-0.742883026599884,-90.30975341796876,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d12891718-Reviews-Almar_Seafood_Grill-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
5043050,Booby Trap,"Antonio Gil - Pto Villamil Note:Across St. From Casa Rosada, Puerto Villamil 200250 Equador",Isabela ,4.5,514,$$ - $$$,R$ 32 - R$ 160,-0.9572499990463256,-90.97063446044922,https://www.tripadvisor.com.br/Restaurant_Review-g1732554-d5043050-Reviews-Booby_Trap-Puerto_Villamil_Isabela_Galapagos_Islands.html
14770523,Bahía Mar Restaurant,"Av. Charles Darwin, 200350 Equador",Santa Cruz ,4.5,133,$$ - $$$,R$ 53 - R$ 239,-0.7448430061340332,-90.31114959716795,https://www.tripadvisor.com.br/Restaurant_Review-g297532-d14770523-Reviews-Bahia_Mar_Restaurant-Santa_Cruz_Galapagos_Islands.html
2341771,Galapagos Deli,"Tomas de Berlanga y Av. Baltra, Puerto Ayora 200350 Equador",Santa Cruz ,4.5,768,$$ - $$$,R$ 32 - R$ 106,-0.746487021446228,-90.31363677978516,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d2341771-Reviews-Galapagos_Deli-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
14093384,1835 Coffee Lab,"Av. Charles Darwin #825, Puerto Ayora 200350 Equador",Santa Cruz ,4.5,118,$$ - $$$,R$ 11 - R$ 85,-0.7428370118141174,-90.31105041503906,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d14093384-Reviews-1835_Coffee_Lab-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
8684019,Coco Surf,"Av. Antonio Gil 16 de Marzo, Puerto Villamil 200250 Equador",Isabela ,4.5,293,$$ - $$$,R$ 21 - R$ 160,-0.9569000005722046,-90.96717834472656,https://www.tripadvisor.com.br/Restaurant_Review-g1732554-d8684019-Reviews-Coco_Surf-Puerto_Villamil_Isabela_Galapagos_Islands.html
13172526,TJ Restaurant | Cocktail & Coffee,"Av Charles Darwin Av. Baltra, Puerto Ayora 200350 Equador",Santa Cruz ,5.0,316,$$ - $$$,R$ 27 - R$ 53,-0.7468249797821045,-90.3127670288086,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d13172526-Reviews-TJ_Restaurant_Cocktail_Coffee-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
2371344,La Garrapata Galapagos - Resto Bar,"Ave Charles Darwin 457, Puerto Ayora 200350 Equador",Santa Cruz ,4.5,984,$$ - $$$,R$ 53 - R$ 266,-0.7451090216636658,-90.31155395507812,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d2371344-Reviews-La_Garrapata_Galapagos_Resto_Bar-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
1928047,IslaGrill,"Punta Estrada Dentro del hotel Angermeyer Waterfront Inn., Puerto Ayora 200350 Equador",Santa Cruz ,4.5,916,$$ - $$$,R$ 53 - R$ 213,-0.7483890056610107,-90.3134994506836,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d1928047-Reviews-IslaGrill-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
10205440,Kiosko de Renato,"Charles Binford, Puerto Ayora 200350 Equador",Santa Cruz ,4.5,271,$,indef,-0.7459160089492798,-90.314453125,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d10205440-Reviews-Kiosko_de_Renato-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
12811292,Fresco Cafe,"Waterfront and Manuel Agama Playa de Oro, in front of the Fishermen Pier, Puerto Baquerizo Moreno 200150 Equador",San Cristobal ,5.0,72,$,R$ 32 - R$ 64,-0.8991420269012451,-89.60934448242188,https://www.tripadvisor.com.br/Restaurant_Review-g297531-d12811292-Reviews-Fresco_Cafe-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html
