atracao_id,nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
6854713,Praça Minas Gerais,"Rua Dom Silvério, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,566,-20.380239486694336,-43.4188117980957,https://www.tripadvisor.com.br/Attraction_Review-g303386-d6854713-Reviews-Praca_Minas_Gerais-Mariana_State_of_Minas_Gerais.html
2389606,Maria Fumaça Ouro Preto Mariana,"Mariana, Brasil",Mariana ,4.0,0,-20.373254776000977,-43.4162712097168,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389606-Reviews-Maria_Fumaca_Ouro_Preto_Mariana-Mariana_State_of_Minas_Gerais.html
2389589,Minas da Passagem,"R. Eugenio E. Rapallo, 192, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,1411,-20.39212989807129,-43.43927001953125,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389589-Reviews-Minas_da_Passagem-Mariana_State_of_Minas_Gerais.html
2389472,Basílica de São Pedro dos Clérigos,"Largo de São Pedro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,345,-20.383569717407227,-43.4186897277832,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389472-Reviews-Sao_Pedro_dos_Clerigos_Cathedral-Mariana_State_of_Minas_Gerais.html
7620319,Centro Histórico de Mariana,"Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,403,-20.378192901611328,-43.41811752319336,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620319-Reviews-Centro_Historico_de_Mariana-Mariana_State_of_Minas_Gerais.html
2389578,Igreja N S do Carmo,"Praça Minas Gerais, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,235,-20.37813949584961,-43.41804885864258,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389578-Reviews-Our_Lady_of_Carmo_Church-Mariana_State_of_Minas_Gerais.html
6854689,Praça Gomes Freire,"Rua Dom Viçoso, 1, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,217,-20.37980079650879,-43.416778564453125,https://www.tripadvisor.com.br/Attraction_Review-g303386-d6854689-Reviews-Praca_Gomes_Freire-Mariana_State_of_Minas_Gerais.html
7620352,Rua Direita,"Rua Direita, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,112,-20.377573013305664,-43.41770553588867,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620352-Reviews-Rua_Direita-Mariana_State_of_Minas_Gerais.html
2389567,Gruta da Lapa,"Rua da Lapa 2 Distrito de Antônio Pereira, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,33,-20.36874008178711,-43.415828704833984,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389567-Reviews-Gruta_da_Lapa-Mariana_State_of_Minas_Gerais.html
313970,Cachoeira do Brumado,"Ferrovia Mariana Ouro Preto Distrito do município de Mariana, MG, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,68,-20.397724151611328,-43.272010803222656,https://www.tripadvisor.com.br/Attraction_Review-g303386-d313970-Reviews-Cachoeira_do_Bromado-Mariana_State_of_Minas_Gerais.html
2389554,Casa de Câmara e Cadeia,"Praça Minas Gerais, 89, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,293,-20.378156661987305,-43.41809844970703,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389554-Reviews-Casa_de_Camara_e_Cadeia-Mariana_State_of_Minas_Gerais.html
2389560,Catedral Basílica da Sé,"Praça Cláudio Manoel, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,298,-20.20672035217285,-43.20355987548828,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389560-Reviews-Catedral_Basilica_da_Se-Mariana_State_of_Minas_Gerais.html
2389593,Museu Arquidiocesano de Arte Sacra,"Rua Frei Durão, 49, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,83,-20.37875747680664,-43.416561126708984,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389593-Reviews-Museu_Arquidiocesano_de_Arte_Sacra-Mariana_State_of_Minas_Gerais.html
7620419,Pelourinho,"Praca Minas Gerais, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,157,-20.37819480895996,-43.41801452636719,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620419-Reviews-Pelourinho-Mariana_State_of_Minas_Gerais.html
2389585,Igreja São Francisco de Assis,"Praça Minas Gerais, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,164,-20.37813949584961,-43.41804885864258,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389585-Reviews-Sao_Francisco_de_Assis_Church-Mariana_State_of_Minas_Gerais.html
7620340,Museu Estação Ferroviária de Mariana,"Praca Juscelino Kubitschek, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,63,-20.3734130859375,-43.4168701171875,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620340-Reviews-Museu_Estacao_Ferroviaria_de_Mariana-Mariana_State_of_Minas_Gerais.html
2389520,Museu Casa Alphonsus de Guimaraens,"Rua Direita, 35, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,20,-20.377777099609375,-43.41694259643555,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389520-Reviews-Museu_Casa_Alphonsus_de_Guimaraens-Mariana_State_of_Minas_Gerais.html
14957757,Igreja de São Pedro dos Clérigos,"Rua Dom Silverio, S/N Colina de São Pedro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,5.0,11,-20.383333206176758,-43.418888092041016,https://www.tripadvisor.com.br/Attraction_Review-g303386-d14957757-Reviews-Igreja_de_Sao_Pedro_dos_Clerigos-Mariana_State_of_Minas_Gerais.html
10182518,Pico da Cartuxa,indef,Mariana ,5.0,5,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303386-d10182518-Reviews-Cartuxa_Peak-Mariana_State_of_Minas_Gerais.html
8746621,Centro de Atenção ao Turismo (CAT),"Rua Direita, 91, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,27,-20.37763023376465,-43.41748809814453,https://www.tripadvisor.com.br/Attraction_Review-g303386-d8746621-Reviews-Centro_de_Atencao_ao_Turismo_CAT-Mariana_State_of_Minas_Gerais.html
2389581,Igreja de Nossa Senhora do Rosário,"Rua Monsenhor Horta 226 Bairro Rosário, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,51,-20.373517990112305,-43.41984176635742,https://www.tripadvisor.com.br/Attraction_Review-g303386-d2389581-Reviews-Igreja_de_Nossa_Senhora_do_Rosario-Mariana_State_of_Minas_Gerais.html
13110539,Trem da Vale Ouro Preto - Mariana,"Mariana, Brasil",Mariana ,4.5,0,-20.374113082885742,-43.41645050048828,https://www.tripadvisor.com.br/Attraction_Review-g303386-d13110539-Reviews-Trem_da_Vale_Ouro_Preto_e_Mariana-Mariana_State_of_Minas_Gerais.html
4376764,Museu da Música de Mariana,"Rua Conego Amando 161 Chacara, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,45,-20.38389015197754,-43.41609191894531,https://www.tripadvisor.com.br/Attraction_Review-g303386-d4376764-Reviews-Museu_da_Musica_de_Mariana-Mariana_State_of_Minas_Gerais.html
7620405,Praça Cláudio Manoel da Costa,"Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,50,-20.378087997436523,-43.41633224487305,https://www.tripadvisor.com.br/Attraction_Review-g303386-d7620405-Reviews-Praca_Claudio_Manoel_da_Costa-Mariana_State_of_Minas_Gerais.html
9878892,Rua Frei Durão,"Rua Frei Durao, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,7,-20.37799072265625,-43.41619110107422,https://www.tripadvisor.com.br/Attraction_Review-g303386-d9878892-Reviews-Rua_Frei_Durao-Mariana_State_of_Minas_Gerais.html
12989597,Capela de Nossa Senhora dos Anjos,"R. Dom Silvério, 304, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,9,-20.386131286621094,-43.41245651245117,https://www.tripadvisor.com.br/Attraction_Review-g303386-d12989597-Reviews-Chapel_of_Our_Lady_of_the_Angels-Mariana_State_of_Minas_Gerais.html
4376765,Museu Casa da Providência,"Rua Dom Silverio 161 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,19,-20.37980842590332,-43.41850280761719,https://www.tripadvisor.com.br/Attraction_Review-g303386-d4376765-Reviews-Casa_da_Providencia_Museum-Mariana_State_of_Minas_Gerais.html
9857015,Seminário Maior São José,"Rua Conego Amando 57, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,7,-20.385950088500977,-43.41484069824219,https://www.tripadvisor.com.br/Attraction_Review-g303386-d9857015-Reviews-Seminario_Maior_Sao_Jose-Mariana_State_of_Minas_Gerais.html
8783232,Igreja Nossa Senhora das Mercês,"Rua das Mercês, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,15,-20.381980895996094,-43.41849899291992,https://www.tripadvisor.com.br/Attraction_Review-g303386-d8783232-Reviews-Igreja_Nossa_Senhora_das_Merces-Mariana_State_of_Minas_Gerais.html
10034607,Atelier e Casa dos Artistas Mestre Ataíde,"Rua Direita, 99, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,5,-20.377859115600586,-43.41720199584961,https://www.tripadvisor.com.br/Attraction_Review-g303386-d10034607-Reviews-Studio_and_Artists_House_Mestre_Ataide-Mariana_State_of_Minas_Gerais.html
