estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem,idioma
Praça Minas Gerais,6854713,atracao-review,627marianam,2021-01-04,2021-01-04,3.0,Igreja em reforma,Fomos fazer uma visita as igrejas porem uma delas estava em reforma então so deu pra visitar uma. Achei interessante mas as de Ouro Preto sao melhores.,"Rio de Janeiro, RJ",pt
Praça Minas Gerais,6854713,atracao-review,VViaja,2020-10-04,2020-10-04,5.0,Deslumbrante!,"O entorno da Praça Minas Gerais é marcado por três imponentes construções barrocas: a Igreja de São Francisco de Assis – construção iniciada em 1763 e concluída em 1794, a Igreja Nossa Senhora do Carmo – construção iniciada em 1784, e em 20 de janeiro de 1999 sofreu um incêndio e a Câmara Municipal de Mariana – todo em alvenaria, o prédio conserva a estrutura que já foi destinada à senzala, casa de fundição de ouro e cadeia no andar de baixo e Fórum e Prefeitura Municipal no andar de cima. Na época, símbolo de poder e autonomia municipal.
Ao centro, encontra-se o pelourinho construído em 1970 (o pelourinho original foi executado por José Moreira Matos em 1750 e demolido em 1870), símbolo de poder do Estado e lugar de punições públicas para criminosos ou escravos. Era também o local onde eram lidos os editais públicos e anunciadas as notícias de Portugal. Sua estrutura de pedra apresenta, atualmente, em sua composição o brasão da Coroa portuguesa, uma balança para simbolizar a justiça, um globo que representa as conquistas marítimas, uma espada que significa a condenação e uma pequena cruz representando a religião católica que deliberava e justificava os poderes do Rei. Tal organização espacial coloca lado a lado o poder religioso e o civil, as esferas de poder que controlavam a vida das pessoas naquela época.","Rio de Janeiro, RJ",pt
Praça Minas Gerais,6854713,atracao-review,H5376NAjorges,2020-07-04,2019-08-04,4.0,Singular praça com duas igrejas centradas por um pelourinho,Achei bizarro haver duas igrejas soerguendo lado a lado num descampado em alto de uma colina. Mas lá chegados a beleza do conjunto me convenceu,"Praia, Cabo Verde",pt
Praça Minas Gerais,6854713,atracao-review,1rick23,2020-01-04,2020-01-04,4.0,Geral,Praça que abrange o centro histórico de Mariana. Tem duas igrejas importantes : Igreja de São Francisco de Assis e a Igreja de Nossa Senhora do Carmo. Na praça encontra-se também a a antiga Casa de Câmara e Cadeia e o Pelourinho (coluna de pedra que servia para castigar os escravos),"Barreiras, BA",pt
Praça Minas Gerais,6854713,atracao-review,FS11F,2020-01-04,2019-12-04,4.0,Praça que reúne historia,"Praça emblemática na cidade, com suas igrejas, prédios históricos e pelourinho. Vale a pena entrar em cada um deles é conhecer sua história.","Novo Hamburgo, RS",pt
Praça Minas Gerais,6854713,atracao-review,ayrNeto,2019-12-04,2020-01-04,4.0,Antigas construções ,"Centro histórico com construções antigas juntamente com o calçadão, belas histórias ao conversar com os moradores.","Ribeirão Preto, SP",pt
Praça Minas Gerais,6854713,atracao-review,Elisaqueiroz,2019-12-04,2019-12-04,5.0,O começo de tudo,"Mariana foi a primeira vila, primeira capital de Minas Gerais e onde o ouro foi inicialmente descoberto. Tem uma grande importância histórica e uma vez por ano (no dia 16/07) volta a ser a capital de Minas. A praça também é muito interessante por abrigar duas igrejas muito próximas, de irmandades diferentes.","Rio de Janeiro, RJ",pt
Praça Minas Gerais,6854713,atracao-review,leoneljorgec,2019-11-04,2018-12-04,4.0,Praça que não a define como tal,"Passa despercebido o contexto de praça o local, pois não há o paisagismo necessário para que a defina como tal. Porém é cercada por importantes construções históricas do período colonial, fez parte da rota do ouro e é um importante ponto turístico da cidade tornando a praça um dos cartões postais da cidade.","Esteio, RS",pt
Praça Minas Gerais,6854713,atracao-review,paulogilbertog,2019-11-04,2019-11-04,5.0,Cartão Postal de Mariana,Duas igrejas uma ao lado da outra. Isto é o que verá nesta praça que é o principal cartão postal de Mariana,"Belo Horizonte, MG",pt
Praça Minas Gerais,6854713,atracao-review,477thiagos,2019-10-04,2019-10-04,3.0,Nem vi que era uma praça ,"Nem vi que era uma praça, fui mais focado nas igrejas Gêmeas, porém é bem razoável, vale a pena ir por conta das igrejas e da câmara.","Salvador, BA",pt
