estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_estadia,nota,titulo,conteudo,tipo_viagem,origem,idioma
Pousada Da Chácara,2657294,hotel-review,rickwacman,2021-01-03,2021-01-03,3.0,Vale a pena conhecer,"Pousada boa, ótimo atendimento e infraestrutura até para meu pet que levei. Quartos deveriam ser mais limpos(passei um simples pano na cabeceira da cama e estava imundo, parece ter cupim na janela do banheiro caindo onde deveríamos colocar o sabonete/shampoo, teia de aranha em diversos pontos, e TV muito pequena se comparada ao tamanho do quarto) São cuidados que fazem a diferença...
Ótima piscina e área de lazer. O café da manhã também é muito bom. Fomos muito bem recebidos. E funcionários nota 1000.",Viajou em casal,"Belo Horizonte, MG",pt
Pousada Da Chácara,2657294,hotel-review,ElianaCapovilla,2019-02-03,2018-11-03,5.0,Pousada em Mariana,"Pousada com ótimas instalações, confortável, limpa, atendimento excelente, café da manhã maravilhoso e com proprietários e equipe muito atenciosos.
Localizado em uma antiga chácara da família, um pouco afastada do Centro Histórico de Mariana, com estacionamento, piscina e área para atividades para crianças.",Viajou com amigos,"Belo Horizonte, MG",pt
Pousada Da Chácara,2657294,hotel-review,geicines,2019-01-03,2019-01-03,4.0,Muito bom!,"Fiz a reserva pelo site e mesmo sem confirmação, fizeram a gentileza de deixar reservado o quarto quádruplo número 16.Ficava na entrada ,bom tamanho e limpeza.As 3 noites foram silenciosas e tranquilas.Tem estacionamento e o local é grande e extremamente agradável ,com piscina ,brinquedos e churrasqueira.
As funcionárias são todas muito simpáticas e solicitas.A água do chuveiro é excelente!Boas roupas de cama.
O café da manhã é bem simples, é vai até às 9:30.a proprietária fica sempre preocupada q todos se sirvam.Eles não possuem restaurante,Vc pode pedir e eles, gentilmente, fornecem pratos e copos.
Lembrando q as pousadas em Mariana não tem ar condicionado,segundo informações,então sofremos um pouco a noite com o calor de janeiro, só com ventilador de teto.
Por ter tanto verde não tivemos problemas com mosquito nem com animais.Ainda acho a piscina o diferencial nesta pousada,então eles precisam realmente cuidar bem, como cuidam dos maravilhosos jardins.",Viajou com a família,"Vila Velha, ES",pt
Pousada Da Chácara,2657294,hotel-review,eliasabdallahjra,2018-11-03,2018-11-03,5.0,Ótima Escolha,Pousada fica fora da cidade mais tem ótima estrutura. Bom café da manhã e ótimo atendimento. Fui para uma prova de MTB e para meu espanto tinha até máquina de pressão para lavarmos a Bike após o evento (sem custo adicional).,Viajou com amigos,"Belo Horizonte, MG",pt
Pousada Da Chácara,2657294,hotel-review,DrikaE,2018-10-03,2018-10-03,5.0,Excelente!,"Antes de nos hospedar nessa pousada, olhei três antes. E essa sem dúvida foi a melhor escolha!
Pontos positivos:
Tranquilidade para quem quer e precisa descansar; Atendimento exemplar de todos, sem exceção; Quarto bem equipado e limpo; Roupas de cama e banho cheirosas; Wi-fi muito boa; Toda a área externa da pousada muito bem cuidada e muito bonita; Café da manhã satisfatório. Toda a equipe está de parabéns!
Super indico e com certeza voltando na cidade, já tenho a hospedagem certa.",Viajou em casal,"Brasília, DF",pt
Pousada Da Chácara,2657294,hotel-review,AlineeBruno,2018-04-03,2018-03-03,5.0,Maravilhosa pousada,"Pousada excelente, ótimo atendimento e infraestrutura. Quartos limpos, aconchegantes e espaçosos. Ótima piscina e área de lazer. O café da manhã também é muito bom. Fomos muito bem recebidos. Os donos são muito gentis e receptivos. Recomendo sempre.",indef,indef,pt
Pousada Da Chácara,2657294,hotel-review,delairana,2018-02-03,2018-01-03,5.0,òtima,"Lugar tranquilo, com lugar para fazer churrasco, piscina, café da manhã muito bom, pessoal acolhedor e muito simpático.
Lugar limpo e arejado, espaço muito bom para sentar ao ar livre e tomar um bom chimarrão , aos moldes do pessoal do sul.",Viajou com amigos,"Peritiba, SC",pt
Pousada Da Chácara,2657294,hotel-review,ThiagoDelgado,2017-07-03,2017-07-03,5.0,Excelente custo-benefício,"Pousada aconchegante, com uma área de lazer muito boa. Ideal para época de calor (fui no frio e não aproveitei). Os quartos são grandes e confortáveis com piso em cerâmica. Funcionários atenciosos e educados.",Viajou com a família,"Belo Horizonte, Minas Gerais, Brazil",pt
Pousada Da Chácara,2657294,hotel-review,marcossA9620QU,2017-04-03,2017-04-03,5.0,Conforto e Simpatia!,"Infelizmente ficamos hospedado apenas um dia em Mariana.
A atenção teve inicio desde a reserva, já que gostaríamos de nos hospedar apenas um dia em pleno feriado prolongado e a maioria das pousadas estavam trabalhando com pacotes, contudo, de forma muito gentil a proprietária Maria Amélia nos atendeu!

Realmente a pousada não esta instalada no meio da muvuca (como informado no site) portanto excelente pra quem deseja retornar para a pousada e descansar!

Como tenho chácara, sei bem o trabalhão que dá para mante-la em ordem, o que parabenizo, pois tudo muito bem organizado, extremamente bem cuidada.

Outro ponto muito legal...é possível levar seu pet... os proprietários possuem cães, que por sinal muito educados.

Enfim, saímos muito satisfeitos pela hospedagem, principalmente pela diferença no conforto da noite anterior, já que havíamos nos hospedado na noite anterior em ouro preto!

Finalizando, destaco a simpatia e cordialidade dos funcionário bem como destaco a simpática Maria Amélia, proprietária que nos deu grandes indicações de onde jantar e locais!

RECOMENDO!

PS...Tão breve possível, retornaremos!

Marcos",Viajou com amigos,"Atibaia, SP",pt
Pousada Da Chácara,2657294,hotel-review,NathaliaLima88,2016-12-03,2016-02-03,5.0,Tranquilidade,"A pousada é muito confortável e fica em um lugar bem tranquilo. Os donos são muito receptivos e tem cachorros lindos. O café da manhã é delicioso e tem boas opções de almoço perto da pousada, já que quando eu fui ela não oferecia esse serviço.",Viajou em casal,"Belo Horizonte, MG",pt
Pousada Da Chácara,2657294,hotel-review,edelaineg,2016-10-03,2016-08-03,5.0,Local maravilhoso e tranquilo. Atendimento nota 10,"Adorei o local, a limpeza, o atendimento dos proprietários e dos funcionários. Utilizamos o local por diversas vezes para reunião de trabalho e ficamos satisfeitos. Para quem tem crianças é ideal pois é seguro e dá liberdade e lazer para os pequenos.",indef,"Varginha, MG",pt
Pousada Da Chácara,2657294,hotel-review,Pedro_Friche,2016-07-03,2016-07-03,5.0,Bem tranquilo e confortável,"Pousada excelente e bem localizada, na entrada da cidade. Me hospedei a trabalho, pois em Ouro Preto os hotéis e pousadas estava muito cheios. Fica a apenas 20 minutos de Ouro Preto, e menos de 10 minutos do centro de Mariana. Quartos confortáveis e limpos. Funcionários educados, café da manhã bom.",Viajou a trabalho,"Belo Horizonte, MG",pt
Pousada Da Chácara,2657294,hotel-review,barbaraperacoli,2016-05-03,2015-06-03,5.0,muito bom,"muito bom lugar bem cuidado e bem limpo da pra dormir bem
a comida e boa minha familia adoro
foi maravilhoso
e bem romantico para namora
pretendo volta la foi muito divertido e o atendimento é muito bom",Viajou com a família,"Barra Bonita, SP",pt
Pousada Da Chácara,2657294,hotel-review,145arianem,2016-05-03,2016-05-03,5.0,Descanso no feriado,"Excelente ambiente, aconchegante e super Familiar. A dona da pousada a Senhora Maria Amelia e um encanto de pessoa. Sempre que pensamos em descanso e visitar a Mariana, nao temos outra escolha a nao ser essa encantadora pousada.
Esta localizada um pouco mais afastada da cidade exatamente para descansarmos!!!",Viajou em casal,indef,pt
Pousada Da Chácara,2657294,hotel-review,harryssom,2016-03-03,2016-02-03,4.0,Muito bom,"Fui a trabalho, a empresa me hospedou lá, muito tranquilo, sem barulho, quarto tamanho razoável, TV led, piscina, o café da manhã é bom, recepção / atendimento muito bom também, não tem janta mas tem bastante opções de deliverys bons.",Viajou a trabalho,"Cariacica, ES",pt
Pousada Da Chácara,2657294,hotel-review,eversons845,2016-02-03,2016-02-03,5.0,Simplesmente ótima,"Pesquisando sobre a pousada, verifiquei alguns comentários que, após me hospedar, notei que não têm fundamento. Estabelecimento bem localizado com atendimento absolutamente amigável e agradável, não só por parte da D. Maria Amélia, mas de toda a equipe. Passamos o feriadão de carnaval e tive melhor tratamento. A estrutura da pousada é perfeita, com manutenção impecável e atendimento nota 10. Cães super dóceis e animais soltos fazem a alegria dos hóspedes e tornam o ambiente ainda mais hospitaleiro com um clima rural no interior da cidade. Recomendo.",indef,"Contagem, MG",pt
Pousada Da Chácara,2657294,hotel-review,CEZARTROVAO,2015-12-03,2015-02-03,5.0,Repouso e sossego proximo ao burburinho da cidade.,"Apartamentos excelentes, proprietarios gentis e prestativos, ampla area, piscina deliciosa, cafe da manhã excelente e variado, proximo ao Centro e ao mesmo tempo isolada da cidade. E como uma chacara ndentro da cidade, mas sem o barulho.",Viajou com a família,"Governador Valadares, MG",pt
Pousada Da Chácara,2657294,hotel-review,natalinoj2015,2015-11-03,2014-12-03,5.0,FUI HOSPEDADO DEVIDO AO TRABALHO QUE TIVE QUE REALIZAR NA VALE DO RIO DOCE,"Localizado no centro da cidade, com ótimos lugares para se conhecer. Perto de pontos turísticos, tornando mais cômodo sem ter que se preocupar. Recomendado para empresas que desejam locar seus funcionários, para a prestação de serviços.",Viajou a trabalho,"Nova Iguaçu, RJ",pt
Pousada Da Chácara,2657294,hotel-review,Osvaldo_Takeo,2015-10-03,2015-10-03,4.0,Otima opção em Mariana,"Eu já estive em outros hoteis em Mariana e considero esta pousada uma otima opção de hospedagem para quem procura tranquilidade e bom atendimento.
A pousada é bem cuidada e vem avançando com constantes melhorias, o cafe da manha é muito bom e o ambiente é bem familiar.
Os quartos tem um padrão de pousadas e são bem limpos.
Eu recomendo...",Viajou a trabalho,indef,pt
