estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem,idioma
Bistrô,3853354,restaurante-review,afonsob293,2021-02-16,2021-02-03,5.0,Comida boa e lugar agradável,"Lugar é muito agradável, ambiente aconchegante, tem um piano para os clientes tocarem. A comida estava bem saborosa foi uma experiência muito boa. Achei o preço justo também. Recomendo.","Belo Horizonte, MG",pt
Bistrô,3853354,restaurante-review,34larissas,2021-01-04,2021-01-03,3.0,Atendimento razoável,"O lugar é aconchegante e agradável mas deixa a desejar em algumas coisas. O atendimento é razoável, muito informal e demorado. A carne estava muito boa, batata sequinha e bem saborosa, mas o presunto e o milho vieram com muita gordura. Não estava agradável para comer.","Governador Valadares, MG",pt
Bistrô,3853354,restaurante-review,luizarnaldopires,2020-12-15,2020-12-03,3.0,Lugar bem agradável e bonito.,"Lugar bem agradável e bonito. Boa comida. Mas as cadeiras são de plástico, não condizentes com o charme do lugar. Também comi salmão, mas forneceram um garfo de carne. Mas, no geral, recomendo.","Brasília, DF",pt
Bistrô,3853354,restaurante-review,igort00,2020-04-21,2019-11-03,5.0,Recomendo,"O restaurante é super aconchegante e com uma decoração acolhedora. Fica meio escondido, no finalzinho de uma rua, e o estacionamento nem sempre é simples. Tem uma boa carta de cervejas e os pratos são muito bem servidos. O pastel de angu é delicioso","São Luís, MA",pt
Bistrô,3853354,restaurante-review,coisadegameso,2020-01-27,2020-01-03,5.0,Agradável e refeição bem servida,"O Bistrô é um espaço agradável, possui bela decoração com quadros do artista Marianense Salvador Paixao (belos quadros impressionistas de marinhas e moinhos de vento), um piano disponível para quem quiser tocar e pratos saborosos. Há bons vinhos com preços acessíveis. Recomendo, é a melhor opção para um jantar agradável em Mariana.","Belo Horizonte, MG",pt
Bistrô,3853354,restaurante-review,14mica,2020-01-16,2019-12-03,5.0,Super aconchegante,"Um bistrozinho no final da rua, com uma decoração encantadora. No andar de cima luzes aconchegantes e uma brisa gostosa na varanda. De entrada pedimos um pastel de angu (o melhor que já comi), e para jantar pedimos um prato típico de carne de porco, com tutu de feijão, ovo, couve, linguiça e um torresminho maravilhoso...uma verdadeira delícia, só de falar dá água na boca! Vale a pena conferir.","Manaus, AM",pt
Bistrô,3853354,restaurante-review,Ivana D,2020-01-14,2020-01-03,3.0,Fui ao Bistrô impulsionada,"Fui ao Bistrô impulsionada pelas avaliações que vi no Trip. O lugar é legal, mas achei o atendimento muito demorado e a comida boa, mas nada de especial. Estava bastante cheio devido ao rodízio de pizza, talvez por isto nosso pedido, fora do rodízio, ter demorado tanto.","Brasília, DF",pt
Bistrô,3853354,restaurante-review,lacerdastella,2020-01-03,2020-01-03,4.0,Bom atendimento,Fomos muito bem atendidos. A comida veio rápido e estava gostosa. Acredito que seja o melhor restaurante na região.,"Rio de Janeiro, RJ",pt
Bistrô,3853354,restaurante-review,Victoradriell,2019-12-29,2019-12-03,5.0,Estupendo,"A verdadeira definição de comida mineira. Lugar aconchegante, comida maravilhosa e ótimo atendimento.",indef,pt
Bistrô,3853354,restaurante-review,Mazarakis,2019-12-20,2019-07-03,4.0,Pratos saborosos e bem servidos,"Pratos saborosos e bem servidos, pedi uma carne que veio bem saborosa no ponto correto, num prato super bem servido.","Orlando, Flórida",pt
Bistrô,3853354,restaurante-review,Paula G,2019-10-28,2019-10-03,5.0,Aconchego de Mariana.,"Fui acompanhada do meu namorado na sexta-feira (25/10/2019), fomos bem recebidos e escolhemos uma mesa perto da escada. Pedimos duas cervejas, um suco de laranja, um sprite, uma porção de pastel de angu e um filé a palito com pão de alho. Deu um total de 101,20.
Sobre a comida, estava bem temperada, quente e veio rápido. As cervejas, suco e refrigerantes estavam gelados.
Sobre o ambiente, achei aconchegante, com música boa e ambiente, o que permite que os clientes conversem sem alterar a voz.
O atendimento foi maravilhoso, as meninas são super agradáveis e educadas.
Recomendo o local demais!","Nova Iguaçu, RJ",pt
Bistrô,3853354,restaurante-review,ViviCopp,2019-10-12,2019-10-03,4.0,Lugar agradável! ,"Lugar agradável e atendimento ótimo! Não experimentamos os pratos mais sofisticados, mas para uma alimentação rápida foi perfeito. Recomendo.","São Paulo, SP",pt
Bistrô,3853354,restaurante-review,Z1180IWamandar,2019-09-15,2019-09-03,5.0,Boa comida ,"Estávamos em Mariana para o Iron Biker e pelas indicações do trip advisor fomos ao Bistrô, que era muito perto da nossa pousada. Muito boa a comida, pedimos um filé ao molho madeira, bem saboroso, preços razoáveis. Atendimento bom e rápido!","Manhuaçu, MG",pt
Bistrô,3853354,restaurante-review,Giuliano720,2019-07-15,2019-07-03,4.0,Bom custo-benefício!,"Esse restaurante tem um ambiente aconchegante, boa comida e atendimento regular. Bons preços! A picanha completa é bem servida!","Juiz de Fora, MG",pt
Bistrô,3853354,restaurante-review,Apdb1,2019-06-25,2019-06-03,4.0,Ambiente agradável e comida boa,"Estive no bistrô para o rodízio de pizza que tem todas as terças por 32,90 por pessoa. Pizza deliciosa, e todoa atenciosos perguntando se queríamos sabores que ainda nao tínhamos comido. Ambiente agradável para casais, família e amigos.. A batata recheada também é uma ótima opção, muito gostosa!","Belo Horizonte, MG",pt
Bistrô,3853354,restaurante-review,Ambassador444021,2019-06-05,2018-08-03,5.0,"O ambiente é aconchegante, a comida de muito boa qualidade e o atendimento de ótimo padrão.","Durante o tempo em que residi em Mariana me tornei habitué do Bistrô, fui tratado de forma personalizada e guardo recordações carinhosas do estabelecimento,","Natal, RN",pt
Bistrô,3853354,restaurante-review,Filipe B,2019-04-13,2019-01-03,5.0,Ambiente legal,adoramos a picanha completa... sempre vamos lá comer a picanha e tomar uma cerveja gelada. próximo ao jardim de mariana no centro da cidade,indef,pt
Bistrô,3853354,restaurante-review,rubensverona,2019-03-20,2019-03-03,4.0,Excelente batata recheada,"O Bistrô é um charme de restaurante, muito aconchegante e agradável. Ainda tem uma excelente batata recheada, de inúmeros sabores, e pizzas incríveis. Um lugar imperdível em Mariana.","Mariana, MG",pt
Bistrô,3853354,restaurante-review,W_EVANGELISTA,2019-03-20,2018-06-03,4.0,Ambiente agradavel,"Alem de ser Amigo da proprietaria, e um local muito agradavel para tomar uma cerveja e ou outras bebidas. Cardapio variado e exclusivo, com excelentes petiscos. Otimo para fim de semana.","Rio Piracicaba, MG",pt
Bistrô,3853354,restaurante-review,Amarildo S,2019-03-19,2019-02-03,4.0,Sempre uma boa opção,"Ambiente agradável, bom atendimento e boa comida. Vale a visita e bom pra descontrair com amigos. As batatas recheadas são ótimas.",indef,pt
Bistrô,3853354,restaurante-review,tcheloferreira,2019-01-13,2019-01-03,3.0,A pizza 🍕 já não 👎🏼 é a mesma ,"Fomos ontem ao Bistrô, dentre os pedidos, pedimos uma pizza, que infelizmente já não é a mesma que encontrávamos há anos anteriores. A massa está mais fina e de tão fina torrou e foi impossível utilizar os talheres. Uma pena, pq a pizza do Bistrô era uma das mais especiais da cidade. Esperamos que os proprietários possam reavaliar a elaboração da pizza e a tornem irresistível como antes . No mais Gostaríamos de elogiar o atendimento das atendentes que se mostraram muito educadas e atenciosas.","Mariana, MG",pt
Bistrô,3853354,restaurante-review,grazielagrs,2019-01-01,2019-01-03,4.0,Boa opção de refeição,"Localizado bem próximo à praça central de Mariana. Não é um bistrô como o nome diz, mas um restaurante mesmo. Preço razoável nos pratos; a picanha que pedimos estava boa.","Extrema, MG",pt
Bistrô,3853354,restaurante-review,jess_mnantes,2018-12-31,2018-12-03,5.0,Opção intimista,"O restaurante fica um pouco afastado do burburinho da praça, a princípio ficamos receosos, mas foi uma ótima escolha. Sentamos na varanda do mezanino, tínhamos vista agradável e clima bom. O atendimento foi razoável e a comida era boa. Pedimos um prato e uma porção, ambos vieram quentes e conforme o esperado. O único deslize foi com a bebida, pedimos uma Backer de trigo e era necessário mexer a garrafa antes de servir, pois essa cerveja (extra turva) sedimenta. A pessoa que nos serviu não sabia desse detalhe. Preço um pouco acima da média, mas recomendado.",indef,pt
