atracao_id,nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
313966,Museu da Inconfidência - Ouro Preto,"Praca Tiradentes 139, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.5,3395,-20.3858642578125,-43.503719329833984,https://www.tripadvisor.com.br/Attraction_Review-g303389-d313966-Reviews-Museu_da_Inconfidencia-Ouro_Preto_State_of_Minas_Gerais.html
4601254,Centro Histórico de Ouro Preto,indef,Ouro Preto,4.5,5031,-20.38504981994629,-43.50366973876953,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4601254-Reviews-Centro_Historico_de_Ouro_Preto-Ouro_Preto_State_of_Minas_Gerais.html
2389271,Casa dos Contos - Ouro Preto,"Rua Sao Jose 12, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.5,2096,-20.38436508178711,-43.506107330322266,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389271-Reviews-Casa_dos_Contos-Ouro_Preto_State_of_Minas_Gerais.html
313967,Basílica de Nossa Senhora do Pilar - Ouro Preto,"Travessa Lauro Barbosa, 16 Bairro do Pilar, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.5,2388,-20.386329650878906,-43.507850646972656,https://www.tripadvisor.com.br/Attraction_Review-g303389-d313967-Reviews-Basilica_of_Nossa_Senhora_do_Pilar-Ouro_Preto_State_of_Minas_Gerais.html
555145,Igreja de São Francisco de Assis - Ouro Preto,"Largo de Coimbra, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.5,2067,-20.38641357421875,-43.502777099609375,https://www.tripadvisor.com.br/Attraction_Review-g303389-d555145-Reviews-Church_of_Sao_Francisco_de_Assis-Ouro_Preto_State_of_Minas_Gerais.html
2389356,Trem da Vale – Ouro Preto e Mariana,indef,Ouro Preto ,4.0,928,-20.38249969482422,-43.484535217285156,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389356-Reviews-Trem_da_Vale_Ouro_Preto_e_Mariana-Ouro_Preto_State_of_Minas_Gerais.html
7655323,Mina Du Veloso - Ouro Preto,"Rua Levindo Inácio André, 400, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.5,772,-20.376314163208008,-43.51600646972656,https://www.tripadvisor.com.br/Attraction_Review-g303389-d7655323-Reviews-Mina_Du_Veloso-Ouro_Preto_State_of_Minas_Gerais.html
2389353,Parque Estadual do Itacolomi - Ouro Preto,"Rodovia BR 356, Km 98, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.5,266,-20.388370513916016,-43.498008728027344,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389353-Reviews-Parque_Estadual_do_Itacolomi-Ouro_Preto_State_of_Minas_Gerais.html
12389108,Minas do Palácio Velho - Ouro Preto,"Rua Dom Silvério 159 Ponte da 'Encardideira', Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.5,214,-20.386127471923828,-43.49897766113281,https://www.tripadvisor.com.br/Attraction_Review-g303389-d12389108-Reviews-Minas_do_Palacio_Velho-Ouro_Preto_State_of_Minas_Gerais.html
2389280,Feira De Pedra Sabão Do Largo De Coimbra - Ouro Preto,"Largo do Coimbra, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.5,437,-20.385942459106445,-43.50276184082031,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389280-Reviews-Feira_De_Pedra_Sabao_Do_Largo_De_Coimbra-Ouro_Preto_State_of_Minas_Gerais.html
