hotel_id,nome,endereco,cidade,preco,tipo,qtd_quartos,qtd_avaliacoes,nota,categoria,nota_pedestres,restaurantes_perto,atracoes_perto,latitude,longitude,fonte
539356,Pousada Clássica,"Rua Conde de Bobadela, 96 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,314,Pousada,38,809,4.5,4.0,100,131,63,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d539356-Reviews-Pousada_Classica-Ouro_Preto_State_of_Minas_Gerais.html
507009,Hotel Solar do Rosário,"Rua Getúlio Vargas 270 Bairro Rosário, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,616,Hotel,41,943,4.5,3.5,100,87,28,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d507009-Reviews-Hotel_Solar_Do_Rosario-Ouro_Preto_State_of_Minas_Gerais.html
1886780,Pousada Solar da Opera,"Rua Conde de Bobadela, 79 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,390,Pousada,16,285,4.5,4.0,100,130,62,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d1886780-Reviews-Pousada_Solar_da_Opera-Ouro_Preto_State_of_Minas_Gerais.html
598402,Hotel Pousada do Arcanjo,"Rua São Miguel Arcanjo, 270 900m da Praça Tiradentes com transfer gratuito, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,304,Hotel,24,694,4.5,4.0,87,30,14,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d598402-Reviews-Hotel_Pousada_do_Arcanjo-Ouro_Preto_State_of_Minas_Gerais.html
1673113,Mirante Hotel,"Rua Pandiá Calogeras, 377 Barra, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,186,Hotel,33,469,4.0,3.0,79,72,51,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d1673113-Reviews-Mirante_Hotel-Ouro_Preto_State_of_Minas_Gerais.html
5005008,Pousada Chico Anjo,"Passa Rua Dez S / N, Ouro Preto, Minas Gerais Brasil",Ouro Preto ,262,Pousada,6,130,4.5,indef,62,27,7,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d5005008-Reviews-Pousada_Chico_Anjo-Ouro_Preto_State_of_Minas_Gerais.html
2644365,Pousada Arcádia Mineira,"Rua Xavier Da Veiga 125 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,227,Pousada,14,285,4.0,indef,100,104,55,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d2644365-Reviews-Pousada_Arcadia_Mineira-Ouro_Preto_State_of_Minas_Gerais.html
2486540,Hotel Solar de Maria,"R Tomé Afonso, 111 - Bairro Agua Limpa Bairro Agua Limpa, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,286,Hotel,22,246,4.5,3.5,94,59,23,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d2486540-Reviews-Hotel_Solar_de_Maria-Ouro_Preto_State_of_Minas_Gerais.html
2304973,Grande Hotel de Ouro Preto,"Rua Sen. Rocha Lagoa, 164 Próximo dos principais monumentos turísticos da cidade., Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,226,Hotel,35,612,4.0,3.0,100,134,62,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d2304973-Reviews-Grande_Hotel_de_Ouro_Preto-Ouro_Preto_State_of_Minas_Gerais.html
2274004,Hotel Pousada Casa Grande,"Rua Conselheiro Quintiliano, 96, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,180,Hotel,21,236,4.0,indef,100,93,47,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d2274004-Reviews-Hotel_Pousada_Casa_Grande-Ouro_Preto_State_of_Minas_Gerais.html
17700835,Pousada Recanto Da Serra,"Rua Manganês 287, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,561,Pousada,indef,50,3.5,indef,70,31,8,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d17700835-Reviews-Pousada_Recanto_Da_Serra-Ouro_Preto_State_of_Minas_Gerais.html
2013907,Pousada Minas Gerais,"Rua Xavier Da Veiga, 303 Centro Histórico, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,317,Pousada,18,257,4.0,3.0,100,115,61,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d2013907-Reviews-Pousada_Minas_Gerais-Ouro_Preto_State_of_Minas_Gerais.html
4223455,Casa dos Meninos Cama & Café,"Rua do Aleijadinho 89 Antonio Dias, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,333,indef,4,452,5.0,indef,100,102,53,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d4223455-Reviews-Casa_dos_Meninos_Cama_Cafe-Ouro_Preto_State_of_Minas_Gerais.html
1632060,Pousada dos Ofícios,"Rua Padre Rolim 765, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,214,Pousada,4,366,4.5,indef,86,14,8,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d1632060-Reviews-Pousada_Dos_Oficios-Ouro_Preto_State_of_Minas_Gerais.html
2013844,Ville Real Hotel,"Rua Antonio dos Santos 5 Centro Historico - Santo Antonio do Leite, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,558,Hotel,24,188,4.0,3.5,indef,indef,indef,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d2013844-Reviews-Ville_Real_Hotel-Ouro_Preto_State_of_Minas_Gerais.html
3445886,Hotel Colonial,"Travessa Conego Camilo Veloso 26, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,257,Hotel,18,241,4.0,indef,100,128,64,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d3445886-Reviews-Hotel_Colonial-Ouro_Preto_State_of_Minas_Gerais.html
6412263,Trilhas De Minas Hostel,"Praca Antonio Dias 21 Alto da Cruz, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,indef,Hostel,3,164,5.0,2.0,100,83,50,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d6412263-Reviews-Trilhas_De_Minas_Hostel-Ouro_Preto_State_of_Minas_Gerais.html
3356021,Pousada Ouro Preto,"Largo Musicista Jose dos Anjos Costa 72, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,189,Pousada,7,139,4.0,3.0,100,86,51,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d3356021-Reviews-Pousada_Ouro_Preto-Ouro_Preto_State_of_Minas_Gerais.html
6960461,Uai Hostel,"Rua Bernado Vasconcellos, 133 Bairro Antonio Dias, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,86,Hostel,5,117,4.5,indef,100,134,61,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d6960461-Reviews-Uai_Hostel-Ouro_Preto_State_of_Minas_Gerais.html
12084155,Pousada Vila Real Flats,"Vitorio Zanetti 350/105, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,190,Pousada,indef,9,3.5,indef,74,50,2,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d12084155-Reviews-Pousada_Vila_Real_Flats-Ouro_Preto_State_of_Minas_Gerais.html
12394478,Le Ville,"Trevo Jacuba Acesso a Sao Bartolomeu, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,258,indef,28,31,4.0,3.0,indef,indef,indef,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d12394478-Reviews-Le_Ville-Ouro_Preto_State_of_Minas_Gerais.html
12699363,Solar Douro,"Rua Vereador Edmundo José Vieira, 161, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,indef,indef,indef,2,4.5,3.0,70,10,4,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d12699363-Reviews-Solar_Douro-Ouro_Preto_State_of_Minas_Gerais.html
2626344,Pousada Horto dos Contos,"Rua Padre Rolim 244, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,141,Pousada,8,76,3.0,indef,71,33,9,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d2626344-Reviews-Pousada_Horto_dos_Contos-Ouro_Preto_State_of_Minas_Gerais.html
1886780,Pousada Solar da Opera,"Rua Conde de Bobadela, 79 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,390,Pousada,16,285,4.5,4.0,100,130,62,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d1886780-Reviews-Pousada_Solar_da_Opera-Ouro_Preto_State_of_Minas_Gerais.html
5005008,Pousada Chico Anjo,"Passa Rua Dez S / N, Ouro Preto, Minas Gerais Brasil",Ouro Preto ,262,Pousada,6,130,4.5,indef,62,27,7,indef,indef,https://www.tripadvisor.com.br/Hotel_Review-g303389-d5005008-Reviews-Pousada_Chico_Anjo-Ouro_Preto_State_of_Minas_Gerais.html
