hotel_id,nome,endereco,cidade,preco,tipo,qtd_quartos,qtd_avaliacoes,nota,categoria,nota_pedestres,restaurantes_perto,atracoes_perto,latitude,longitude,fonte
301848,"Sheraton Santiago Hotel and Convention Center","Ave. Santa Maria, 1742, Santiago Chile",Santiago ,598,Hotel,525,2195,4.0,indef,87,28,2,-33.42231750488281,-70.62073516845703,https://www.tripadvisor.com.br/Hotel_Review-g294305-d301848-Reviews-Sheraton_Santiago_Hotel_and_Convention_Center-Santiago_Santiago_Metropolitan_Region.html
1889919,"Ibis Santiago Estacion Central","Avenida Lib Bernardo O'Higgins 3780, Santiago 9160000 Chile",Santiago ,234,indef,132,2300,3.5,indef,76,55,7,-33.45361328125,-70.6875,https://www.tripadvisor.com.br/Hotel_Review-g294305-d1889919-Reviews-Ibis_Santiago_Estacion_Central-Santiago_Santiago_Metropolitan_Region.html
3165040,"Ibis Santiago Providencia","Av Providencia 1187, Santiago 7500585 Chile",Santiago ,344,indef,182,4526,4.0,indef,97,237,13,-33.42958450317383,-70.62110900878906,https://www.tripadvisor.com.br/Hotel_Review-g294305-d3165040-Reviews-Ibis_Santiago_Providencia-Santiago_Santiago_Metropolitan_Region.html
12291618,"Icon Hotel","Av. Alonso de Córdova 6050, Santiago 3776000 Chile",Santiago ,730,Hotel,207,625,4.0,indef,99,78,6,-33.407936096191406,-70.56803894042969,https://www.tripadvisor.com.br/Hotel_Review-g294305-d12291618-Reviews-Icon_Hotel-Santiago_Santiago_Metropolitan_Region.html
1637130,"Lastarria Hotel & Aparts.","J.V. Lastarria 43 And 61 43 Avenida Libertador Bernardo O`Higgins 340, estación de metro Universidad Católica, Santiago 8320165 Chile",Santiago ,494,Hotel,28,473,4.5,indef,100,192,38,-33.439693450927734,-70.64114379882812,https://www.tripadvisor.com.br/Hotel_Review-g294305-d1637130-Reviews-Lastarria_Hotel_Aparts-Santiago_Santiago_Metropolitan_Region.html
8446529,"Solace Hotel Santiago","Monsenor Nuncio Sotero Sanz 115 Providencia, Santiago 7500007 Chile",Santiago ,651,Hotel,108,849,4.5,indef,98,216,13,-33.4238166809082,-70.6144790649414,https://www.tripadvisor.com.br/Hotel_Review-g294305-d8446529-Reviews-Solace_Hotel_Santiago-Santiago_Santiago_Metropolitan_Region.html
306890,"Novotel Santiago Vitacura","Avenida Americo Vespucio Norte 1630, Santiago 7630340 Chile",Santiago ,399,indef,144,1127,4.0,indef,81,49,9,-33.39946365356445,-70.58805847167969,https://www.tripadvisor.com.br/Hotel_Review-g294305-d306890-Reviews-Novotel_Santiago_Vitacura-Santiago_Santiago_Metropolitan_Region.html
301848,"Sheraton Santiago Hotel and Convention Center","Ave. Santa Maria, 1742, Santiago Chile",Santiago ,598,Hotel,525,2195,4.0,indef,87,28,2,-33.42231750488281,-70.62073516845703,https://www.tripadvisor.com.br/Hotel_Review-g294305-d301848-Reviews-Sheraton_Santiago_Hotel_and_Convention_Center-Santiago_Santiago_Metropolitan_Region.html
306907,"Regal Pacific Hotel","Avenida Apoquindo 5680 Estación De Metro Manquehue, Santiago 6761749 Chile",Santiago ,649,Hotel,104,1545,4.5,indef,97,62,7,-33.4096565246582,-70.57081604003906,https://www.tripadvisor.com.br/Hotel_Review-g294305-d306907-Reviews-Regal_Pacific_Hotel-Santiago_Santiago_Metropolitan_Region.html
6028647,"Hyatt Place Santiago Vitacura","Avenida Americo Vespucio Norte 1597, Santiago 7630293 Chile",Santiago ,627,indef,160,1598,4.5,indef,81,42,6,-33.3994026184082,-70.58663177490234,https://www.tripadvisor.com.br/Hotel_Review-g294305-d6028647-Reviews-Hyatt_Place_Santiago_Vitacura-Santiago_Santiago_Metropolitan_Region.html
