restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,categoria_preco,faixa_preco,latitude,longitude,fonte
21315612,"La Cabrera Chile Isidora","Isidora Goyenechea 3275, Las Condes, Santiago 7550129 Chile",Santiago ,5.0,339,$,indef,-33.414581298828125,-70.59664916992188,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d21315612-Reviews-La_Cabrera_Chile_Isidora-Santiago_Santiago_Metropolitan_Region.html
7291241,"Ramblas Bar Restaurante","Avenida Manuel Montt 370 Cerca De Estación Metro Manuel Montt, Santiago 7500628 Chile",Santiago ,4.5,500,$$ - $$$,R$ 35 - R$ 64,-33.43165588378906,-70.6182861328125,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d7291241-Reviews-Ramblas_Bar_Restaurante-Santiago_Santiago_Metropolitan_Region.html
1775805,"Majestic","5600 Presidente Kennedy Avenue at the corner of Luis Carrera, Santiago 8320000 Chile",Santiago ,4.0,1054,$$$$,indef,-33.399497985839844,-70.57573699951172,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d1775805-Reviews-Majestic-Santiago_Santiago_Metropolitan_Region.html
8494943,"Martuca","Manuel Mont, 282 Providencia, Santiago 7500591 Chile",Santiago ,4.5,225,$$ - $$$,indef,-33.43111038208008,-70.61871337890625,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d8494943-Reviews-Martuca-Santiago_Santiago_Metropolitan_Region.html
14924733,"Tren Uncle Fletch","Avenida El Rodeo 12850, Santiago 7700401 Chile",Santiago ,4.5,287,$$ - $$$,R$ 47 - R$ 81,-33.35219955444336,-70.51988983154297,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d14924733-Reviews-Tren_Uncle_Fletch-Santiago_Santiago_Metropolitan_Region.html
7308433,"Zaatar","Monitor Araucano 0803 Intersección Alcalde Davalos, Santiago 7520304 Chile",Santiago ,4.5,33,$$ - $$$,R$ 26 - R$ 67,-33.42877960205078,-70.62700653076172,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d7308433-Reviews-Zaatar-Santiago_Santiago_Metropolitan_Region.html
1493782,"Oporto Steak Bar","Isidora Goyenechea 3477, Santiago 7550106 Chile",Santiago ,4.5,913,$$$$,indef,-33.41444778442383,-70.59397888183594,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d1493782-Reviews-Oporto_Steak_Bar-Santiago_Santiago_Metropolitan_Region.html
777610,"Zanzibar","San J.M. Escrivá de Balaguer 6400, Santiago 7640859 Chile",Santiago ,4.5,1609,$$$$,R$ 148 - R$ 247,-33.381343841552734,-70.57963562011719,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d777610-Reviews-Zanzibar-Santiago_Santiago_Metropolitan_Region.html
10761466,"Flannery's Beer House","Tobalaba 379 Esquina Tobalaba con El Bosque, Santiago 8320000 Chile",Santiago ,4.5,444,$$ - $$$,indef,-33.420372009277344,-70.5987777709961,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d10761466-Reviews-Flannery_s_Beer_House-Santiago_Santiago_Metropolitan_Region.html
10503885,"Krossbar","Dardignac 127 Barrio Bellavista, Santiago 8320000 Chile",Santiago ,4.5,768,$$ - $$$,R$ 25 - R$ 74,-33.43324661254883,-70.6343994140625,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d10503885-Reviews-Krossbar-Santiago_Santiago_Metropolitan_Region.html
14012119,"La Cabrera Chile Alonso","Alonso De Cordova 4263 Vitacura, Santiago 7630530 Chile",Santiago ,4.5,1573,$$$$,R$ 197 - R$ 493,-33.403499603271484,-70.58854675292969,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d14012119-Reviews-La_Cabrera_Chile_Alonso-Santiago_Santiago_Metropolitan_Region.html
7308575,"Mokka","Avenida Presidente Kennedy 5413, Santiago 8320000 Chile",Santiago ,3.5,93,$$ - $$$,indef,-33.402435302734375,-70.57886505126953,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d7308575-Reviews-Mokka-Santiago_Santiago_Metropolitan_Region.html
17786387,"Gracielo","Cirujano Guzman 194 Providencia, Santiago 7500545 Chile",Santiago ,4.5,150,$$ - $$$,R$ 81 - R$ 135,-33.4267692565918,-70.61947631835938,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d17786387-Reviews-Gracielo-Santiago_Santiago_Metropolitan_Region.html
15184025,"Krossbar Borderio","San Josemaria Escriva De Balaguer 6400 Local 2B, Santiago 7640859 Chile",Santiago ,4.5,390,$$ - $$$,R$ 25 - R$ 74,-33.381900787353516,-70.5799331665039,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d15184025-Reviews-Krossbar_Borderio-Santiago_Santiago_Metropolitan_Region.html
3838800,"Bar Pizzeria Domani","Granaderos 1328, Santiago 7500594 Chile",Santiago ,4.5,409,$$ - $$$,indef,-33.431068420410156,-70.61845397949219,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d3838800-Reviews-Bar_Pizzeria_Domani-Santiago_Santiago_Metropolitan_Region.html
2410245,"Latin Grill","Av. Presidente Kennedy 5741 Inside Santiago Marriott Hotel, Santiago 8320000 Chile",Santiago ,4.5,1072,$$$$,indef,-33.400264739990234,-70.57422637939453,https://www.tripadvisor.com.br/Restaurant_Review-g294305-d2410245-Reviews-Latin_Grill-Santiago_Santiago_Metropolitan_Region.html
