,ID,name,TA_link,city,fee,climate_station
0,1.0,(NATURAL HISTORY MUSEUM) SOUTH KENSINGTON,Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html,london,free,Heathrow
1,2.0,(NATURAL HISTORY MUSEUM) TRING,Attraction_Review-g503883-d2042417-Reviews-Natural_History_Museum_at_Tring-Tring_Hertfordshire_England.html,Tring,,Oxford
2,3.0,(ROYAL ARMOURIES) FORT NELSON ,Attraction_Review-g186298-d3317686-Reviews-Royal_Armouries_Fort_Nelson-Portsmouth_Hampshire_England.html,"Fareham, Fort Nelson",free,Hurn
3,4.0,(ROYAL ARMOURIES) LEEDS,Attraction_Review-g186411-d189274-Reviews-Royal_Armouries_Museum-Leeds_West_Yorkshire_England.html,leeds,free,Bradford
4,5.0,(ROYAL ARMOURIES) WHITE TOWER (BASED AT THE TOWER OF LONDON) ,Attraction_Review-g186338-d187547-Reviews-Tower_of_London-London_England.html,london,,Heathrow
5,14.0,"(VICTORIA & ALBERT MUSEUM) MUSEUM OF CHILDHOOD, BETHNAL GREEN",Attraction_Review-g186338-d3494042-Reviews-V_A_Museum_of_Childhood-London_England.html,london,free,Heathrow
6,15.0,(VICTORIA & ALBERT MUSEUM) TOTAL,Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html,london,free,Heathrow
7,16.0,CHURCHILL WAR ROOMS (IMPERIAL WAR MUSEUM),Attraction_Review-g186338-d194299-Reviews-Churchill_War_Rooms-London_England.html,london,,Heathrow
8,17.0,HMS BELFAST (IMPERIAL WAR MUSEUM),Attraction_Review-g186338-d187551-Reviews-HMS_Belfast-London_England.html,london,,Heathrow
9,19.0,IMPERIAL WAR MUSEUM LONDON,Attraction_Review-g186338-d187674-Reviews-Imperial_War_Museum-London_England.html,london,free,Heathrow
10,20.0,IMPERIAL WAR MUSEUM NORTH,Attraction_Review-g2433765-d254529-Reviews-Imperial_War_Museum_North-Stretford_Trafford_Greater_Manchester_England.html,manchester,free,Bradford
11,21.0,SCIENCE MUSEUM GROUP  LOCOMOTION AT SHILDON,Attraction_Review-g4409198-d1765436-Reviews-Locomotion_The_National_Railway_Museum_at_Shildon-Shildon_Bishop_Auckland_County.html,shildon,,Durham
12,22.0,"SCIENCE MUSEUM GROUP MUSEUM OF SCIENCE AND INDUSTRY, MANCHESTER",Attraction_Review-g187069-d212251-Reviews-Museum_of_Science_Industry-Manchester_Greater_Manchester_England.html,manchester,,Bradford
13,23.0,SCIENCE MUSEUM GROUP NATIONAL MEDIA MUSEUM,Attraction_Review-g186408-d211773-Reviews-National_Science_and_Media_Museum-Bradford_West_Yorkshire_England.html,Bradford,free,Bradford
14,24.0,SCIENCE MUSEUM GROUP NATIONAL RAILWAY MUSEUM,Attraction_Review-g186346-d207903-Reviews-National_Railway_Museum-York_North_Yorkshire_England.html,york,,Bradford
15,25.0,SCIENCE MUSEUM GROUP SOUTH KENSINGTON ,Attraction_Review-g186338-d189025-Reviews-Science_Museum-London_England.html,london-free,free,Heathrow
16,26.0,TATE BRITAIN ,Attraction_Review-g186338-d188865-Reviews-Tate_Britain-London_England.html,london,free,Heathrow
17,27.0,TATE LIVERPOOL,Attraction_Review-g186337-d213956-Reviews-Tate_Liverpool-Liverpool_Merseyside_England.html,Liverpool,free,Valley
18,28.0,TATE MODERN  ,Attraction_Review-g186338-d187677-Reviews-Tate_Modern-London_England.html,london,free,Heathrow
19,29.0,TATE ST IVES,Attraction_Review-g186243-d188849-Reviews-Tate_Gallery_St_Ives-St_Ives_Cornwall_England.html,Saint Ives,,Camborne
20,30.0,BRITISH MUSEUM,Attraction_Review-g186338-d187555-Reviews-The_British_Museum-London_England.html,london,free,Heathrow
21,32.0,NATIONAL COAL MINING MUSEUM FOR ENGLAND,Attraction_Review-g1886505-d188691-Reviews-National_Coal_Mining_Museum_for_England-Overton_Wakefield_West_Yorkshire_England.html,Overton,,Bradford
22,33.0,NATIONAL GALLERY,Attraction_Review-g186338-d188862-Reviews-National_Gallery-London_England.html,london,free,Heathrow
23,34.0,NATIONAL MUSEUMS LIVERPOOL,Attraction_Review-g186337-d2208390-Reviews-Museum_of_Liverpool-Liverpool_Merseyside_England.html,Liverpool,free,Valley
24,35.0,NATIONAL PORTRAIT GALLERY,Attraction_Review-g186338-d188863-Reviews-National_Portrait_Gallery-London_England.html,london,free,Heathrow
25,36.0,WALLACE COLLECTION,Attraction_Review-g186338-d187558-Reviews-Wallace_Collection-London_England.html,london,free,Heathrow
26,38.0,SIR JOHN SOANE'S MUSEUM,Attraction_Review-g186338-d187559-Reviews-Sir_John_Soane_s_Museum-London_England.html,london,free,Heathrow
