atracao_id,nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
2389905,"Serra São José - Tiradentes","Antiga estrada Tiradentes-Sta Cruz de Minas, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes,4.5,695,-21.118450164794922,-44.22140884399414,https://www.tripadvisor.com.br/Attraction_Review-g737098-d2389905-Reviews-Sao_Jose_Ridge-Tiradentes_State_of_Minas_Gerais.html
10146654,"Tiradentes Historic Center","Entrada pela Ponte das Forras Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes,4.5,1407,-21.11035919189453,-44.174251556396484,https://www.tripadvisor.com.br/Attraction_Review-g737098-d10146654-Reviews-Tiradentes_Historic_Center-Tiradentes_State_of_Minas_Gerais.html
2389898,"Smoking Mary Minas' Vintage Steam Trains",indef,Tiradentes ,indef,0,-21.114299774169922,-44.16870880126953,https://www.tripadvisor.com.br/Attraction_Review-g737098-d2389898-Reviews-Smoking_Mary_Minas_Vintage_Steam_Trains-Tiradentes_State_of_Minas_Gerais.html
2389887,"Museu de Sant'Ana - Tiradentes","Rua Direita 93 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes,4.5,1383,-21.109474182128906,-44.17643737792969,https://www.tripadvisor.com.br/Attraction_Review-g737098-d2389887-Reviews-Museu_de_Sant_Ana-Tiradentes_State_of_Minas_Gerais.html
2389876,"Igreja Nossa Senhora do Rosário dos Pretos - Tiradentes","Praça Padre Lourival Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes,4.5,758,-21.109682083129883,-44.176666259765625,https://www.tripadvisor.com.br/Attraction_Review-g737098-d2389876-Reviews-Igreja_Nossa_Senhora_do_Rosario_dos_Pretos-Tiradentes_State_of_Minas_Gerais.html
11444448,"Museu da Moto - Tiradentes","Av. Israel Pinheiro nº 35, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes,4.5,120,-21.117881774902344,-44.168609619140625,https://www.tripadvisor.com.br/Attraction_Review-g737098-d11444448-Reviews-Museu_da_Moto-Tiradentes_State_of_Minas_Gerais.html
6984501,"Atelier do Arquiteto Sérgio Ramos - Tiradentes","Rua da Câmara, 83 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes,5.0,250,-21.109561920166016,-44.17765808105469,https://www.tripadvisor.com.br/Attraction_Review-g737098-d6984501-Reviews-Atelier_do_Arquiteto_Sergio_Ramos-Tiradentes_State_of_Minas_Gerais.html
10146567,"Largo das Forras - Tiradentes","Largo das Forras Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes,4.5,316,-21.110342025756836,-44.17388153076172,https://www.tripadvisor.com.br/Attraction_Review-g737098-d10146567-Reviews-Largo_das_Forras-Tiradentes_State_of_Minas_Gerais.html
8317868,"Igreja de Santo Antonio - Tiradentes","R. Padre Toledo, 2 Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes,4.5,4004,-21.110143661499023,-44.178123474121094,https://www.tripadvisor.com.br/Attraction_Review-g737098-d8317868-Reviews-Igreja_de_Santo_Antonio-Tiradentes_State_of_Minas_Gerais.html
2389882,"Igreja São Francisco de Paula - Tiradentes","Morro São Francisco Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes,4.5,255,-21.108530044555664,-44.17433166503906,https://www.tripadvisor.com.br/Attraction_Review-g737098-d2389882-Reviews-Sao_Francisco_de_Paula_Church-Tiradentes_State_of_Minas_Gerais.html
