estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem,idioma
Igreja de Santo Antonio,8317868,atracao-review,diisr,2021-03-19,2021-01-31,5.0,Linda,"Amei demais conhecer! Essa igreja é linda por dentro e por fora. Muito bem cuidada e limpa, você paga um pequeno valor para visitação.","Guarapuava, PR",pt
Igreja de Santo Antonio,8317868,atracao-review,Y7882DRchrisc,2021-03-14,2021-03-31,5.0,Conservada e bem cuidada ,"Estive a última vez há 3 anos e pude ouvir o concerto do órgão, maravilhoso. Desta vez, por conta da pandemia, apenas visitamos o interior. Vale a visita sempre, pedaço importante da história brasileira.",indef,pt
Igreja de Santo Antonio,8317868,atracao-review,Carolina1010,2021-03-14,2021-02-28,5.0,Toda de ouro,A igreja está bem conservada e é toda de ouro por dentro. Vale a pena o ingresso de R$ 5 para visita interna. Fica bem no centro.,"Belo Horizonte, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,U9691OMvictors,2021-02-28,2021-02-28,5.0,Retrato de uma época.,"Vista de fora parece maior, lembro de ter me surpreendido ao entrar. No entanto, as obras barrocas, revestidas em ouro são a perfeita tradução da opulência da época do ouro. Vale a visita.","Tiradentes, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,Laiza26,2021-02-28,2021-02-28,5.0,Igreja linda! ,"Eu e meu namorado estivemos na Igreja de Santo Antônio no feriado de Carnaval de 2021. A entrada é R$5,00 por pessoa e lá dentro tem pessoas que explicam toda a história da Igreja, que pedem uma contribuição de qualquer valor, caso queira doar.","Contagem, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,malupmp,2021-02-28,2021-02-28,4.0,Concerto,"Fomos assistir ao concerto de órgão.
A igreja é maravilhosa, uma pena a conservação ser tão pequena.
O concerto foi muito bacana.","São Paulo, SP",pt
Igreja de Santo Antonio,8317868,atracao-review,leonardo-machado-bh,2021-02-28,2021-02-28,5.0,Tudo muito lindo,"Excelente passeio!!! Igreja lindíssima, muito bem conservada. É a historio in loco . A história da colonização do Brasil.","Belo Horizonte, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,cibelemascarenhas,2021-02-28,2021-02-28,5.0,Linda e maravilhosa.,"Com sua altura e beleza, continua sendo a mais bela da cidade.
A segunda em ouro do Brasil.
Linda linda linda.
Não deixem de visitar.","Belo Horizonte, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,caducampello,2021-02-28,2021-02-28,5.0,Lindo!,"Lugar maravilhoso, que história! Quantos detalhes! Vale a pena a visita guiada.. Incentiva os empreendores, pois são guias autônomos!","Cataguases, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,anselmod769,2021-02-28,2021-02-28,5.0,"Lugar incrível, tem um visual fantástico da Serra que circunda a cidade.","É cobrado 5 Reais por pessoa para visitação, pode tirar fotos (desde que sem flash). Amei a visitação. Dei uma passada também no cemitério que fica ao redor da igreja.",indef,pt
Igreja de Santo Antonio,8317868,atracao-review,roteirosdafaby,2021-01-31,2021-01-31,5.0,"Amo arquitetura histórica e estar aí foi mágico, com as explicação é possível visualizou no local cada situação vivida.","A parte preferida foi a história, como dica deixo aqui a importância de ter um guia, pra nós fez toda diferença, assim conseguimos realmente perceber os detalhes do contesto histórico e arquitetônico da época.","Ituporanga, SC",pt
Igreja de Santo Antonio,8317868,atracao-review,jullyhsu,2021-01-31,2020-12-31,5.0,muito linda,"Pena que quando eu fui, estava fechada a igreja... por fora também é bonita. Acredito que seja ainda mais bonita por dentro.","São Paulo, SP",pt
Igreja de Santo Antonio,8317868,atracao-review,Fa_bio1277,2020-12-31,2020-12-31,5.0,Linda,"Igreja imponente em meio a todas as outras. Linda e cheia de histórias. As construções nos arredores ajudam a ornar toda a região.
Vale a pena caminhar pelas ruas das redondezas.
Estava fechada. Acredito por razão da pandemia.","São Paulo, SP",pt
Igreja de Santo Antonio,8317868,atracao-review,497janinef,2020-12-31,2020-12-31,5.0,Igreja fechada,Igreja fechada. Não sei se por conta da pandemia ou outro motivo . A ladeira histórica confere um charme a mais,"Vitória, ES",pt
Igreja de Santo Antonio,8317868,atracao-review,Sandratg,2020-12-31,2020-12-31,5.0,Beleza ,"Igreja belíssima, com uma bela vista da cidade. Parada obrigatória em Tiradentes. Esta aberta para visitação. Entrada 5,00.","Montevidéu, Uruguai",pt
Igreja de Santo Antonio,8317868,atracao-review,411eduardos,2020-12-31,2020-12-31,5.0,O ponto alto da visita em Tiradentes,"O ponto alto da visita em Tiradentes. Igreja linda, com o interior ricamente decorado. Além do exterior ter uma vista fantástica do centro histórico de Tiradentes e arredores.","Porto Alegre, RS",pt
Igreja de Santo Antonio,8317868,atracao-review,fontteboa,2020-12-31,2020-12-31,5.0,Vista linda rodeada de muita história,Lugar incrível com passagem obrigatória para quem visita Tiradentes! Vale a pena cada segundo ao lado dessa obra linda com um dos visuais mais incríveis de Tiradentes.,"Itaúna, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,lauranM8806QN,2020-11-30,2020-11-30,5.0,A igreja mais linda de Tiradentes,"Igreja maravilhosa!
Vale a pena acompanhar as orientações dos guias que ficam no interior da igreja.
5,00 para adentrar no local.",indef,pt
Igreja de Santo Antonio,8317868,atracao-review,sena1510,2020-11-30,2020-11-30,5.0,Boas fotos,"Local alto em Tiradentes . . Ótimo para umas fotos e conhecer um pouco mais da história da cidade .. acredito que o melhor horário seja pela manhã, bem cedo e fim de tarde. Vale muito a visita.","Niterói, RJ",pt
Igreja de Santo Antonio,8317868,atracao-review,G6113DLvaleriad,2020-11-30,2020-11-30,5.0,Igreja Santo Antonio,"Igreja linda e muito preservada , cheia de acervos da época de Aleijadinho , que inclusive participou da obra","Niterói, RJ",pt
Igreja de Santo Antonio,8317868,atracao-review,kca2013,2020-11-30,2020-11-30,5.0,Um tesouro no alto de Tiradentes,"Essa igreja é maravilhosa por sua estrutura e pela riqueza que tem em seu interior com mais de 480 kg de ouro em seus ornamentos.

Se puderem, reservem a sexta à noite para a apresentação musical que acontece dentro da igreja. Ela possui um órgão de 630 tubos do século XVIII em pleno funcionamento e o espetáculo de música barroca é único.","Tiradentes, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,CVitorReis,2020-11-30,2020-11-30,5.0,Patrimônio histórico,"Visita obrigatória pra quem vai até tiradentes! Mesmo que a igreja não esteja aberta para visitação vale a pena subir a ladeira de pedras pra apreciar a vista panorâmica da serra e do centro histórico. A visita à igreja é uma imersão na cultura religiosa brasileira do século 18. A construção, os altares, madeiras e obras de arte são espetaculares.","Guarulhos, Brasil",pt
Igreja de Santo Antonio,8317868,atracao-review,anacX3445ZC,2020-11-30,2020-11-30,5.0,Cartão postal!,"Visite esse lugar! Com certeza, ficará encantado com a beleza do lugar e da vista que se tem da cidade e da serra de lá! Parada obrigatória! ❤️",indef,pt
Igreja de Santo Antonio,8317868,atracao-review,Vander_Muniz,2020-11-30,2020-11-30,5.0,Cultura e História do Brasil,"o terreno, a localização e a arquitetura da igreja são muito bons, mas o Órgão de Tubos é um dos pontos altos, com concertos às sextas a noite, vale ver e ouvir. É um dos órgãos centenários mais importantes do Brasil.","São Paulo, SP",pt
Igreja de Santo Antonio,8317868,atracao-review,RaccoTiradentes,2020-11-30,2020-10-31,5.0,Igreja de Santo Antonio LUGAR ABENÇOADO!,"Igreja de Santo Antonio é muito linda! É impossível não ser impactado(a) com a beleza dessa igreja.

Eu adoro frequentar as missas da semana na Igreja de Santo Antonio! Faz toda diferença na minha vida.

Com certeza se você vim em Tiradentes, não deve deixar de ir na Igreja de Santo Antonio!

É impossível não gostar. #raccotiradentesmg","Tiradentes, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,sabrinahsantos,2020-11-30,2020-10-31,5.0,Lindo lugar ,A igreja eh linda por fora e tem um jardim e vista inesquecível. Fomos embora domingo e quase não pegamos aberta pois fecha às 17:00 em ponto. Não conseguimos ver o interior por conta do horário.,"Belo Horizonte, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,Alcibene,2020-11-30,2020-11-30,5.0,Igreja belíssima ,"Igreja belíssima, com muito ouro em sua ornamentação, com uma vista maravilhosa. Para conhecer seu interior paga-se uma taxa de R$5,00.","Itajubá, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,lyoonn,2020-11-30,2020-11-30,4.0,Lugar lindo!,"A igreja é linda, por dentro e por fora! Tem uma vista maravilhosa da cidade pois fica bem no alto. A parte ruim é só porque está sempre muuuito cheio.","Belo Horizonte, MG",pt
Igreja de Santo Antonio,8317868,atracao-review,Aldofilho,2020-11-30,2020-11-30,5.0,Linda demais,"Igreja belíssima com guias super simpáticos, bela vista e um banho de ouro e pinturas barrocas, vale a pena ir","Rio de Janeiro, RJ",pt
