hotel_id,nome,endereco,cidade,preco,tipo,qtd_quartos,qtd_avaliacoes,nota,categoria,nota_pedestres,restaurantes_perto,atracoes_perto,latitude,longitude,fonte
2664141,"Pousada Boutique Oratório","Rua Herculano Jose dos Santos, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,848,Pousada,indef,247,5.0,indef,indef,indef,indef,-21.117942810058594,-44.167510986328125,https://www.tripadvisor.com.br/Hotel_Review-g737098-d2664141-Reviews-Pousada_Boutique_Oratorio-Tiradentes_State_of_Minas_Gerais.html
7625396,"Pousada Marília de Dirceu","Rua Agostinho José Cabral,195 Parque das Abelhas, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,310,Pousada,indef,229,5.0,indef,indef,indef,indef,-21.107271194458008,-44.16865539550781,https://www.tripadvisor.com.br/Hotel_Review-g737098-d7625396-Reviews-Pousada_Marilia_de_Dirceu-Tiradentes_State_of_Minas_Gerais.html
1500592,"Pousada Pequena Tiradentes","Av. Governador Israel Pinheiro, 670, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,1104,Pousada,indef,770,4.5,indef,indef,indef,indef,-21.128143310546875,-44.171546936035156,https://www.tripadvisor.com.br/Hotel_Review-g737098-d1500592-Reviews-Pousada_Pequena_Tiradentes-Tiradentes_State_of_Minas_Gerais.html
2486693,"Pousada Papyrus","Rua Frei Veloso, 452 Bairro Pacu, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,237,Pousada,indef,814,4.5,indef,indef,indef,indef,-21.110361099243164,-44.182857513427734,https://www.tripadvisor.com.br/Hotel_Review-g737098-d2486693-Reviews-Pousada_Papyrus-Tiradentes_State_of_Minas_Gerais.html
676488,"Solar da Ponte","Praca das Merces S/N0 - Tiradentes Centro histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,986,indef,indef,268,4.5,indef,indef,indef,indef,-21.109800338745117,-44.17279052734375,https://www.tripadvisor.com.br/Hotel_Review-g737098-d676488-Reviews-Solar_da_Ponte-Tiradentes_State_of_Minas_Gerais.html
2054897,"Pousada Villa Alferes","R. Joaquim Eliziário Dias, 320 Parque das Abelhas, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,356,Pousada,indef,243,4.0,indef,indef,indef,indef,-21.10603141784668,-44.1683349609375,https://www.tripadvisor.com.br/Hotel_Review-g737098-d2054897-Reviews-Pousada_Villa_Alferes-Tiradentes_State_of_Minas_Gerais.html
2285775,"Pousada Ouro de Minas","Rua João Andrade Gomes 17 Parque das Abelhas, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,442,Pousada,indef,190,4.5,indef,indef,indef,indef,-21.108905792236328,-44.16921615600586,https://www.tripadvisor.com.br/Hotel_Review-g737098-d2285775-Reviews-Pousada_Ouro_de_Minas-Tiradentes_State_of_Minas_Gerais.html
6528566,"Pousada Ramalhete","Rua Pedro Lourenço da Costa, 108 Parque das Abelhas, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,269,Pousada,indef,192,4.5,indef,indef,indef,indef,-21.106225967407227,-44.17025375366211,https://www.tripadvisor.com.br/Hotel_Review-g737098-d6528566-Reviews-Tiradentes_Ramalhete_Pousada-Tiradentes_State_of_Minas_Gerais.html
1599646,"Pousada Do Largo","Praca Largo das Forras, 18, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,439,Pousada,indef,235,4.0,indef,indef,indef,indef,-21.110143661499023,-44.17403030395508,https://www.tripadvisor.com.br/Hotel_Review-g737098-d1599646-Reviews-Pousada_Do_Largo-Tiradentes_State_of_Minas_Gerais.html
2098721,"Lis Bleu Pousada","Rua Ovidio De Abreu, 152 A Varzea De Baixo Estacao, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,571,Pousada,indef,228,5.0,indef,indef,indef,indef,-21.116111755371094,-44.168697357177734,https://www.tripadvisor.com.br/Hotel_Review-g737098-d2098721-Reviews-Lis_Bleu_Pousada-Tiradentes_State_of_Minas_Gerais.html
2522702,"Pousada Araújo Bazilio","Rua dos Jacarandas, 106, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,471,Pousada,indef,160,4.5,indef,indef,indef,indef,-21.10813331604004,-44.16364288330078,https://www.tripadvisor.com.br/Hotel_Review-g737098-d2522702-Reviews-Pousada_Araujo_Bazilio-Tiradentes_State_of_Minas_Gerais.html
2661111,"Pousada Trem Do Imperador","Avenida Conde Assumar, 116 - Parque dos Bandeirantes, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,467,Pousada,indef,307,4.5,indef,indef,indef,indef,-21.129789352416992,-44.1685676574707,https://www.tripadvisor.com.br/Hotel_Review-g737098-d2661111-Reviews-Pousada_Trem_Do_Imperador-Tiradentes_State_of_Minas_Gerais.html
2323725,"Hotel Pousada Mãe d'Água","Largo das Forras 50, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,335,Hotel,indef,321,4.0,indef,indef,indef,indef,-21.110952377319336,-44.173831939697266,https://www.tripadvisor.com.br/Hotel_Review-g737098-d2323725-Reviews-Hotel_Pousada_Mae_d_Agua-Tiradentes_State_of_Minas_Gerais.html
2521760,"Pousada Encanto da Serra","Rua dos Inconfidentes, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,257,Pousada,indef,188,4.5,indef,indef,indef,indef,-21.11196517944336,-44.1695442199707,https://www.tripadvisor.com.br/Hotel_Review-g737098-d2521760-Reviews-Pousada_Encanto_da_Serra-Tiradentes_State_of_Minas_Gerais.html
4220523,"A Casa Vermelha","Av. Governador Israel Pinheiro 412 - Bairro Estação, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,445,indef,indef,111,5.0,indef,indef,indef,indef,-21.12581443786621,-44.17206954956055,https://www.tripadvisor.com.br/Hotel_Review-g737098-d4220523-Reviews-A_Casa_Vermelha-Tiradentes_State_of_Minas_Gerais.html
