nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
Centro Histórico de Ouro Preto,Cidade de Ouro Preto | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,4.5,5.022,-20.38504981994629,-43.50366973876953,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4601254-Reviews-Centro_Historico_de_Ouro_Preto-Ouro_Preto_State_of_Minas_Gerais.html
Museu da Inconfidência,Praca Tiradentes 139 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,3.393,-20.3858642578125,-43.503719329833984,https://www.tripadvisor.com.br/Attraction_Review-g303389-d313966-Reviews-Museu_da_Inconfidencia-Ouro_Preto_State_of_Minas_Gerais.html
Casa dos Contos,Rua Sao Jose 12 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,2.096,-20.38436508178711,-43.506107330322266,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389271-Reviews-Casa_dos_Contos-Ouro_Preto_State_of_Minas_Gerais.html
Basílica de Nossa Senhora do Pilar,Travessa Lauro Barbosa | 16 Bairro do Pilar | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,2.379,-20.386329650878906,-43.507850646972656,https://www.tripadvisor.com.br/Attraction_Review-g303389-d313967-Reviews-Basilica_of_Nossa_Senhora_do_Pilar-Ouro_Preto_State_of_Minas_Gerais.html
Igreja de São Francisco de Assis,Largo de Coimbra | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,2.060,-20.38641357421875,-43.502777099609375,https://www.tripadvisor.com.br/Attraction_Review-g303389-d555145-Reviews-Church_of_Sao_Francisco_de_Assis-Ouro_Preto_State_of_Minas_Gerais.html
Represa do Custódio,5 |7 km de Lavras Novas | Lavras Novas | Ouro Preto | Minas Gerais Brasil,Lavras Novas ,4.5,446,-20.465469360351562,-43.49193572998047,https://www.tripadvisor.com.br/Attraction_Review-g2613515-d7816409-Reviews-Represa_do_Custodio-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
Mina Du Veloso,Rua Levindo Inácio André | 400 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,770,-20.376314163208008,-43.51600646972656,https://www.tripadvisor.com.br/Attraction_Review-g303389-d7655323-Reviews-Mina_Du_Veloso-Ouro_Preto_State_of_Minas_Gerais.html
Trem da Vale – Ouro Preto e Mariana,Ouro Preto | Brasil,Ouro Preto ,4.0,0,-20.38249969482422,-43.484535217285156,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389356-Reviews-Trem_da_Vale_Ouro_Preto_e_Mariana-Ouro_Preto_State_of_Minas_Gerais.html
Parque Estadual do Itacolomi,Rodovia BR 356 | Km 98 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,266,-20.388370513916016,-43.498008728027344,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389353-Reviews-Parque_Estadual_do_Itacolomi-Ouro_Preto_State_of_Minas_Gerais.html
Minas do Palácio Velho,Rua Dom Silvério 159 Ponte da 'Encardideira' | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,208,-20.386127471923828,-43.49897766113281,https://www.tripadvisor.com.br/Attraction_Review-g303389-d12389108-Reviews-Minas_do_Palacio_Velho-Ouro_Preto_State_of_Minas_Gerais.html
