estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo
Tropea Cantina Armazem,13350445,restaurante-review,alineislabao,2021-01-11,2021-01-14,5.0,"Excelente","Comemorei meu aniversário no Tropea. O atendimento da Rafaela foi super bom. Todos os pratos estavam perfeitos, da entrada a sobremesa. O ambiente é lindo e acolhedor."
Tropea Cantina Armazem,13350445,restaurante-review,TaisaBlumenau_Brazil,2021-01-11,2021-01-14,5.0,"Jantar perfeito. ","Excelente opção em Ouro Preto. Impecável 🤩🤩🤩O serviço foi perfeito, pratos maravilhosos da entrada ao prato principal. Jantamos na nossa última noite em Ouro Preto, mas poderíamos ter voltado outras vezes."
Tropea Cantina Armazem,13350445,restaurante-review,Samara_oa,2021-01-10,2021-01-14,5.0,"Restaurante maravilhoso","Muito bom! Atendimento excelente, pizza incrível, suco maravilhosooo!!! Gostei demais e voltarei novamente! 😍"
Tropea Cantina Armazem,13350445,restaurante-review,j_ssicad797,2021-01-09,2021-01-14,5.0,"Impecável!!!!","Hoje tive o enorme prazer de almoçar nesse restaurante, onde eu e minha companheira fomos muito bem recebidas. Um jantar maravilhoso, fora o ambiente, muito acolherdor e romântico, e o que não podemos deixar passar é o cuidado que eles têm com a higienização relacionado...ao Covid 19.  Sucesso  a todos, vale muito a pena conhecer!!!!!Mais"
Tropea Cantina Armazem,13350445,restaurante-review,Q1071VGlucasf,2021-01-09,2021-01-14,5.0,"Tropea","Um dos principais restaurantes de Ouro Preto, tendo seu foco em Cantina Italiana. Parabéns pela excelência, estive em um fim de semana com meus amigos e foi tudo excelente, desde a recepção até à pizza Vibo Valentia e Tropea, um mix de sabores. Atendimento acima...da média, todos super educados e prestativos, vale a visita.Mais"
Tropea Cantina Armazem,13350445,restaurante-review,Núbia M,2021-01-09,2021-01-14,5.0,"Ambiente agradável , atendimento","Ambiente agradável , atendimento excelente ! Comida ótima , menu com opções para todos os gostos ! Superou minhas expectativas !"
Tropea Cantina Armazem,13350445,restaurante-review,tadeulc,2021-01-09,2021-01-14,5.0,"Almoço de primeira","Almoço de primeira qualidade. Parabéns pela qualidade dos produtos e do serviço. A localização também é muito boa, próxima à praça principal."
Tropea Cantina Armazem,13350445,restaurante-review,Juliaalmeidan,2021-01-08,2021-01-14,5.0,"Aconchegante e bonito","Adorei a comida, atendimento e o local! Espero que o estabelecimento prospere e se torne um sucesso!"
Tropea Cantina Armazem,13350445,restaurante-review,ChrisVarella,2021-01-08,2021-01-14,5.0,"Estivemos duas noites seguidas ","Restaurante em ambiente muito agradável 
Bom atendimento e boa comida
A pizza estava maravilhosa
Ambiente seguro na questão da segurança para o COVID"
Tropea Cantina Armazem,13350445,restaurante-review,835nat_liaa,2021-01-08,2021-01-14,5.0,"Avaliação","Ótimo atendimento, comida excelente e espaço incrível!! Recomendo muito o local!! Quem for a Ouro Preto vai conhecer !"
Tropea Cantina Armazem,13350445,restaurante-review,Raphaele Gleyse N,2021-01-08,2021-01-14,5.0,"Excelente!","Sugiro a todos o restaurante. Música de super bom gosto, excelente cardápio, prato farto e atendimento excepcional. Vale muito a pena! Tem que ir."
Tropea Cantina Armazem,13350445,restaurante-review,289ademirs,2021-01-08,2020-12-14,5.0,"Atendimento e cozinha sensacional","Estive com a minha esposa no Tropea e o atendimento, comida e bebidas estavam sensacionais. Indico o local."
Tropea Cantina Armazem,13350445,restaurante-review,anaalves89,2021-01-07,2021-01-14,5.0,"Pizza e lasanha","Pedimos pizza (6 pedaços), uma lasanha bolonhesa (é como os italianos fazem, sem queijo), suco de morango e uma soda italiana de tangerina. Tudo gostoso. Atendimento rápido (com 30 minutos de permanência estávamos indo embora do restaurante). Atendentes solícitos, inclusive sugeriu dividir a lasanha em...Mais"
Tropea Cantina Armazem,13350445,restaurante-review,claudiatristao,2021-01-07,2021-01-14,5.0,"Tropea Ouro Preto","Excelente ambiente, comida maravilhosa com preço justo e excelente atendimento. Com certeza voltaremos.Amei!"
Tropea Cantina Armazem,13350445,restaurante-review,C5847ZGvanessas,2021-01-07,2021-01-14,5.0,"Sensacional!","Maravilhosa a comida! Cerveja gelada, e o cordeiro é ótimo! 
Atendimento muito bom, tudo limpo e seguindo normas de distanciamento."
Tropea Cantina Armazem,13350445,restaurante-review,Sergio B,2021-01-05,2021-01-14,5.0,"Excelente ","Excelente restaurante. Pratos deliciosos, ótimo atendimento e ambiente muito agradável.Para o jantar é bom chegar antes das 20h ou reservar, pois pode ser que fique na fila de espera."
Tropea Cantina Armazem,13350445,restaurante-review,936s_niaa,2021-01-04,2021-01-14,5.0,"SHOW!!","Lugar maravilhoso e aconchegante!Bom atendimento e música agradável.Comemos pizza e estava sensacional,  além do drink e da cerveja ourotrepana , super indico."
Tropea Cantina Armazem,13350445,restaurante-review,71flavia,2021-01-04,2021-01-14,4.0,"Mudança de mesa","Cheguei com minha família às 19:30 no restaurante e só tinha uma mesa perto da porta de entrada. Sentamos, porém estava muito vento e pedimos para fechar um pouco a porta devido ao vento forte, porém nós falaram que só podia mexer um pouquinho. Como...Mais"
Tropea Cantina Armazem,13350445,restaurante-review,Henrique D,2021-01-04,2021-01-14,5.0,"Ótimo atendimento e comida excelente ","Ótimo atendimento e comida excelente! Atendimento muito cordial!!!! Custo benefício bom demais!
Vale muito a pena..."
Tropea Cantina Armazem,13350445,restaurante-review,AmandaBH2893,2021-01-04,2021-01-14,5.0,"Ótima opção em Ouro Preto!","Passei a virada de ano nesse restaurante e gostamos muito de toda a experiência! As comidas eram muito boas e o atendimento foi admirável. Fomos muito bem tratados por todos. Destaco a atenção da Jéssica que foi super simpática conosco e nos atendeu com carinho....Mais"
Tropea Cantina Armazem,13350445,restaurante-review,Lauracittadino,2021-01-03,2021-01-14,5.0,"Sublime!!! ","Sem dúvida alguma o melhor restaurante que visitei em Ouro Preto!! Gostamos tanto que voltamos 2 dias depois. Serviço impecável: as massas e a pizza chegaram ao mesmo tempo. Sabor: inesquecível!! Daqueles locais que a gente vai embora já querendo voltar!! Parada obrigatória!!"
Tropea Cantina Armazem,13350445,restaurante-review,thaismilenar,2021-01-03,2021-01-14,2.0,"Fila de espera na chuva","Ficamos por 40 minutos na fila de espera, estava chovendo torrencialmente, a recepcionista foi grosseira ao fechar a porta do restaurante, nos deixando  aguardando do lado de fora. Quando chegou nossa vez, passaram dois grupos na nossa frente, alegando que como os grupos eram maiores...Mais"
Tropea Cantina Armazem,13350445,restaurante-review,296luma,2021-01-03,2020-12-14,5.0,"Comida excelente, ambiente lindo e atendimento maravilhoso!","Fomos no dia 28 de dezembro de 2020 e ficamos encantados! 
Tanto que fomos novamente com nossa família no dia 29 de dezembro! 
A comida é sensacional, o lugar é incrível e o atendimento também foi espetacular!
Recomendamos muito!"
Tropea Cantina Armazem,13350445,restaurante-review,anneliseo592,2021-01-02,2021-01-14,5.0,"Excelente","Ótimo ambiente, culinária e atendimento. Agradecimento especial à cordialidade da colaboradora Jessica!"
Tropea Cantina Armazem,13350445,restaurante-review,bruunagama,2021-01-02,2021-01-14,5.0,"Maravilhoso ","Atendimento excelente, comida excepcional, local lindo, muito bem decorado, som ambiente gostoso. Tomei o drink Rossini delicioso, e comemos pizza, deliciosa tbm. Sobremesa maravilhosa. Incrível, recomendo muito."
Tropea Cantina Armazem,13350445,restaurante-review,520fariast,2021-01-01,2021-01-14,5.0,"O melhor jantar de nossas vidas","Estamos em uma viagem para consolidar nosso amor e em nossa última noite na cidade resolvemos visitar esse restaurante , e sabe de uma coisa ? Foi a melhor experiência que tivemos nessa cidade linda. O gente que lugar aconchegante, a comida então nem se...Mais"
Tropea Cantina Armazem,13350445,restaurante-review,ilananolopes,2021-01-01,2020-12-14,5.0,"Ótima opção! ","Fomos almoçar no dia 31/12 e tivemos que confirmar se estavam abertos pelo Instagram (horários não atualizados no Trip). De qualquer forma, fomos muito bem atendidos, desde a entrada até à mesa. Protocolo covid bem realizado, com medição de temperatura na chegada, placas informativas e...Mais"
Tropea Cantina Armazem,13350445,restaurante-review,patriciamcbovo,2020-12-31,2021-01-14,5.0,"Excelente escolha","Ótimo serviço, comida boa e preço justo! Ambiente agradável com boa trilha sonora, jazz e blues principalmente."
Tropea Cantina Armazem,13350445,restaurante-review,Andreia-de-Costa,2020-12-31,2020-12-14,5.0,"MUITO BOM","Restaurante ótimo,aconchegante,e comida muito boa,otimo atendimento,Cardapio extenso virtual,sem contati,volto sempre"
Tropea Cantina Armazem,13350445,restaurante-review,B7775KNhenriquep,2020-12-30,2020-12-14,5.0,"Noite maravilhosa","O restaurante é maravilhoso, local agradável, lindo, os funcionários muito educados, gentis e simpáticos.
Voltaremos e indicaremos com certeza.
Amamos."
O Passo pizzajazz,1837936,restaurante-review,alineislabao,2021-01-11,2021-01-14,5.0,"Uma das melhores opções de Ouro Preto.","Fomos ao restaurante duas vezes; a comida é fabulosa, o serviço é rápido e o local é agradável e muito bom. Agradecemos ao Gorazil pelo atendimento maravilhoso!"
O Passo pizzajazz,1837936,restaurante-review,452eugeniaf,2021-01-11,2020-12-14,4.0,"Muito bom.","Ótimo atendimento, os pratos de cozinha internacional, muito bem elaborados e decorados, rápidos no atendimento e na entrega dos pratos."
O Passo pizzajazz,1837936,restaurante-review,Juliaalmeidan,2021-01-10,2021-01-14,4.0,"Muito bom!","Achei o restaurante muito bom, porém nada excepcional! Comida bem feita e preço “ok”, achei que o atendimento deixou sim um pouco a desejar, mas n foi nada que não me faria voltar."
O Passo pizzajazz,1837936,restaurante-review,raphaelc140,2021-01-10,2021-01-14,4.0,"Muito bom","Ambiente e música ótimos. Pedi o queijo coalho e era muito bom também. Apenas o chopp deixou a desejar, pois não estava gelado, estava quase na temperatura ambiente. O atendimento foi ótimo."
O Passo pizzajazz,1837936,restaurante-review,lucilenel2013,2021-01-10,2021-01-14,5.0,"Nota 10. ","Nota 10. O restaurante está com todo o protocolo de higiene devido à Covid - excelente. Ambiente agradável e os pratos deliciosos. O atendimento dos garçons é maravilhoso."
