hotel_id,nome,endereco,cidade,preco,tipo,qtd_quartos,qtd_avaliacoes,nota,categoria,nota_pedestres,restaurantes_perto,atracoes_perto,latitude,longitude,fonte
539356,Pousada Clássica,"Rua Conde de Bobadela, 96 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,248,Pousada,38,807,4.5,4.0,100,134,63,-20.385196685791016,-43.50470733642578,https://www.tripadvisor.com.br/Hotel_Review-g303389-d539356-Reviews-Pousada_Classica-Ouro_Preto_State_of_Minas_Gerais.html
1886780,Pousada Solar da Opera,"Rua Conde de Bobadela, 79 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,325,Pousada,16,284,4.5,4.0,100,133,62,-20.385473251342773,-43.50450134277344,https://www.tripadvisor.com.br/Hotel_Review-g303389-d1886780-Reviews-Pousada_Solar_da_Opera-Ouro_Preto_State_of_Minas_Gerais.html
2304973,Grande Hotel de Ouro Preto,"Rua Sen. Rocha Lagoa, 164 Próximo dos principais monumentos turísticos da cidade., Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,224,Hotel,35,612,4.0,3.0,100,137,62,-20.384384155273438,-43.50545883178711,https://www.tripadvisor.com.br/Hotel_Review-g303389-d2304973-Reviews-Grande_Hotel_de_Ouro_Preto-Ouro_Preto_State_of_Minas_Gerais.html
598402,Hotel Pousada do Arcanjo,"Rua São Miguel Arcanjo, 270 900m da Praça Tiradentes com transfer gratuito, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,457,Hotel,24,691,4.5,4.0,87,30,14,-20.379911422729492,-43.5115852355957,https://www.tripadvisor.com.br/Hotel_Review-g303389-d598402-Reviews-Hotel_Pousada_do_Arcanjo-Ouro_Preto_State_of_Minas_Gerais.html
2644365,Pousada Arcádia Mineira,"Rua Xavier Da Veiga 125 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,255,Pousada,14,283,4.0,indef,100,109,55,-20.388578414916992,-43.50312042236328,https://www.tripadvisor.com.br/Hotel_Review-g303389-d2644365-Reviews-Pousada_Arcadia_Mineira-Ouro_Preto_State_of_Minas_Gerais.html
6875455,Pousada Chão de Minas,"Rua Nossa Sra. Auxiliadora 29, Cachoeira do Campo, Ouro Preto, Minas Gerais 35410-000 Brasil",Cachoeira do Campo ,451,Pousada,14,285,5.0,indef,42,20,2,-20.347299575805664,-43.67538070678711,https://www.tripadvisor.com.br/Hotel_Review-g3844566-d6875455-Reviews-Pousada_Chao_de_Minas-Cachoeira_do_Campo_Ouro_Preto_State_of_Minas_Gerais.html
4223455,Casa dos Meninos Cama & Café,"Rua do Aleijadinho 89 Antonio Dias, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,333,indef,4,452,5.0,indef,100,104,53,-20.386199951171875,-43.50138854980469,https://www.tripadvisor.com.br/Hotel_Review-g303389-d4223455-Reviews-Casa_dos_Meninos_Cama_Cafe-Ouro_Preto_State_of_Minas_Gerais.html
507009,Hotel Solar do Rosário,"Rua Getúlio Vargas 270 Bairro Rosário, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,456,Hotel,41,942,4.5,3.5,100,88,28,-20.38372039794922,-43.509437561035156,https://www.tripadvisor.com.br/Hotel_Review-g303389-d507009-Reviews-Hotel_Solar_Do_Rosario-Ouro_Preto_State_of_Minas_Gerais.html
5498675,Pousada Buieié,"Rua Nossa Senhora Dos Prazeres, 1138, Lavras Novas, Ouro Preto, Minas Gerais Brasil",Lavras Novas ,238,Pousada,18,154,4.0,indef,54,21,3,-20.47235679626465,-43.523624420166016,https://www.tripadvisor.com.br/Hotel_Review-g2613515-d5498675-Reviews-Pousada_Buieie-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
1632060,Pousada dos Ofícios,"Rua Padre Rolim 765, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,214,Pousada,4,365,4.5,indef,86,14,8,-20.37977409362793,-43.508888244628906,https://www.tripadvisor.com.br/Hotel_Review-g303389-d1632060-Reviews-Pousada_Dos_Oficios-Ouro_Preto_State_of_Minas_Gerais.html
