restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,faixa_preco,latitude,longitude,fonte
14140408,Santa Matula - Casa Bistrô,"R. Cláudio Manoel, 116, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,5.0,76,US$ 5 - US$ 15,-20.385988235473633,-43.502445220947266,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d14140408-Reviews-Santa_Matula_Casa_Bistro-Ouro_Preto_State_of_Minas_Gerais.html
17364606,Le Chalet Fondue & Bistrô,"Rua Conde de Bobadela 124 Sobreloja, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,5.0,301,US$ 4 - US$ 15,-20.38519287109375,-43.50516891479492,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d17364606-Reviews-Le_Chalet_Fondue_Bistro-Ouro_Preto_State_of_Minas_Gerais.html
13350445,Tropea Cantina Armazem,"Rua Coronel Alves 15, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,5.0,667,indef,-20.38605308532715,-43.50520706176758,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d13350445-Reviews-Tropea_Cantina_Armazem-Ouro_Preto_State_of_Minas_Gerais.html
1837936,O Passo pizzajazz,"Rua São José 56, Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,4570,US$ 6 - US$ 14,-20.384326934814453,-43.506378173828125,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d1837936-Reviews-O_Passo_Pizza_Jazz-Ouro_Preto_State_of_Minas_Gerais.html
4678594,Escadabaixo Bar Cozinha,"Rua Conde de Bobadela 122, Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,2006,indef,-20.38530731201172,-43.50486373901367,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d4678594-Reviews-Escadabaixo_Bar_Cozinha-Ouro_Preto_State_of_Minas_Gerais.html
15288010,Vila Boots Restaurante e Choperia,"Rua Benedito Valadares 241, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,343,US$ 1 - US$ 6,-20.385427474975586,-43.510345458984375,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d15288010-Reviews-Vila_Boots_Restaurante_e_Choperia-Ouro_Preto_State_of_Minas_Gerais.html
4601519,Bem Te Vi,"Rua Nossa Senhora dos Prazeres, 480 - Centro, Lavras Novas, Ouro Preto, Minas Gerais Brasil",Lavras Novas ,4.5,466,indef,-20.477392196655273,-43.51754379272461,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d4601519-Reviews-Bem_Te_Vi-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
5207485,Parada do Conde,"Rua Conde de Bobadela 135, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,440,US$ 3 - US$ 5,-20.38529396057129,-43.50506591796875,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5207485-Reviews-Parada_do_Conde-Ouro_Preto_State_of_Minas_Gerais.html
9978029,Tenente Pimenta Rock Bar,"Rua Carlos Tomaz, 33 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,277,US$ 3 - US$ 16,-20.386411666870117,-43.501991271972656,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d9978029-Reviews-Tenente_Pimenta_Rock_Bar-Ouro_Preto_State_of_Minas_Gerais.html
1065104,Café Geraes,"Rua Conde de Bobadela 122, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,475,indef,-20.385292053222656,-43.5048828125,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d1065104-Reviews-Cafe_Geraes-Ouro_Preto_State_of_Minas_Gerais.html
